"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases Trials","","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","","Pend at","","","","Pend at 0 ‐ 6","> 6","","Plea At Dism At Dism Bef Plea Bef","Dism By Post J"
"3","Statewide District Court, page 2","Start","New","Re open","Closed","End Months Months","Inact. BW Jury NonJury","","Convict Acquit Trial Trial Trial Trial","Pros Activ Other"
"4","JUVENILE","","","","","","","","",""
"5","Juvenile Public Safety Offenses","116","201","63","261","120 71","35 14 1 11","","2 2 5 3 43 101","41 66 0"
"6","Juvenile Crimes Against Property","486","817","393","1201","492 295","115 82 2 18","","2 0 15 3 119 466","237 399 4"
"7","Juvenile Crimes Against Persons","636","1024","330","1404","589 358","148 83 7 22","","1 5 13 10 212 550","305 344 5"
"8","Juvenile Delinquent Felony","40","77","20","87","48 29","13 6 0 0","","0 0 0 0 4 41","22 22 0"
"9","Juvenile Delinquent Non‐Felony","81","143","57","201","80 43","22 15 1 0","","0 0 1 0 11 80","50 63 0"
"10","Juvenile Drug Offenses","211","393","150","545","208 141","33 34 0 9","","0 0 7 2 66 219","104 164 0"
"11","Juvenile DWI Offenses","33","84","16","87","45 28","10 7 0 0","","0 0 0 0 3 54","18 19 0"
"12","Juvenile Extradition","2","0","0","1","1 0","1 0 0 0","","0 0 0 0 0 0","1 0 0"
"13","Juvenile Graffiti Offenses","4","4","0","4","4 1","2 1 0 0","","0 0 0 0 0 1","2 1 0"
"14","Juvenile Truancy","7","27","0","30","4 4","0 0 0 7","","2 0 4 1 0 12","11 0 0"
"15","Juvenile Homicide","3","0","0","1","2 0","2 0 0 0","","0 0 0 0 0 1","0 0 0"
"16","Juvenile Motor Vehicle Offenses","30","53","26","81","28 17","6 5 0 0","","0 0 0 0 8 27","25 22 0"
"17","Juvenile Sexual Offenses","64","91","17","111","62 37","17 8 3 6","","1 1 7 0 14 45","30 13 2"
"18","Youthful Offender Crimes Against Persons","30","42","14","44","42 24","13 5 1 1","","1 0 1 0 0 28","11 14 0"
"19","Youthful Offender Crimes Against Property","18","17","7","20","22 9","12 1 0 0","","0 0 0 0 2 12","3 5 0"
"20","Youthful Offender Public Safety Offenses","6","6","3","10","5 2","1 2 0 0","","0 0 0 0 0 6","2 4 0"
"21","Youthful Offender Homicide","10","3","1","5","9 3","5 1 3 0","","0 3 0 0 0 1","0 1 0"
"22","Youthful Offender Miscellaneous","0","0","1","0","1 0","1 0 0 0","","0 0 0 0 0 0","0 0 0"
"23","Youthful Offender Sexual Offenses","25","9","5","18","20 5","13 2 4 0","","2 2 0 0 2 7","4 3 0"
"24","Youthful Offender Vehicular Homicide","1","0","0","0","1 0","1 0 0 0","","0 0 0 0 0 0","0 0 0"
"25","Total","1803","2991","1103","4111","1783 1067","450 266 22 74","","11 13 53 19 484 1651","866 1140 11"
