"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet.","Pet.","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Eighth District Court, page 1","Start","","","","End","Months Months BW","","Deny","Grant","","Activ."
"4","APPEALS","","","","","","","","","","",""
"5","Civil Administrative Appeal ‐ Defendant Appellant","2","1","0","1","2","2 0 0 0 0","","0","1","0 0 0 0 0","0 0"
"6","Civil Administrative Appeal ‐ Plaintiff Appellant","7","6","2","8","7","6 1 0 0 0","","4","1","0 2 0 0 0","1 0"
"7","Civil Appeals","7","0","1","2","6","4 2 0 0 0","","0","0","0 2 0 0 0","0 0"
"8","Civil Appeals ‐ Defendant Appellant","12","5","2","13","6","5 1 0 0 4","","1","3","0 6 0 0 0","1 0"
"9","Civil Appeals ‐ Plaintiff Appellant","8","11","1","11","8","8 0 0 1 2","","0","2","0 3 0 0 0","2 1"
"10","License Revocation Appeal ‐ Defendant Appellant","7","3","0","8","2","2 0 0 0 1","","0","2","0 2 0 0 0","1 0"
"11","License Revocation Appeal ‐ Plaintiff Appellant","1","1","0","1","1","1 0 0 0 0","","1","0","0 0 0 0 0","0 0"
"12","CIVIL","","","","","","","","","","",""
"13","Adult Adoption","0","3","0","3","0","0 0 0 0 0","","0","2","0 0 0 0 0","0 0"
"14","Civil Violations, Statutes, Ordinances","12","11","0","7","16","12 4 0 0 0","","0","0","0 4 0 0 0","0 0"
"15","Election Code","2","0","0","2","0","0 0 0 0 0","","0","0","0 1 0 0 0","0 0"
"16","Habeas Corpus","10","14","0","16","8","8 0 0 0 0","","0","0","0 13 0 0 0","0 1"
"17","Lower Court Competency","73","83","0","77","79","58 18 3 0 0","","1","0","0 20 0 0 0","0 50"
"18","Minor Settlement","0","6","0","2","4","4 0 0 0 0","","0","1","0 1 0 0 0","0 0"
"19","Miscellaneous Civil","49","43","4","48","49","38 9 2 1 1","","2","8","0 18 2 0 0","4 3"
"20","Name Change","6","117","0","105","17","17 0 0 0 0","","0","86","0 1 0 0 0","0 0"
"21","Other","35","16","2","24","29","17 11 1 0 1","","0","3","0 15 0 0 0","2 1"
"22","Tax","1","9","0","2","8","8 0 0 0 0","","0","0","0 2 0 0 0","0 0"
"23","Wrongful Death Personal Representative","3","7","0","6","4","4 0 0 1 0","","0","2","0 1 0 0 0","0 1"
"24","CONTRACT","","","","","","","","","","",""
"25","Contract/Debt & Money Due","308","295","34","344","291","232 12 47 0 3","","0","27","0 156 43 0 0","46 13"
"26","Real Estate","203","126","28","194","163","114 42 7 0 1","","1","23","0 62 43 0 0","27 13"
"27","DOMESTIC RELATIONS","","","","","","","","","","",""
"28","Child Support","35","1","160","162","34","30 1 3 0 0","","0","0","0 1 0 0 0","160 1"
"29","Child Support Enforcement","69","90","98","204","54","51 1 2 0 0","","2","0","0 23 6 0 0","91 82"
"30","Custody and Visitation","20","8","10","24","14","12 2 0 0 0","","0","3","0 8 0 0 0","9 4"
"31","Dissolution","48","109","11","119","49","42 7 0 0 0","","0","54","0 19 8 0 0","14 15"
"32","Dissolution With Custody","101","84","133","198","122","103 14 5 0 0","","1","27","0 15 4 0 0","131 14"
"33","Domestic Matters Miscellaneous","6","7","14","15","12","11 0 1 0 0","","0","2","0 0 0 0 0","13 0"
"34","Domestic Kinship/Guardianship","17","30","2","25","25","22 3 0 0 0","","0","15","0 5 1 0 0","2 0"
"35","Domestic Violence","36","291","86","388","33","32 1 0 0 0","","0","26","0 217 0 0 0","84 60"
"36","Parentage","124","48","191","250","115","103 10 2 0 0","","0","9","0 23 3 0 0","194 16"
