"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","","Pend at","","","","Pend at","0 ‐ 6","> 6","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Twelfth District Court","Start","New","Re open","Closed","End","Months","Months Inact. BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","CRIMINAL","","","","","","","","","",""
"5","Extradition","5","9","0","4","10","3","6 1","0 0","0 0 0 0 1","0 2 0 1"
"6","Felony Crimes Against Property","240","175","114","255","275","131","104 40","8 1","6 2 0 1 8","75 23 142 0"
"7","Felony Crimes Against Persons","340","185","163","335","353","126","174 53","20 0","12 4 2 1 11","87 41 178 0"
"8","Felony Drug Offenses","564","275","251","489","604","224","229 151","21 1","16 0 1 4 22","149 58 258 1"
"9","Felony DWI/DUI","72","26","10","52","58","11","30 17","3 1","3 0 0 1 0","24 8 21 0"
"10","Felony Homicide","10","6","4","7","13","6","7 0","1 0","1 0 0 0 0","0 2 4 0"
"11","Felony Miscellaneous","189","61","80","156","178","64","75 39","5 2","5 1 0 1 8","47 22 84 0"
"12","Felony Public Safety Offenses","15","24","3","9","33","12","17 4","0 0","0 0 0 0 0","6 0 2 0"
"13","Felony Sexual Offenses","53","24","14","36","55","19","30 6","3 0","0 2 1 0 1","10 3 20 0"
"14","Felony Domestic Violence","9","3","3","6","9","2","4 3","0 0","0 0 0 0 0","2 2 3 0"
"15","Lower Court Appeal","4","0","1","2","3","0","2 1","0 0","0 0 0 0 0","0 0 2 0"
"16","Felony Vehicular Homicide","2","0","0","1","1","0","0 1","0 0","0 0 0 0 0","0 1 0 0"
"17","Lower Court Appeal ‐ Defendant Appellant","20","20","0","9","31","16","15 0","0 2","2 0 0 0 0","2 2 2 0"
"18","Lower Court Appeal ‐ Plaintiff Appellant","1","0","0","0","1","0","1 0","0 0","0 0 0 0 0","0 0 0 0"
"19","Lower Court DWI Appeal ‐ Defendant Appellant","3","7","0","4","6","4","2 0","2 0","1 0 0 1 0","0 0 0 0"
"20","Misdemeanor (Dist.)","38","20","8","24","42","14","19 9","2 1","2 0 0 1 0","11 5 5 0"
"21","Misdemeanor DWI/DUI","4","0","2","4","2","0","1 1","0 0","0 0 0 0 0","0 0 4 0"
"22","Petition for Review of Bond/Conditions of Release","0","3","0","1","1","0","1 0","0 0","0 0 0 0 0","0 0 0 1"
"23","Total","1569","838","653","1394","1675","632","717 326","65 8","48 9 4 10 51","413 169 725 3"
"24","JUVENILE","","","","","","","","","",""
"25","Juvenile Public Safety Offenses","2","1","2","4","1","0","1 0","0 0","0 0 0 0 1","0 0 3 0"
"26","Juvenile Crimes Against Property","21","24","12","41","16","11","4 1","0 0","0 0 0 0 4","17 4 14 1"
"27","Juvenile Crimes Against Persons","31","23","15","50","19","11","5 3","0 0","0 0 0 0 2","20 6 21 0"
"28","Juvenile Delinquent Felony","11","5","6","17","5","1","4 0","0 0","0 0 0 0 1","5 1 10 0"
"29","Juvenile Delinquent Non‐Felony","11","15","11","31","6","1","2 3","0 0","0 0 0 0 2","14 1 14 0"
"30","Juvenile Drug Offenses","8","14","3","18","7","5","2 0","0 0","0 0 0 0 2","11 2 4 0"
"31","Juvenile DWI Offenses","2","2","0","3","1","0","1 0","0 0","0 0 0 0 0","2 0 1 0"
"32","Juvenile Graffiti Offenses","1","0","0","0","1","0","1 0","0 0","0 0 0 0 0","0 0 0 0"
"33","Juvenile Motor Vehicle Offenses","3","0","1","4","0","0","0 0","0 0","0 0 0 0 0","1 2 1 0"
"34","Juvenile Sexual Offenses","3","3","0","5","1","1","0 0","1 0","0 1 0 0 1","3 0 0 0"
"35","Youthful Offender Crimes Against Persons","1","1","0","0","2","2","0 0","0 0","0 0 0 0 0","0 0 0 0"
"36","Youthful Offender Crimes Against Property","2","1","0","2","1","0","1 0","0 0","0 0 0 0 0","1 0 1 0"
"37","Youthful Offender Homicide","0","1","0","0","1","1","0 0","0 0","0 0 0 0 0","0 0 0 0"
"38","Youthful Offender Miscellaneous","0","0","1","0","1","0","1 0","0 0","0 0 0 0 0","0 0 0 0"
"39","Youthful Offender Sexual Offenses","3","3","0","1","5","1","4 0","0 0","0 0 0 0 0","0 1 0 0"
"40","Total","99","93","51","176","67","34","26 7","1 0","0 1 0 0 13","74 17 69 1"
