"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet. Pet.","","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Sixth District Court, page 2","Start","","","","End","Months Months BW","","Deny Grant","","","Activ."
"4","ESTATE","","","","","","","","","","",""
"5","Probate Estates","13","5","2","5","15","7 7 1 0 0","","0 2","","0 0 0 0 0","3 0"
"6","Probate Formal, No Will","7","3","0","5","5","2 3 0 0 0","","0 4","","0 0 0 0 0","0 0"
"7","Probate Formal, Will","9","6","0","5","10","6 4 0 0 0","","0 3","","0 2 0 0 0","0 0"
"8","Probate Informal, No Will","13","9","2","11","13","10 3 0 0 0","","0 5","","0 4 0 0 0","2 0"
"9","Probate Informal, Will","26","15","1","11","31","24 7 0 0 0","","0 9","","0 1 0 0 0","0 0"
"10","Probate Intestate","5","2","1","4","4","2 2 0 0 0","","0 3","","0 0 0 0 0","0 0"
"11","Probate Intestate Ancillary","1","1","0","1","1","1 0 0 0 0","","0 1","","0 0 0 0 0","0 0"
"12","Probate Kinship Guardianship","2","1","1","2","2","2 0 0 0 0","","0 0","","0 1 0 0 0","1 0"
"13","Probate Miscellaneous","9","6","1","6","10","7 3 0 0 0","","0 2","","0 1 0 0 0","1 0"
"14","Probate Protective Proceedings","4","0","0","0","4","0 4 0 0 0","","0 0","","0 0 0 0 0","0 0"
"15","Probate Trust","0","2","0","0","2","2 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"16","Probate, Will Ancillary","0","3","0","2","1","1 0 0 0 0","","0 2","","0 0 0 0 0","0 0"
"17","JUVENILE","","","","","","","","","","",""
"18","Abuse & Neglect","30","44","0","28","46","33 13 0 0 0","","0 0","","0 5 0 0 0","0 23"
"19","Juvenile Adoption","10","20","1","20","11","10 1 0 0 0","","0 12","","0 3 1 0 0","3 1"
"20","Juvenile Emancipation","2","2","0","3","1","1 0 0 0 0","","0 1","","0 1 0 0 0","0 1"
"21","SEQUESTERED","","","","","","","","","","",""
"22","Sequestered Probate, Conservatorship Minor","1","0","0","0","1","1 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"23","Sequestered Probate, Guardianship of a Minor","5","4","0","2","7","6 1 0 0 0","","0 1","","0 1 0 0 0","0 0"
"24","Sequestered Probate, Guardianship of an Adult","3","2","0","0","5","4 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"25","Sequestered Probate, Conservatorship / Guardianship Adult","6","14","0","10","10","10 0 0 0 0","","0 6","","0 2 0 0 0","1 1"
"26","Sequestered Mental Health","0","35","2","36","1","1 0 0 0 0","","0 21","","0 12 0 0 0","2 1"
"27","TORT","","","","","","","","","","",""
"28","Tort","23","12","1","13","23","13 9 1 1 0","","1 1","","0 8 0 0 0","0 2"
"29","Tort Auto","12","7","0","10","9","8 1 0 0 0","","0 0","","0 7 2 0 0","0 1"
"30","Tort Malpractice, Product Liability","6","3","0","4","5","3 2 0 0 0","","0 0","","0 2 0 0 0","0 1"
"31","OTHER","","","","","","","","","","",""
"32","Animas Underground Basin","57","9","0","15","51","12 39 0 0 0","","0 0","","0 0 0 0 0","0 15"
"33","Water Case General File","1","0","0","0","1","0 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"34","Total","1365","1779","831","2459","1525","1298 179 48 2 2","","11 223","","0 605 229 0 0","845 515"
