"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet.","Pet.","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","First District Court, page 1","Start","","","","End","Months Months BW","","Deny","Grant","","Activ."
"4","APPEALS","","","","","","","","","","",""
"5","Civil Administrative Appeal ‐ Defendant Appellant","17","19","0","21","15","9 6 0 0 0","","3","6","0 10 0 0 0","1 1"
"6","Civil Administrative Appeal ‐ Plaintiff Appellant","79","43","10","51","81","60 21 0 0 1","","15","6","0 17 1 0 0","6 6"
"7","Civil Appeals","9","0","1","3","7","3 4 0 0 0","","0","0","0 0 0 0 0","3 0"
"8","Civil Appeals ‐ Defendant Appellant","25","26","5","24","31","26 5 0 0 4","","2","3","0 12 0 0 0","5 1"
"9","Civil Appeals ‐ Plaintiff Appellant","28","25","3","24","31","21 10 0 0 2","","2","2","0 16 0 0 0","2 1"
"10","License Revocation Appeal ‐ Defendant Appellant","11","18","0","15","14","12 2 0 0 1","","0","8","0 7 0 0 0","0 0"
"11","License Revocation Appeal ‐ Plaintiff Appellant","31","39","2","34","39","30 9 0 0 2","","0","13","0 17 0 0 0","3 1"
"12","CIVIL","","","","","","","","","","",""
"13","Adult Adoption","5","9","0","7","7","5 2 0 0 0","","0","6","0 1 0 0 0","0 0"
"14","Civil Violations, Statutes, Ordinances","92","152","20","156","109","91 18 0 1 5","","2","33","0 53 25 0 0","20 21"
"15","Election Code","2","5","1","8","0","0 0 0 0 1","","1","2","0 3 1 0 0","1 0"
"16","Habeas Corpus","47","29","4","47","33","19 14 0 0 0","","4","1","0 34 0 0 0","5 2"
"17","Lower Court Competency","96","153","4","128","128","73 44 11 0 0","","0","1","0 9 0 0 0","3 76"
"18","Minor Settlement","10","16","1","19","8","7 1 0 0 0","","0","4","0 14 0 0 0","1 0"
"19","Miscellaneous Civil","340","455","74","530","337","249 74 14 1 15","","18","104","0 267 28 0 0","61 47"
"20","Name Change","42","552","25","505","127","121 6 0 0 0","","0","435","0 17 0 0 0","23 1"
"21","Other","84","88","19","100","91","68 22 1 0 0","","2","11","0 57 0 0 0","19 8"
"22","Tax","35","54","7","50","47","39 7 1 0 0","","2","12","0 28 0 0 0","6 2"
"23","Wrongful Death Personal Representative","48","107","0","49","106","98 8 0 0 0","","0","18","0 25 0 0 0","3 1"
"24","STREAM ADJUDICATION","","","","","","","","","","",""
"25","Water Case","2","2","0","0","4","3 0 1 0 0","","0","0","0 0 0 0 0","0 0"
"26","CONTRACT","","","","","","","","","","",""
"27","Contract/Debt & Money Due","1490","1317","606","1492","1904","1568 174 162 0 6","","4","79","0 722 277 0 0","346 53"
"28","Real Estate","1075","470","112","705","953","530 362 61 0 3","","2","80","0 320 143 0 0","105 45"
"29","DOMESTIC RELATIONS","","","","","","","","","","",""
"30","Child Support","125","28","110","158","107","89 11 7 0 0","","1","6","0 17 3 2 0","107 21"
"31","Child Support Enforcement","29","27","24","51","31","29 1 1 0 0","","1","10","0 13 0 0 0","14 13"
"32","Custody and Visitation","33","19","24","42","35","30 2 3 0 0","","2","6","0 7 1 0 0","20 6"
"33","Dissolution","158","415","83","519","136","125 8 3 0 8","","1","18","0 38 10 0 0","77 371"
"34","Dissolution With Custody","488","352","408","807","441","375 51 15 0 10","","1","26","0 41 8 0 0","447 277"
"35","Domestic Matters Miscellaneous","47","22","43","67","45","40 3 2 0 0","","1","2","0 11 0 0 0","38 15"
"36","Domestic Kinship/Guardianship","172","136","61","247","124","113 11 0 0 2","","15","83","0 55 0 0 0","67 18"
"37","Domestic Violence","85","900","6","885","101","83 11 7 0 0","","1","7","0 577 0 0 0","1 281"
"38","Parentage","555","282","400","685","550","487 47 16 0 1","","6","27","1 123 2 4 0","367 147"
