"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet.","Pet.","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Third District Court, page 1","Start","","","","End","Months Months BW","","Deny","Grant","","Activ."
"4","APPEALS","","","","","","","","","","",""
"5","Civil Administrative Appeal ‐ Defendant Appellant","0","2","0","0","2","2 0 0 0 0","","0","0","0 0 0 0 0","0 0"
"6","Civil Administrative Appeal ‐ Plaintiff Appellant","6","11","0","12","5","5 0 0 1 0","","0","1","0 11 0 0 0","0 0"
"7","Civil Appeals ‐ Defendant Appellant","8","20","0","12","16","16 0 0 0 5","","0","2","0 7 0 0 0","0 3"
"8","Civil Appeals ‐ Plaintiff Appellant","12","11","1","14","10","8 2 0 0 2","","0","1","0 10 1 0 0","1 1"
"9","License Revocation Appeal ‐ Defendant Appellant","1","2","0","1","2","2 0 0 0 0","","0","0","0 1 0 0 0","0 0"
"10","License Revocation Appeal ‐ Plaintiff Appellant","0","2","0","1","1","1 0 0 0 0","","0","0","0 1 0 0 0","0 0"
"11","CIVIL","","","","","","","","","","",""
"12","Adult Adoption","1","3","0","1","3","3 0 0 0 0","","0","1","0 0 0 0 0","0 0"
"13","Civil Violations, Statutes, Ordinances","40","27","5","33","39","26 13 0 1 0","","0","1","0 19 1 0 0","5 6"
"14","Election Code","0","1","1","1","1","1 0 0 0 0","","0","0","0 0 1 0 0","0 0"
"15","Habeas Corpus","5","9","1","6","10","7 3 0 0 0","","0","0","0 4 0 0 0","0 1"
"16","Lower Court Competency","102","159","0","165","100","62 13 25 0 0","","0","0","0 18 0 0 0","0 130"
"17","Minor Settlement","12","25","2","25","14","14 0 0 0 0","","0","5","0 13 0 0 0","3 4"
"18","Miscellaneous Civil","130","199","18","193","148","127 20 1 1 0","","2","26","0 84 39 0 0","18 17"
"19","Name Change","28","202","2","192","39","37 2 0 0 0","","1","119","0 62 0 0 0","2 8"
"20","Other","47","27","8","41","41","32 9 0 2 0","","0","1","0 26 1 0 0","9 4"
"21","Tax","0","1","0","0","1","1 0 0 0 0","","0","0","0 0 0 0 0","0 0"
"22","Wrongful Death Personal Representative","9","17","2","14","14","13 1 0 0 0","","0","1","0 10 0 0 0","1 2"
"23","CONTRACT","","","","","","","","","","",""
"24","Contract/Debt & Money Due","1727","2327","915","2759","2163","2111 33 19 0 4","","1","122","0 1048 608 0 0","888 79"
"25","Real Estate","323","307","58","430","254","231 18 5 0 2","","1","31","0 176 122 0 0","82 15"
"26","DOMESTIC RELATIONS","","","","","","","","","","",""
"27","Child Support","111","8","165","193","93","66 8 19 0 0","","0","0","0 0 0 0 0","190 3"
"28","Child Support Enforcement","259","292","115","303","365","338 24 3 0 0","","0","1","0 46 1 0 0","114 139"
"29","Custody and Visitation","34","34","12","37","43","37 3 3 0 0","","0","1","0 12 1 0 0","10 12"
"30","Dissolution","227","478","69","563","213","195 13 5 0 0","","0","23","0 120 45 0 0","72 294"
"31","Dissolution With Custody","709","427","527","1015","650","558 73 19 0 1","","0","17","0 162 27 0 0","519 276"
"32","Domestic Matters Miscellaneous","11","5","8","18","6","4 1 1 0 0","","0","2","0 3 0 0 0","9 4"
"33","Domestic Kinship/Guardianship","34","76","11","70","50","47 3 0 0 0","","1","19","0 23 0 0 0","10 16"
"34","Domestic Violence","95","751","181","918","115","99 15 1 0 0","","0","1","0 567 4 0 0","187 142"
"35","Parentage","642","201","578","876","555","436 64 55 0 0","","0","4","0 125 10 0 0","640 90"
