"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet.","Pet.","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Sixth District Court, page 1","Start","","","","End","Months Months BW","","Deny","Grant","","Activ."
"4","APPEALS","","","","","","","","","","",""
"5","Civil Administrative Appeal ‐ Defendant Appellant","1","1","1","2","1","1 0 0 0 0","","0","0","0 1 0 0 0","0 1"
"6","Civil Administrative Appeal ‐ Plaintiff Appellant","1","2","0","2","1","1 0 0 0 0","","0","0","0 2 0 0 0","0 0"
"7","Civil Appeals ‐ Defendant Appellant","5","14","1","14","8","7 1 0 0 0","","0","1","0 8 0 0 0","1 4"
"8","Civil Appeals ‐ Plaintiff Appellant","4","8","0","7","5","4 1 0 0 0","","2","1","0 3 0 0 0","0 1"
"9","CIVIL","","","","","","","","","","",""
"10","Adult Adoption","1","1","0","1","1","1 0 0 0 0","","0","0","0 1 0 0 0","0 0"
"11","Civil Violations, Statutes, Ordinances","6","8","0","6","8","6 2 0 0 0","","0","1","0 3 0 0 0","0 2"
"12","Election Code","0","1","0","1","0","0 0 0 0 0","","0","0","0 1 0 0 0","0 0"
"13","Habeas Corpus","1","0","0","1","0","0 0 0 0 0","","0","0","0 1 0 0 0","0 0"
"14","Lower Court Competency","29","73","1","84","19","14 5 0 0 0","","0","0","0 5 0 0 0","1 77"
"15","Minor Settlement","1","2","0","1","2","1 1 0 0 0","","0","0","0 1 0 0 0","0 0"
"16","Miscellaneous Civil","32","54","6","56","36","28 6 2 0 0","","0","14","0 23 3 0 0","7 9"
"17","Name Change","4","68","0","57","15","15 0 0 0 0","","1","52","0 4 0 0 0","0 0"
"18","Other","12","5","2","11","8","8 0 0 0 0","","0","1","0 5 0 0 0","2 3"
"19","Tax","1","1","0","1","1","1 0 0 0 0","","0","0","0 0 0 0 0","0 0"
"20","Wrongful Death Personal Representative","2","4","0","1","5","5 0 0 0 0","","0","0","0 0 0 0 0","0 1"
"21","CONTRACT","","","","","","","","","","",""
"22","Contract/Debt & Money Due","340","549","24","497","416","384 10 22 1 2","","1","31","0 213 146 0 0","45 52"
"23","Real Estate","131","81","12","127","97","76 15 6 0 0","","1","9","0 42 44 0 0","18 12"
"24","DOMESTIC RELATIONS","","","","","","","","","","",""
"25","Child Support","122","32","231","264","121","105 9 7 0 0","","0","6","0 14 1 0 0","224 18"
"26","Child Support Enforcement","36","97","12","65","80","78 1 1 0 0","","0","5","0 7 3 0 0","15 35"
"27","Custody and Visitation","44","36","36","64","51","49 2 0 0 0","","0","2","0 16 1 0 0","38 5"
"28","Dissolution","47","136","15","143","55","54 1 0 0 0","","1","1","0 24 14 0 0","15 88"
"29","Dissolution With Custody","151","110","201","290","173","154 16 3 0 0","","0","4","0 27 11 0 0","199 47"
"30","Domestic Matters Miscellaneous","9","2","6","15","2","2 0 0 0 0","","1","0","0 2 0 0 0","9 3"
"31","Domestic Kinship/Guardianship","7","29","2","29","9","9 0 0 0 0","","0","18","0 3 0 0 0","2 5"
"32","Domestic Violence","33","211","74","305","20","20 0 0 0 0","","1","1","0 137 0 0 0","80 81"
"33","Parentage","100","49","195","222","122","109 8 5 0 0","","2","3","0 12 3 0 0","176 25"
