"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","","","","Pending Cases Trials","","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","","Pend at","","","","Pend at","0 ‐ 6","> 6","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Fourth District Court","Start","New","Re open","Closed","End","Months","Months Inact. BW Jury NonJury","","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","CRIMINAL","","","","","","","","","",""
"5","Extradition","2","0","0","1","1","0","0 1 0 0","","0 0 0 0 0","0 1 0 0"
"6","Felony Crimes Against Property","60","82","64","136","71","40","11 20 2 0","","1 0 0 1 13","54 32 61 0"
"7","Felony Crimes Against Persons","94","140","68","183","121","68","35 18 4 0","","4 0 0 0 15","88 45 60 1"
"8","Felony Drug Offenses","90","116","54","142","120","61","25 34 1 0","","0 1 0 0 15","76 43 41 1"
"9","Felony DWI/DUI","23","27","12","34","29","17","8 4 0 0","","0 0 0 0 0","20 10 10 1"
"10","Felony Homicide","8","5","7","9","11","10","1 0 0 0","","0 0 0 0 0","4 1 5 0"
"11","Felony Miscellaneous","14","35","12","31","30","23","2 5 1 0","","0 0 0 1 8","7 12 8 0"
"12","Felony Public Safety Offenses","11","44","9","31","32","16","8 8 1 0","","1 0 0 0 3","18 9 7 0"
"13","Felony Sexual Offenses","21","10","5","23","13","4","9 0 2 0","","1 0 0 1 1","13 9 5 0"
"14","Felony Domestic Violence","0","8","1","5","4","2","2 0 0 0","","0 0 0 0 2","3 2 0 0"
"15","Felony Vehicular Homicide","0","1","0","0","1","1","0 0 0 0","","0 0 0 0 0","0 0 0 0"
"16","Lower Court Appeal ‐ Defendant Appellant","6","4","2","6","6","3","3 0 0 1","","1 0 0 0 1","2 0 2 0"
"17","Lower Court Appeal ‐ Plaintiff Appellant","0","1","0","0","1","1","0 0 0 0","","0 0 0 0 0","0 0 0 0"
"18","Lower Court DWI Appeal ‐ Defendant Appellant","1","3","0","2","2","1","1 0 0 1","","1 0 0 0 0","1 0 0 0"
"19","Total","330","476","234","603","442","247","105 90 11 2","","9 1 0 3 58","286 164 199 3"
"20","JUVENILE","","","","","","","","","",""
"21","Juvenile Public Safety Offenses","1","8","3","7","5","5","0 0 0 0","","0 0 0 0 0","3 1 3 0"
"22","Juvenile Crimes Against Property","8","10","4","20","2","2","0 0 0 0","","0 0 0 0 2","8 5 3 2"
"23","Juvenile Crimes Against Persons","5","9","1","14","1","0","1 0 0 1","","0 0 1 0 0","8 2 3 0"
"24","Juvenile Delinquent Felony","0","4","1","2","3","2","0 1 0 0","","0 0 0 0 0","2 0 0 0"
"25","Juvenile Delinquent Non‐Felony","0","1","0","0","1","1","0 0 0 0","","0 0 0 0 0","0 0 0 0"
"26","Juvenile Drug Offenses","0","3","2","4","1","1","0 0 0 0","","0 0 0 0 0","2 0 2 0"
"27","Juvenile DWI Offenses","0","4","0","3","1","1","0 0 0 0","","0 0 0 0 0","3 1 0 0"
"28","Juvenile Motor Vehicle Offenses","0","1","0","0","1","1","0 0 0 0","","0 0 0 0 0","0 0 0 0"
"29","Juvenile Sexual Offenses","0","1","0","1","0","0","0 0 0 0","","0 0 0 0 0","1 0 0 0"
"30","Total","14","41","11","51","15","13","1 1 0 1","","0 0 1 0 2","27 9 11 2"
