"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","Torrance County Moriarty","Pend at","","","","Pend at 0 ‐ 6","> 6 Inact.","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Magistrate Court","Start","New","Re open","Closed","End Months","Months BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","Domestic Violence Felony","1","14","0","11","4 2","0 2","0 0","0 0 0 0 1","1 5 0 5"
"5","Domestic Violence Misdemeanor","27","55","0","57","27 14","6 7","0 1","0 0 0 1 0","30 27 1 0"
"6","DWI Felony","3","2","0","6","0 0","0 0","0 0","0 0 0 0 1","3 0 1 1"
"7","DWI Misdemeanor","40","33","0","40","33 6","2 25","1 0","1 0 0 0 1","31 8 0 1"
"8","Extradition","3","14","0","13","4 4","0 0","0 0","0 0 0 0 0","0 1 0 12"
"9","Felony","55","162","1","165","52 15","1 36","0 0","0 0 0 0 9","24 26 2 106"
"10","Misdemeanor (Mag)","203","270","4","237","240 86","9 145","0 6","3 3 0 0 28","83 131 4 1"
"11","Traffic","463","1311","2","1298","481 90","6 385","0 20","16 1 3 0 324","620 360 0 2"
"12","Total","795","1861","7","1827","841 217","24 600","1 27","20 4 3 1 364","792 558 8 128"
"13","Union County Clayton Magistrate","","","","","","","","",""
"14","Court","","","","","","","","",""
"15","Domestic Violence Felony","0","6","0","6","0 0","0 0","0 0","0 0 0 0 0","1 4 0 1"
"16","Domestic Violence Misdemeanor","5","14","0","13","6 5","0 1","0 0","0 0 0 0 0","5 8 0 0"
"17","DWI Felony","2","1","0","3","0 0","0 0","0 0","0 0 0 0 0","3 1 0 0"
"18","DWI Misdemeanor","23","24","0","28","18 15","1 2","0 2","1 0 1 0 0","18 7 0 1"
"19","Extradition","0","16","0","15","1 1","0 0","0 0","0 0 0 0 0","0 0 0 15"
"20","Felony","39","86","2","90","39 24","0 15","0 0","0 0 0 0 2","15 36 6 32"
"21","Misdemeanor (Mag)","122","154","0","120","161 73","2 86","1 4","1 3 0 1 1","90 21 3 1"
"22","Traffic","802","261","0","281","782 627","45 110","0 14","11 2 1 0 37","217 13 0 1"
"23","Total","993","562","2","556","1007 745","48 214","1 20","13 5 2 1 40","349 90 9 51"
"24","Valencia County Belen Magistrate","","","","","","","","",""
"25","Court","","","","","","","","",""
"26","Domestic Violence Felony","8","20","0","22","6 3","1 2","0 0","0 0 0 0 3","1 17 0 2"
"27","Domestic Violence Misdemeanor","32","46","0","41","37 26","2 9","0 10","0 0 0 10 2","8 21 0 0"
"28","DWI Felony","2","1","0","1","2 1","0 1","0 0","0 0 0 0 1","0 0 0 0"
"29","DWI Misdemeanor","97","87","2","71","115 81","9 25","0 12","0 1 5 6 2","37 31 2 2"
"30","Felony","221","230","1","277","174 99","9 66","0 0","0 0 0 0 9","47 185 1 59"
"31","Misdemeanor (Mag)","499","688","4","754","439 235","21 183","0 30","7 0 3 20 32","212 551 2 2"
"32","Traffic","744","2853","0","2918","703 404","28 271","0 4","0 0 0 4 174","2168 802 0 0"
"33","Total","1603","3925","7","4084","1476 849","70 557","0 56","7 1 8 40 223","2473 1607 5 65"
