"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition","",""
"2","","Pend at","","","","Pend at 0 ‐ 6","> 6","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J",""
"3","Thirteenth District Court","Start","New","Re open","Closed","End Months Months","Inact. BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ","Other"
"4","CRIMINAL","","","","","","","","","",""
"5","Domestic Violence Appeal ‐ Defendant Appellant","0","1","0","1","0 0","0 0","0 0","0 0 0 0 0","1 0 0","0"
"6","Extradition","19","55","0","57","16 6","8 2","0 0","0 0 0 0 6","0 47 0","4"
"7","Felony Crimes Against Property","737","311","312","698","667 216","180 271","6 0","3 1 0 2 44","241 110 310","0"
"8","Felony Crimes Against Persons","851","405","274","735","798 261","260 277","14 0","7 3 3 1 41","292 158 248","0"
"9","Felony Domestic Violence","0","3","0","0","3 2","1 0","0 0","0 0 0 0 0","0 0 0","0"
"10","Felony Drug Offenses","590","318","212","564","555 188","156 211","1 0","0 0 1 0 41","231 95 205","0"
"11","Felony DWI/DUI","140","54","47","118","123 24","33 66","3 0","1 0 2 0 7","62 10 39","0"
"12","Felony Homicide","24","13","4","17","25 7","16 2","3 0","3 0 0 0 0","5 2 8","0"
"13","Felony Miscellaneous","72","29","20","57","64 22","20 22","1 0","1 0 0 0 1","20 13 22","0"
"14","Felony Public Safety Offenses","106","61","37","100","104 36","47 21","0 0","0 0 0 0 8","36 18 41","0"
"15","Felony Sexual Offenses","61","32","11","46","58 18","26 14","4 0","3 1 0 0 5","15 14 10","0"
"16","Felony Vehicular Homicide","3","0","0","1","2 0","1 1","0 0","0 0 0 0 0","0 0 1","0"
"17","Lower Court Appeal","14","0","0","0","14 0","13 1","0 0","0 0 0 0 0","0 0 0","0"
"18","Lower Court Appeal ‐ Defendant Appellant","57","50","0","53","54 18","36 0","0 16","14 0 0 1 8","25 3 0","0"
"19","Lower Court Appeal ‐ Plaintiff Appellant","4","1","0","3","2 0","2 0","0 0","0 0 0 0 0","3 0 0","0"
"20","Lower Court DWI Appeal ‐ Defendant Appellant","24","49","0","47","27 20","7 0","0 16","11 0 0 3 2","25 3 0","0"
"21","Lower Court DWI Appeal ‐ Plaintiff Appellant","3","1","0","3","1 0","1 0","0 1","1 0 0 0 1","0 1 0","0"
"22","Misdemeanor (Dist.)","7","6","1","5","9 3","6 0","0 0","0 0 0 0 0","3 1 2","0"
"23","Misdemeanor DWI/DUI","9","4","2","11","4 3","0 1","0 1","0 0 1 0 0","7 2 1","0"
"24","Petition for Review of Bond/Conditions of Release","1","4","0","4","1 0","1 0","0 0","0 0 0 0 0","1 0 0","0"
"25","Total","2722","1396","920","2519","2527 824","814 889","32 34","44 5 7 7 164","966 477 887","4"
"26","JUVENILE","","","","","","","","","",""
"27","Juvenile Public Safety Offenses","7","8","2","12","6 3","3 0","0 0","0 0 0 0 3","3 3 2","0"
"28","Juvenile Crimes Against Property","50","55","29","75","60 37","15 8","0 0","0 0 0 0 16","16 16 27","0"
"29","Juvenile Crimes Against Persons","68","76","19","97","68 37","19 12","0 3","0 1 0 2 22","29 21 21","0"
"30","Juvenile Delinquent Felony","3","3","0","4","2 2","0 0","0 0","0 0 0 0 0","1 1 1","0"
"31","Juvenile Delinquent Non‐Felony","5","10","1","9","7 5","1 1","0 0","0 0 0 0 2","5 2 0","0"
"32","Juvenile Drug Offenses","42","66","21","82","47 34","7 6","0 0","0 0 0 0 21","22 18 21","0"
"33","Juvenile DWI Offenses","3","18","2","13","10 5","2 3","0 0","0 0 0 0 2","7 2 2","0"
"34","Juvenile Graffiti Offenses","1","0","0","0","1 0","0 1","0 0","0 0 0 0 0","0 0 0","0"
"35","Juvenile Motor Vehicle Offenses","2","2","2","5","1 1","0 0","0 0","0 0 0 0 0","1 3 1","0"
"36","Juvenile Sexual Offenses","9","5","1","7","8 3","4 1","0 0","0 0 0 0 3","0 2 1","1"
"37","Youthful Offender Crimes Against Persons","1","0","0","0","1 0","1 0","0 0","0 0 0 0 0","0 0 0","0"
"38","Youthful Offender Crimes Against Property","1","1","0","0","2 0","2 0","0 0","0 0 0 0 0","0 0 0","0"
"39","Youthful Offender Public Safety Offenses","0","0","1","1","0 0","0 0","0 0","0 0 0 0 0","0 0 1","0"
"40","Youthful Offender Homicide","2","0","1","1","2 0","2 0","0 0","0 0 0 0 0","0 0 1","0"
"41","Youthful Offender Sexual Offenses","2","1","1","2","1 0","1 0","0 0","0 0 0 0 1","1 0 0","0"
"42","Total","196","245","80","308","216 127","57 32","0 3","0 1 0 2 70","85 68 78","1"
