"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","Pending Cases","Trials","","","Non‐Trial Manner of Disposition","",""
"2","","Pend at New","Re Open","Closed","Pend at 0 ‐ 18 > 18 Inact. Jury","Non Jury","Pet.","Pet.","Settl. Dismis. Default Stip. Arbitr.","Post J","Other"
"3","Statewide District Court, page 2","Start","","","End Months Months BW","","Deny","Grant","","Activ.",""
"4","ESTATE","","","","","","","","","",""
"5","Probate Estates","904 60","77","413","631 140 486 5 0","1","0","28","1 229 0 0 0","131","5"
"6","Probate Formal, No Will","210 105","8","92","232 144 88 0 0","0","0","25","0 48 0 0 0","7","5"
"7","Probate Formal, Will","387 200","27","202","411 259 152 0 0","0","0","38","0 116 0 0 0","22","12"
"8","Probate Informal, No Will","893 464","42","471","930 542 388 0 0","2","0","95","0 269 0 0 0","38","23"
"9","Probate Informal, Will","1740 936","87","944","1815 1133 682 0 0","1","1","193","0 548 0 0 0","77","49"
"10","Probate Intestate","145 44","7","59","137 60 77 0 0","0","0","13","0 31 0 0 0","8","4"
"11","Probate Intestate Ancillary","15 14","2","17","14 9 5 0 0","0","0","3","0 10 0 0 0","2","0"
"12","Probate Kinship Guardianship","128 22","17","49","118 35 82 1 0","0","0","5","0 24 0 0 0","19","0"
"13","Probate Miscellaneous","227 118","7","159","193 105 85 3 0","0","1","51","0 70 0 0 0","13","7"
"14","Probate Protective Proceedings","909 44","155","245","863 536 327 0 0","0","0","13","0 64 0 0 0","153","5"
"15","Probate Trust","48 66","8","66","56 30 26 0 0","0","0","14","0 38 0 0 0","10","2"
"16","Probate, Will Ancillary","128 78","5","109","102 63 39 0 0","0","0","49","0 36 0 0 0","4","6"
"17","JUVENILE","","","","","","","","","",""
"18","Chins/Fins For Conversion Only","1 0","0","0","1 0 1 0 0","0","0","0","0 0 0 0 0","0","0"
"19","Abuse & Neglect","1472 668","11","607","1546 810 728 8 0","0","2","6","1 70 0 2 0","9","477"
"20","Juvenile Adoption","454 493","22","520","449 272 175 2 0","2","3","281","0 53 7 0 0","21","69"
"21","Juvenile Chins and Fins","1 0","0","0","1 0 1 0 0","0","0","0","0 0 0 0 0","0","0"
"22","Juvenile Substance Abuse Commitment","0 2","0","2","0 0 0 0 0","0","0","1","0 1 0 0 0","0","0"
"23","Juvenile Termination of Parental Rights","11 1","0","5","7 0 7 0 0","0","0","0","0 3 0 0 0","1","1"
"24","Juvenile Emancipation","25 12","1","17","21 7 13 1 0","1","0","3","0 8 1 0 0","0","1"
"25","Juvenile Mental Health","5489 1605","26","1479","5629 1327 4302 0 0","0","1","68","0 496 0 0 0","27","55"
"26","SEQUESTERED","","","","","","","","","",""
"27","Assisted Outpatient Treatment","0 8","0","2","7 7 0 0 0","0","0","0","0 1 0 0 0","0","1"
"28","Sequestered Adoption (Conversion)","1 0","1","1","1 0 1 0 0","0","0","0","0 0 0 0 0","1","0"
"29","Sequestered Probate, Conservatorship Adult","37 21","6","20","44 28 16 0 0","0","0","6","0 8 0 0 0","3","1"
"30","Sequestered Probate, Conservatorship Minor","22 17","2","12","30 22 8 0 0","0","0","2","0 6 0 0 0","3","0"
"31","Sequestered Probate, Guardianship of a Minor","245 97","15","142","215 149 66 0 0","0","17","20","0 69 0 0 0","26","6"
"32","Sequestered Probate, Guardianship of an Adult","260 128","31","88","330 242 88 0 0","0","0","14","1 26 0 0 0","44","0"
"33","Sequestered Probate, Conservatorship / Guardianship Adult","468 285","50","209","595 452 143 0 0","0","1","34","3 65 0 0 0","92","10"
"34","Sequestered Probate, Conservatorship / Guardianship Minor","61 25","3","19","70 47 23 0 0","0","0","8","0 9 0 0 0","0","2"
"35","Sequestered Mental Health","432 1469","1488","2910","495 176 316 3 0","0","346","554","0 292 0 0 0","1492","151"
"36","Sequestered Miscellaneous","53 51","3","47","60 21 39 0 0","0","0","25","0 12 0 0 0","3","0"
