"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","","","","Pending Cases Trials","","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","","Pend at","","","","Pend at","0 ‐ 6","> 6","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Sixth District Court","Start","New","Re open","Closed","End","Months","Months Inact. BW Jury NonJury","","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","CRIMINAL","","","","","","","","","",""
"5","Extradition","1","2","0","2","1","0","0 1 0 0","","0 0 0 0 1","0 1 0 0"
"6","Felony Crimes Against Property","106","107","112","221","103","45","16 42 7 0","","1 2 3 1 16","63 15 125 3"
"7","Felony Crimes Against Persons","172","147","119","277","160","83","44 33 14 0","","4 4 5 1 16","86 37 131 11"
"8","Felony Drug Offenses","168","199","145","316","194","110","29 55 4 0","","1 1 2 0 36","113 36 144 3"
"9","Felony DWI/DUI","23","21","15","37","24","12","5 7 2 1","","1 0 2 0 0","18 9 14 0"
"10","Felony Homicide","6","2","0","2","6","2","4 0 1 0","","0 1 0 0 0","1 0 0 0"
"11","Felony Miscellaneous","18","16","15","25","24","10","6 8 0 0","","0 0 0 0 1","11 4 11 0"
"12","Felony Public Safety Offenses","26","22","14","41","21","14","5 2 0 0","","0 0 0 0 1","17 10 18 2"
"13","Felony Sexual Offenses","10","6","7","15","8","3","5 0 1 0","","1 0 0 0 0","3 3 9 0"
"14","Felony Domestic Violence","1","1","0","2","0","0","0 0 0 0","","0 0 0 0 0","1 1 0 0"
"15","Lower Court Appeal ‐ Defendant Appellant","16","42","3","40","21","19","2 0 0 0","","0 0 0 0 1","32 4 2 1"
"16","Lower Court Appeal ‐ Plaintiff Appellant","2","0","1","3","0","0","0 0 0 0","","0 0 0 0 0","2 0 1 0"
"17","Lower Court DWI Appeal ‐ Defendant Appellant","6","4","0","7","3","1","2 0 0 0","","0 0 0 0 0","7 0 0 0"
"18","Misdemeanor (Dist.)","6","0","0","6","0","0","0 0 0 0","","0 0 0 0 0","3 0 3 0"
"19","Misdemeanor DWI/DUI","1","0","0","0","1","0","1 0 0 0","","0 0 0 0 0","0 0 0 0"
"20","Total","562","569","431","994","566","299","119 148 29 1","","8 8 12 2 72","357 120 458 20"
"21","JUVENILE","","","","","","","","","",""
"22","Juvenile Public Safety Offenses","1","9","3","9","4","4","0 0 0 0","","0 0 0 0 0","3 3 3 0"
"23","Juvenile Crimes Against Property","3","26","14","36","7","6","0 1 0 1","","0 0 1 0 2","16 2 15 0"
"24","Juvenile Crimes Against Persons","15","34","21","57","13","9","3 1 0 3","","0 0 2 1 2","27 5 21 0"
"25","Juvenile Delinquent Felony","0","7","6","12","1","1","0 0 0 0","","0 0 0 0 1","4 2 5 0"
"26","Juvenile Delinquent Non‐Felony","2","14","3","19","0","0","0 0 1 0","","0 0 1 0 0","9 7 4 0"
"27","Juvenile Drug Offenses","6","28","10","42","2","2","0 0 0 0","","0 0 0 0 1","28 1 12 0"
"28","Juvenile DWI Offenses","0","3","0","2","1","1","0 0 0 0","","0 0 0 0 0","2 0 0 0"
"29","Juvenile Sexual Offenses","1","3","0","3","1","1","0 0 0 0","","0 0 0 0 1","2 0 0 0"
"30","Youthful Offender Crimes Against Persons","2","0","0","2","0","0","0 0 1 0","","1 0 0 0 0","0 0 1 0"
"31","Youthful Offender Homicide","1","0","0","0","1","0","1 0 0 0","","0 0 0 0 0","0 0 0 0"
"32","Youthful Offender Sexual Offenses","1","0","0","1","0","0","0 0 1 0","","0 1 0 0 0","0 0 0 0"
"33","Total","32","124","57","183","30","24","4 2 3 4","","1 1 4 1 7","91 20 61 0"
