"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","","Pending Cases Trials","","Trial Manner of Disposition","Non‐Trial Manner of Disposition",""
"2","","Pend at","","","","Pend at","0 ‐ 6","> 6","","Plea At Dism At","Dism Bef Plea Bef Dism By Post J",""
"3","Seventh District Court","Start","New","Re open","Closed","End","Months","Months Inact. BW Jury NonJury","","Convict Acquit Trial Trial","Trial Trial Pros Activ","Other"
"4","CRIMINAL","","","","","","","","","","",""
"5","Extradition","2","7","0","5","4","1","1 2 0 0","","0 0 0 0","1 0 1 0","3"
"6","Felony Crimes Against Property","113","125","43","147","134","65","44 25 0 0","","0 0 0 0","1 83 25 47","0"
"7","Felony Crimes Against Persons","124","104","37","130","134","72","49 13 5 0","","1 3 1 0","8 65 31 32","0"
"8","Felony Drug Offenses","155","183","61","209","190","93","63 34 0 0","","0 0 0 0","7 113 44 64","0"
"9","Felony DWI/DUI","18","13","8","26","13","6","2 5 0 0","","0 0 0 0","0 12 3 12","0"
"10","Felony Homicide","5","1","1","4","3","0","2 1 1 0","","0 0 1 0","0 2 0 1","0"
"11","Felony Miscellaneous","19","15","8","19","23","12","9 2 0 0","","0 0 0 0","0 9 2 8","0"
"12","Felony Public Safety Offenses","21","20","10","35","16","8","4 4 1 0","","0 0 0 1","0 22 7 10","0"
"13","Felony Sexual Offenses","18","16","6","22","18","6","10 2 2 0","","2 0 0 0","0 11 6 7","0"
"14","Felony Domestic Violence","3","2","1","4","3","3","0 0 0 0","","0 0 0 0","0 2 2 0","0"
"15","Felony Vehicular Homicide","5","0","0","2","3","0","3 0 0 0","","0 0 0 0","0 1 1 0","0"
"16","Lower Court Appeal ‐ Defendant Appellant","8","7","0","6","9","3","5 1 1 1","","1 0 1 0","0 2 2 0","0"
"17","Lower Court Appeal ‐ Plaintiff Appellant","0","1","0","1","0","0","0 0 0 0","","0 0 0 0","0 0 1 0","0"
"18","Lower Court DWI Appeal ‐ Defendant Appellant","5","0","1","5","1","1","0 0 0 1","","0 0 1 0","0 3 0 1","0"
"19","Lower Court DWI Appeal ‐ Plaintiff Appellant","1","0","0","1","0","0","0 0 0 0","","0 0 0 0","1 0 0 0","0"
"20","Misdemeanor (Dist.)","2","10","0","7","6","4","1 1 0 0","","0 0 0 0","0 2 3 2","0"
"21","Misdemeanor DWI/DUI","3","2","0","2","3","2","1 0 0 0","","0 0 0 0","1 1 0 0","0"
"22","Total","502","506","176","625","560","276","194 90 10 2","","4 3 4 1","19 328 128 184","3"
"23","JUVENILE","","","","","","","","","","",""
"24","Juvenile Public Safety Offenses","1","6","1","4","4","1","2 1 0 0","","0 0 0 0","0 3 0 1","0"
"25","Juvenile Crimes Against Property","13","26","8","36","13","9","2 2 0 0","","0 0 0 0","2 19 8 6","0"
"26","Juvenile Crimes Against Persons","3","20","4","24","4","2","1 1 0 0","","0 0 0 0","2 11 8 3","0"
"27","Juvenile Delinquent Felony","2","1","0","1","2","1","1 0 0 0","","0 0 0 0","0 0 0 0","0"
"28","Juvenile Delinquent Non‐Felony","0","0","1","1","0","0","0 0 0 0","","0 0 0 0","0 0 0 1","0"
"29","Juvenile Drug Offenses","4","8","1","8","5","4","0 1 0 0","","0 0 0 0","1 6 1 0","0"
"30","Juvenile DWI Offenses","0","3","0","2","1","1","0 0 0 0","","0 0 0 0","1 1 0 0","0"
"31","Juvenile Motor Vehicle Offenses","0","2","0","2","0","0","0 0 0 0","","0 0 0 0","1 0 1 0","0"
"32","Juvenile Sexual Offenses","2","3","0","4","2","1","1 0 0 0","","0 0 0 0","0 2 3 0","0"
"33","Youthful Offender Homicide","1","2","0","1","2","2","0 0 1 0","","0 1 0 0","0 0 0 0","0"
"34","Youthful Offender Sexual Offenses","1","0","0","1","0","0","0 0 1 0","","1 0 0 0","0 0 0 0","0"
"35","Total","27","71","15","84","33","21","7 5 2 0","","1 1 0 0","7 42 21 11","0"
