"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet. Pet.","","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Ninth District Court, page 2","Start","","","","End","Months Months BW","","Deny Grant","","","Activ."
"4","ESTATE","","","","","","","","","","",""
"5","Probate Estates","109","4","5","84","35","14 20 1 0 0","","0 2","","0 64 0 0 0","14 2"
"6","Probate Formal, No Will","9","7","0","1","15","8 7 0 0 0","","0 0","","0 1 0 0 0","0 0"
"7","Probate Formal, Will","19","8","2","7","22","11 11 0 0 0","","0 3","","0 1 0 0 0","1 1"
"8","Probate Informal, No Will","39","16","0","5","50","20 30 0 0 0","","0 2","","0 0 0 0 0","0 1"
"9","Probate Informal, Will","66","23","1","9","81","32 49 0 0 0","","0 5","","0 0 0 0 0","1 3"
"10","Probate Intestate","9","1","0","2","8","2 6 0 0 0","","0 1","","0 1 0 0 0","0 0"
"11","Probate Intestate Ancillary","0","1","0","0","1","1 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"12","Probate Kinship Guardianship","14","0","5","6","13","5 8 0 0 0","","0 1","","0 0 0 0 0","5 0"
"13","Probate Miscellaneous","9","3","0","2","10","5 5 0 0 0","","0 1","","0 0 0 0 0","0 1"
"14","Probate Protective Proceedings","16","0","1","2","15","7 8 0 0 0","","0 0","","0 0 0 0 0","1 1"
"15","Probate Trust","5","3","0","2","6","3 3 0 0 0","","0 1","","0 1 0 0 0","0 0"
"16","Probate, Will Ancillary","8","7","0","2","13","7 6 0 0 0","","0 0","","0 1 0 0 0","0 1"
"17","JUVENILE","","","","","","","","","","",""
"18","Chins/Fins For Conversion Only","1","0","0","0","1","0 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"19","Abuse & Neglect","50","19","0","34","35","19 16 0 0 0","","0 0","","0 1 0 0 0","0 32"
"20","Juvenile Adoption","20","43","1","38","26","17 7 2 0 0","","0 29","","0 3 0 0 0","1 5"
"21","Juvenile Termination of Parental Rights","4","0","0","2","2","0 2 0 0 0","","0 0","","0 2 0 0 0","0 0"
"22","SEQUESTERED","","","","","","","","","","",""
"23","Sequestered Probate, Conservatorship Adult","2","1","0","1","2","1 1 0 0 0","","0 0","","0 0 0 0 0","1 0"
"24","Sequestered Probate, Conservatorship Minor","0","1","0","0","1","1 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"25","Sequestered Probate, Guardianship of a Minor","25","1","3","7","22","13 9 0 0 0","","0 1","","0 0 0 0 0","5 1"
"26","Sequestered Probate, Guardianship of an Adult","0","1","0","0","1","1 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"27","Sequestered Probate, Conservatorship / Guardianship Adult","21","16","1","4","34","31 3 0 0 0","","0 0","","0 2 0 0 0","0 2"
"28","Sequestered Probate, Conservatorship / Guardianship Minor","6","0","0","2","4","2 2 0 0 0","","0 0","","0 1 0 0 0","0 1"
"29","Sequestered Mental Health","4","1","0","1","4","1 2 1 0 0","","0 0","","0 1 0 0 0","0 0"
"30","Sequestered Miscellaneous","11","0","0","0","11","0 11 0 0 0","","0 0","","0 0 0 0 0","0 0"
"31","TORT","","","","","","","","","","",""
"32","Tort","29","18","2","17","31","21 6 4 0 1","","0 0","","0 8 0 0 0","2 6"
"33","Tort Auto","23","19","1","21","22","16 2 4 0 0","","0 1","","0 15 0 0 0","1 3"
"34","Tort Malpractice, Product Liability","3","2","0","2","3","1 2 0 1 0","","1 0","","0 1 0 0 0","0 0"
"35","Total","1932","2182","528","2409","2226","1505 540 181 2 2","","1 217","","0 636 377 0 0","503 647"
