"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","","Pend at","","","","Pend at 0 ‐ 6","> 6 Inact.","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Lea County Hobbs Magistrate Court","Start","New","Re open","Closed","End Months","Months BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","Domestic Violence Felony","9","39","1","30","19 14","0 5","0 0","0 0 0 0 0","2 18 1 10"
"5","Domestic Violence Misdemeanor","183","256","0","244","198 109","11 78","5 28","4 8 15 6 4","65 138 3 0"
"6","DWI Felony","5","19","1","18","7 3","0 4","0 0","0 0 0 0 1","0 2 1 14"
"7","DWI Misdemeanor","158","94","0","112","143 43","9 91","3 33","6 0 28 2 3","40 34 1 0"
"8","Extradition","2","56","0","56","2 2","0 0","0 0","0 0 0 0 2","0 11 0 43"
"9","Felony","409","879","10","889","409 146","5 258","0 0","0 0 0 0 5","69 154 18 648"
"10","Misdemeanor (Mag)","357","186","0","224","320 66","16 238","3 22","4 3 15 3 12","63 122 1 0"
"11","Traffic","746","716","0","772","690 128","24 538","0 33","15 0 10 8 195","299 247 0 0"
"12","Total","1869","2245","12","2345","1788 511","65 1212","11 116","29 11 68 19 222","538 726 25 715"
"13","Lea County Jal Magistrate Court","","","","","","","","",""
"14","Domestic Violence Felony","1","0","0","1","0 0","0 0","0 0","0 0 0 0 0","0 1 0 0"
"15","Domestic Violence Misdemeanor","6","11","0","10","7 3","0 4","0 0","0 0 0 0 0","1 9 0 0"
"16","DWI Felony","1","1","0","1","1 0","0 1","0 0","0 0 0 0 0","0 0 0 1"
"17","DWI Misdemeanor","4","14","0","11","7 4","1 2","0 0","0 0 0 0 1","8 2 0 0"
"18","Extradition","1","3","0","4","0 0","0 0","0 0","0 0 0 0 0","0 0 0 4"
"19","Felony","7","17","0","15","9 6","0 3","0 0","0 0 0 0 0","1 4 0 10"
"20","Misdemeanor (Mag)","10","14","0","13","11 5","0 6","0 0","0 0 0 0 0","5 5 2 1"
"21","Traffic","1","16","0","13","4 1","0 3","0 1","0 0 0 1 2","9 1 0 0"
"22","Total","31","76","0","68","39 19","1 19","0 1","0 0 0 1 3","24 22 2 16"
