"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","Otero County Alamogordo","Pend at","","","","Pend at 0 ‐ 6","> 6 Inact.","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Magistrate Court","Start","New","Re open","Closed","End Months","Months BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","Domestic Violence Felony","16","31","0","34","13 9","2 2","0 0","0 0 0 0 0","4 2 0 28"
"5","Domestic Violence Misdemeanor","200","271","0","237","234 136","30 68","4 2","3 1 1 1 16","152 57 2 6"
"6","DWI Felony","13","16","0","19","9 3","6 0","0 0","0 0 0 0 1","4 0 0 14"
"7","DWI Misdemeanor","164","160","0","172","151 63","40 48","19 0","9 3 3 4 8","123 18 0 6"
"8","Extradition","6","42","0","42","7 1","6 0","0 0","0 0 0 0 0","0 2 0 38"
"9","Felony","753","581","1","584","748 424","153 171","0 0","0 0 0 0 5","56 60 3 461"
"10","Misdemeanor (Mag)","1146","1238","3","1257","1130 363","79 688","5 7","4 2 2 4 42","1058 144 3 2"
"11","Traffic","1607","2930","5","2880","1665 634","61 970","0 168","74 3 49 42 306","1910 504 6 1"
"12","Total","3905","5269","9","5225","3957 1633","377 1947","28 177","90 9 55 51 378","3307 787 14 556"
"13","Quay County Tucumcari Magistrate","","","","","","","","",""
"14","Court","","","","","","","","",""
"15","Domestic Violence Felony","1","14","1","10","5 2","0 3","0 0","0 0 0 0 1","2 0 1 6"
"16","Domestic Violence Misdemeanor","15","60","1","45","31 21","2 8","0 0","0 0 0 0 1","32 17 1 0"
"17","DWI Felony","7","5","0","7","5 5","0 0","0 0","0 0 0 0 3","1 2 0 2"
"18","DWI Misdemeanor","56","43","1","57","43 22","5 16","3 2","5 0 0 0 3","40 12 1 0"
"19","Extradition","1","16","0","16","1 1","0 0","0 0","0 0 0 0 0","0 1 0 15"
"20","Felony","230","191","6","216","212 157","17 38","0 0","0 0 0 0 11","25 55 7 124"
"21","Misdemeanor (Mag)","1101","331","1","348","1087 549","65 473","1 3","2 0 2 0 30","195 122 2 0"
"22","Traffic","3176","1256","2","1205","3218 1572","224 1422","0 12","2 1 3 6 189","632 401 1 0"
"23","Total","4587","1916","12","1904","4602 2329","313 1960","4 17","9 1 5 6 238","927 610 13 147"
"24","Rio Arriba County Chama Magistrate","","","","","","","","",""
"25","Court","","","","","","","","",""
"26","Domestic Violence Felony","2","1","0","2","1 0","1 0","0 0","0 0 0 0 0","0 2 0 0"
"27","Domestic Violence Misdemeanor","15","16","0","15","16 10","2 4","0 2","1 0 1 0 0","2 10 0 1"
"28","DWI Felony","4","5","1","6","4 0","3 1","0 0","0 0 0 0 0","0 3 1 2"
"29","DWI Misdemeanor","54","13","0","16","51 14","20 17","0 0","0 0 0 0 0","14 3 0 0"
"30","Extradition","2","0","0","0","2 0","2 0","0 0","0 0 0 0 0","0 0 0 0"
"31","Felony","80","35","1","37","79 6","72 1","0 3","1 0 1 1 0","3 32 1 0"
"32","Misdemeanor (Mag)","175","175","2","174","167 44","28 95","0 85","24 2 34 25 4","34 49 2 0"
"33","Traffic","341","581","0","579","344 117","90 137","0 94","27 2 12 53 67","318 105 0 0"
"34","Total","673","826","4","829","664 191","218 255","0 184","53 4 48 79 71","371 204 4 3"
