"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet.","Pet.","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Twelfth District Court, page 1","Start","","","","End","Months Months BW","","Deny","Grant","","Activ."
"4","APPEALS","","","","","","","","","","",""
"5","Civil Administrative Appeal ‐ Defendant Appellant","4","0","0","3","1","1 0 0 0 0","","0","0","0 1 0 0 0","0 0"
"6","Civil Administrative Appeal ‐ Plaintiff Appellant","3","2","0","4","1","1 0 0 0 0","","0","0","0 3 0 0 0","0 0"
"7","Civil Appeals","1","0","0","0","1","0 1 0 0 0","","0","0","0 0 0 0 0","0 0"
"8","Civil Appeals ‐ Defendant Appellant","9","8","1","7","11","9 2 0 0 0","","0","1","0 3 0 0 0","2 1"
"9","Civil Appeals ‐ Plaintiff Appellant","10","8","1","8","11","7 4 0 0 0","","0","0","0 6 0 0 0","0 2"
"10","License Revocation Appeal ‐ Plaintiff Appellant","0","1","0","0","1","1 0 0 0 0","","0","0","0 0 0 0 0","0 0"
"11","CIVIL","","","","","","","","","","",""
"12","Adult Adoption","1","4","0","2","3","3 0 0 0 0","","0","2","0 0 0 0 0","0 0"
"13","Civil Violations, Statutes, Ordinances","26","16","2","17","27","15 12 0 0 1","","1","0","0 12 0 0 0","2 2"
"14","Habeas Corpus","34","25","3","37","25","20 5 0 0 0","","0","4","0 23 0 0 0","1 4"
"15","Lower Court Competency","30","52","0","36","44","33 10 1 0 0","","0","0","0 2 0 0 0","1 29"
"16","Minor Settlement","5","3","0","4","4","3 1 0 0 0","","0","2","0 2 0 0 0","0 0"
"17","Miscellaneous Civil","105","93","10","113","95","68 24 3 1 3","","3","22","0 59 5 0 0","6 7"
"18","Name Change","15","77","0","71","21","19 2 0 0 0","","0","56","0 9 0 0 0","0 0"
"19","Other","35","16","1","26","26","15 10 1 0 0","","0","5","0 9 2 0 0","3 3"
"20","Tax","2","0","0","1","1","0 1 0 0 0","","0","0","0 1 0 0 0","0 0"
"21","Wrongful Death Personal Representative","4","10","0","3","11","11 0 0 0 0","","0","0","0 3 0 0 0","0 0"
"22","CONTRACT","","","","","","","","","","",""
"23","Contract/Debt & Money Due","763","782","249","845","937","750 146 41 0 4","","0","63","0 355 224 0 0","111 63"
"24","Real Estate","274","210","22","264","242","191 44 7 0 1","","0","24","0 74 113 0 0","23 18"
"25","DOMESTIC RELATIONS","","","","","","","","","","",""
"26","Child Support","86","3","91","113","67","37 25 5 0 0","","0","7","0 6 1 0 0","98 1"
"27","Child Support Enforcement","119","103","39","161","100","86 11 3 0 1","","1","39","0 42 8 0 0","26 30"
"28","Custody and Visitation","30","14","7","29","21","16 5 0 0 0","","0","2","0 12 0 0 0","11 3"
"29","Dissolution","155","258","27","333","109","91 17 1 0 2","","3","12","0 64 19 0 0","34 192"
"30","Dissolution With Custody","344","167","114","362","262","173 86 3 0 5","","1","24","0 74 13 0 0","138 109"
"31","Domestic Matters Miscellaneous","25","7","5","18","19","9 9 1 0 0","","0","3","0 4 2 0 0","7 2"
"32","Domestic Kinship/Guardianship","44","44","11","59","42","32 10 0 0 0","","2","28","0 16 1 0 0","9 0"
"33","Domestic Violence","44","398","4","415","38","28 10 0 0 0","","1","0","0 277 1 0 0","7 119"
"34","Parentage","167","72","42","141","140","93 47 0 0 1","","0","13","0 58 1 0 0","34 30"
