"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","","","","Pending Cases Trials","","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","","Pend at","","","","Pend at","0 ‐ 6","> 6","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","First District Court","Start","New","Re open","Closed","End","Months","Months Inact. BW Jury NonJury","","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","CRIMINAL","","","","","","","","","",""
"5","Adult Motor Vehicle Offenses","2","0","0","0","2","0","1 1 0 0","","0 0 0 0 0","0 0 0 0"
"6","Extradition","18","4","0","1","21","3","18 0 0 0","","0 0 0 0 0","0 1 0 0"
"7","Felony Crimes Against Property","647","369","412","653","793","286","256 251 7 0","","2 5 0 0 40","178 41 389 0"
"8","Felony Crimes Against Persons","586","379","279","544","713","252","287 174 9 0","","4 2 2 1 48","185 37 263 1"
"9","Felony Drug Offenses","559","372","274","571","633","220","189 224 5 0","","4 0 0 1 49","224 46 251 0"
"10","Felony DWI/DUI","217","80","100","185","215","64","92 59 5 0","","5 0 0 0 4","62 11 101 1"
"11","Felony Homicide","20","13","10","13","29","10","18 1 1 0","","1 0 0 0 2","0 0 10 0"
"12","Felony Miscellaneous","60","21","25","46","59","16","19 24 0 0","","0 0 0 0 2","16 2 26 0"
"13","Felony Public Safety Offenses","37","40","24","46","54","20","20 14 0 0","","0 0 0 0 2","18 5 21 0"
"14","Felony Sexual Offenses","60","38","15","32","80","20","38 22 1 0","","1 0 0 0 5","10 5 11 0"
"15","Felony Domestic Violence","1","0","1","0","2","1","1 0 0 0","","0 0 0 0 0","0 0 0 0"
"16","Lower Court Appeal","7","0","0","0","7","0","7 0 0 0","","0 0 0 0 0","0 0 0 0"
"17","Felony Vehicular Homicide","5","4","0","3","6","1","4 1 0 0","","0 0 0 0 0","2 0 1 0"
"18","Lower Court Appeal ‐ Defendant Appellant","33","13","1","19","27","5","21 1 0 3","","2 1 0 0 2","8 2 2 0"
"19","Lower Court Appeal ‐ Plaintiff Appellant","6","1","0","3","4","0","3 1 0 0","","0 0 0 0 1","1 1 0 0"
"20","Lower Court DWI/DUI Appeals","3","0","0","0","3","0","3 0 0 0","","0 0 0 0 0","0 0 0 0"
"21","Lower Court DWI Appeal ‐ Defendant Appellant","21","17","2","22","18","10","8 0 4 2","","6 0 0 0 2","10 2 2 0"
"22","Lower Court DWI Appeal ‐ Plaintiff Appellant","1","2","0","2","1","0","1 0 0 0","","0 0 0 0 0","1 1 0 0"
"23","Misdemeanor (Dist.)","1","2","0","1","2","1","1 0 0 0","","0 0 0 0 0","1 0 0 0"
"24","Misdemeanor DWI/DUI","2","2","0","1","3","0","3 0 0 0","","0 0 0 0 0","0 1 0 0"
"25","Petition for Review of Bond/Conditions of Release","3","19","1","7","15","12","3 0 0 0","","0 0 0 0 0","0 0 0 6"
"26","Total","2289","1376","1144","2149","2687","921","993 773 32 5","","25 8 2 2 157","716 155 1077 8"
"27","JUVENILE","","","","","","","","","",""
"28","Juvenile Public Safety Offenses","1","6","3","6","4","2","1 1 0 0","","0 0 0 0 0","4 2 0 0"
"29","Juvenile Crimes Against Property","34","41","50","86","39","12","15 12 0 0","","0 0 0 0 2","35 9 40 0"
"30","Juvenile Crimes Against Persons","44","82","65","140","51","23","15 13 0 0","","0 0 0 0 8","58 16 56 0"
"31","Juvenile Delinquent Felony","8","3","1","6","6","0","2 4 0 0","","0 0 0 0 0","4 1 1 0"
"32","Juvenile Delinquent Non‐Felony","5","4","9","12","6","1","2 3 0 0","","0 0 0 0 1","3 1 7 0"
"33","Juvenile Drug Offenses","27","34","26","59","28","12","10 6 0 0","","0 0 0 0 3","24 8 24 0"
"34","Juvenile DWI Offenses","4","9","5","8","10","6","3 1 0 0","","0 0 0 0 0","4 0 4 0"
"35","Juvenile Graffiti Offenses","0","1","0","1","0","0","0 0 0 0","","0 0 0 0 0","0 1 0 0"
"36","Juvenile Homicide","2","0","0","0","2","0","2 0 0 0","","0 0 0 0 0","0 0 0 0"
"37","Juvenile Motor Vehicle Offenses","3","4","2","5","4","2","1 1 0 0","","0 0 0 0 0","2 1 1 0"
"38","Juvenile Sexual Offenses","11","6","1","11","7","2","3 2 1 0","","1 0 0 0 2","3 3 1 0"
"39","Youthful Offender Crimes Against Persons","2","0","2","2","2","1","1 0 0 0","","0 0 0 0 0","1 0 1 0"
"40","Youthful Offender Crimes Against Property","1","1","0","1","1","0","1 0 0 0","","0 0 0 0 1","0 0 0 0"
"41","Total","142","191","164","337","160","61","56 43 1 0","","1 0 0 0 17","138 42 135 0"
