"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet. Pet.","","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Third District Court, page 2","Start","","","","End","Months Months BW","","Deny Grant","","","Activ."
"4","ESTATE","","","","","","","","","","",""
"5","Probate Estates","208","3","2","10","203","8 194 1 0 0","","0 1","","0 6 0 0 0","2 0"
"6","Probate Formal, No Will","13","5","0","2","16","7 9 0 0 0","","0 0","","0 2 0 0 0","0 0"
"7","Probate Formal, Will","26","14","0","6","34","15 19 0 0 0","","0 0","","0 5 0 0 0","0 1"
"8","Probate Informal, No Will","75","27","0","15","87","33 54 0 0 0","","0 0","","0 11 0 0 0","1 3"
"9","Probate Informal, Will","110","70","0","32","147","84 63 0 0 0","","1 2","","0 16 0 0 0","0 7"
"10","Probate Intestate","6","1","0","0","7","2 5 0 0 0","","0 0","","0 0 0 0 0","0 0"
"11","Probate Intestate Ancillary","1","1","0","0","2","1 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"12","Probate Miscellaneous","13","5","0","4","14","6 8 0 0 0","","0 1","","0 3 0 0 0","0 0"
"13","Probate Protective Proceedings","405","39","1","25","420","371 49 0 0 0","","0 8","","0 13 0 0 0","0 1"
"14","Probate Trust","5","3","0","3","5","4 1 0 0 0","","0 0","","0 3 0 0 0","0 0"
"15","Probate, Will Ancillary","5","0","0","1","4","0 4 0 0 0","","0 0","","0 1 0 0 0","0 0"
"16","JUVENILE","","","","","","","","","","",""
"17","Abuse & Neglect","82","33","0","30","85","43 41 1 0 0","","0 0","","0 6 0 0 0","0 19"
"18","Juvenile Adoption","50","34","2","53","33","26 7 0 0 0","","0 21","","0 23 1 0 0","3 3"
"19","Juvenile Substance Abuse Commitment","0","2","0","2","0","0 0 0 0 0","","0 1","","0 1 0 0 0","0 0"
"20","Juvenile Termination of Parental Rights","3","0","0","1","2","0 2 0 0 0","","0 0","","0 0 0 0 0","0 1"
"21","SEQUESTERED","","","","","","","","","","",""
"22","Assisted Outpatient Treatment","0","8","0","2","7","7 0 0 0 0","","0 0","","0 1 0 0 0","0 1"
"23","Juvenile Mental Health","33","619","25","635","41","30 11 0 0 0","","0 56","","0 492 0 0 0","26 42"
"24","Sequestered Probate, Conservatorship Adult","4","0","0","1","3","2 1 0 0 0","","0 1","","0 0 0 0 0","0 0"
"25","Sequestered Probate, Conservatorship Minor","1","0","0","1","0","0 0 0 0 0","","0 0","","0 1 0 0 0","0 0"
"26","Sequestered Probate, Guardianship of a Minor","1","0","0","0","1","0 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"27","Sequestered Probate, Guardianship of an Adult","16","10","0","1","25","22 3 0 0 0","","0 1","","0 0 0 0 0","0 0"
"28","Sequestered Probate, Conservatorship / Guardianship Adult","33","42","0","6","67","63 4 0 0 0","","0 2","","0 2 0 0 0","0 2"
"29","Sequestered Probate, Conservatorship / Guardianship Minor","3","1","0","0","4","4 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"30","Sequestered Mental Health","7","268","7","265","19","15 4 0 0 0","","2 58","","0 150 0 0 0","5 23"
"31","Sequestered Miscellaneous","1","1","0","1","1","1 0 0 0 0","","0 0","","0 1 0 0 0","0 0"
"32","TORT","","","","","","","","","","",""
"33","Tort","84","61","4","61","88","75 13 0 0 1","","0 0","","0 44 0 0 0","6 9"
"34","Tort Auto","68","83","3","67","87","73 14 0 0 0","","0 3","","0 48 2 0 0","6 7"
"35","Tort Malpractice, Product Liability","19","21","1","12","28","23 5 0 0 0","","0 0","","0 10 0 0 0","0 2"
"36","OTHER","","","","","","","","","","",""
"37","Rincon Valley","609","2","1","0","612","4 608 0 0 0","","0 0","","0 0 0 0 0","0 0"
"38","Northern Mesilla Valley","7031","151","0","0","7182","205 6977 0 0 0","","0 0","","0 0 0 0 0","0 0"
"39","Nutt Hockett Basin","42","0","0","0","42","0 42 0 0 0","","0 0","","0 0 0 0 0","0 0"
"40","Outlying Areas","2253","17","1","0","2271","26 2245 0 0 0","","0 0","","0 0 0 0 0","0 0"
"41","Southern Mesilla","7175","43","0","1","7217","57 7160 0 0 0","","0 0","","0 0 0 0 0","0 0"
"42","Stream System Issues","4","1","0","0","5","1 4 0 0 0","","0 0","","0 0 0 0 0","0 0"
"43","Total","22959","7189","2726","9130","23712","5687 17867 158 5 15","","9 534","","0 3387 864 0 0","2809 1367"
