"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","","","","Pending Cases Trials","","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","","Pend at","","","","Pend at","0 ‐ 6","> 6","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Fifth District Court","Start","New","Re open","Closed","End","Months","Months Inact. BW Jury NonJury","","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","CRIMINAL","","","","","","","","","",""
"5","Adult Motor Vehicle Offenses","2","2","4","5","3","2","0 1 0 0","","0 0 0 0 0","2 0 3 0"
"6","Contempt","0","1","0","0","1","1","0 0 0 0","","0 0 0 0 0","0 0 0 0"
"7","Extradition","2","3","0","4","1","0","1 0 0 0","","0 0 0 0 0","0 1 0 1"
"8","Felony Crimes Against Property","642","667","484","1070","727","480","136 111 23 2","","6 5 7 7 48","383 135 483 0"
"9","Felony Crimes Against Persons","418","337","234","607","381","217","111 53 32 1","","14 8 7 4 19","206 92 258 0"
"10","Felony Drug Offenses","748","694","579","1273","737","427","186 124 28 5","","11 5 13 4 59","544 91 548 0"
"11","Felony DWI/DUI","87","46","37","95","75","30","20 25 6 2","","5 0 3 0 2","46 14 32 0"
"12","Felony Homicide","43","22","13","35","42","16","25 1 6 0","","2 4 0 0 0","9 2 18 0"
"13","Felony Miscellaneous","10","7","0","10","7","3","2 2 0 0","","0 0 0 0 1","5 2 2 0"
"14","Felony Public Safety Offenses","123","167","75","212","154","95","46 13 8 1","","7 1 0 1 1","101 26 76 0"
"15","Felony Sexual Offenses","99","46","37","98","84","30","38 16 12 3","","6 7 1 1 2","30 17 36 0"
"16","Felony First Degree","1","0","1","0","2","1","1 0 0 0","","0 0 0 0 0","0 0 0 0"
"17","Felony Domestic Violence","11","12","16","26","15","12","2 1 1 0","","0 0 0 1 1","6 2 17 0"
"18","Felony Vehicular Homicide","3","0","0","1","2","0","2 0 0 0","","0 0 0 0 0","0 0 1 0"
"19","Lower Court Appeal ‐ Defendant Appellant","45","58","2","62","42","30","12 0 2 11","","8 2 0 0 4","31 7 4 1"
"20","Lower Court Appeal ‐ Plaintiff Appellant","2","0","0","2","0","0","0 0 1 0","","1 0 0 0 0","1 0 0 0"
"21","Lower Court DWI Appeal ‐ Defendant Appellant","28","12","2","26","16","9","5 2 4 4","","4 2 0 0 2","9 3 0 0"
"22","Lower Court DWI Appeal ‐ Plaintiff Appellant","1","1","0","0","2","1","0 1 0 0","","0 0 0 0 0","0 0 0 0"
"23","Misdemeanor (Dist.)","36","30","11","41","35","13","14 8 5 2","","3 2 1 1 0","11 14 9 0"
"24","Misdemeanor DWI/DUI","90","82","27","119","81","37","25 19 4 17","","10 3 6 2 0","66 12 19 0"
"25","Petition for Review of Bond/Conditions of Release","0","3","0","3","0","0","0 0 0 0","","0 0 0 0 0","1 0 0 0"
"26","Total","2391","2190","1522","3689","2407","1404","626 377 132 48","","77 39 38 21 139","1451 418 1506 2"
"27","JUVELINE","","","","","","","","","",""
"28","Juvenile Public Safety Offenses","16","32","18","55","11","7","2 2 1 6","","2 2 3 0 3","26 4 15 0"
"29","Juvenile Crimes Against Property","38","118","64","171","48","39","3 6 0 14","","1 0 12 1 6","61 29 61 1"
"30","Juvenile Crimes Against Persons","37","101","23","123","38","26","7 5 3 6","","0 1 4 4 7","51 25 26 5"
"31","Juvenile Delinquent Felony","4","16","2","13","8","7","1 0 0 0","","0 0 0 0 0","9 3 1 0"
"32","Juvenile Delinquent Non‐Felony","29","25","16","58","12","7","1 4 0 0","","0 0 0 0 2","23 12 21 0"
"33","Juvenile Drug Offenses","18","47","32","84","13","10","0 3 0 7","","0 0 6 1 2","26 17 32 0"
"34","Juvenile DWI Offenses","2","6","0","5","3","2","1 0 0 0","","0 0 0 0 0","5 1 0 0"
"35","Juvenile Graffiti Offenses","0","1","0","0","1","1","0 0 0 0","","0 0 0 0 0","0 0 0 0"
"36","Juvenile Truancy","7","27","0","30","4","4","0 0 0 7","","2 0 4 1 0","12 11 0 0"
"37","Juvenile Homicide","1","0","0","1","0","0","0 0 0 0","","0 0 0 0 0","1 0 0 0"
"38","Juvenile Motor Vehicle Offenses","3","10","4","14","3","3","0 0 0 0","","0 0 0 0 1","7 2 4 0"
"39","Juvenile Sexual Offenses","7","18","3","17","11","8","3 0 0 6","","0 0 6 0 1","8 1 1 0"
"40","Youthful Offender Crimes Against Persons","1","5","1","3","4","3","1 0 0 0","","0 0 0 0 0","2 1 1 0"
"41","Youthful Offender Crimes Against Property","2","1","0","2","1","1","0 0 0 0","","0 0 0 0 0","2 0 0 0"
"42","Youthful Offender Homicide","1","0","0","1","0","0","0 0 1 0","","0 1 0 0 0","0 0 0 0"
"43","Youthful Offender Public Safety Offenses","1","0","0","1","0","0","0 0 0 0","","0 0 0 0 0","0 0 1 0"
"44","Youthful Offender Sexual Offenses","1","0","0","1","0","0","0 0 0 0","","0 0 0 0 0","1 0 0 0"
"45","Total","168","407","163","579","157","118","19 20 5 46","","5 4 35 7 22","234 106 163 6"
