"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","Eddy County Artesia Magistrate","Pend at","","","","Pend at 0 ‐ 6","> 6 Inact.","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Court","Start","New","Re open","Closed","End Months","Months BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","Domestic Violence Felony","3","7","0","9","1 0","0 1","0 0","0 0 0 0 0","1 1 0 7"
"5","Domestic Violence Misdemeanor","48","81","0","83","45 25","0 20","5 3","0 1 2 5 6","29 39 0 2"
"6","DWI Felony","1","2","0","2","1 0","0 1","0 0","0 0 0 0 0","0 0 0 2"
"7","DWI Misdemeanor","15","23","0","20","18 10","1 7","1 5","3 0 2 1 0","12 4 0 1"
"8","Extradition","1","6","0","7","1 1","0 0","0 0","0 0 0 0 0","0 1 0 6"
"9","Felony","50","88","0","104","34 5","0 29","0 0","0 0 0 0 6","2 10 0 86"
"10","Misdemeanor (Mag)","109","254","0","284","79 21","1 57","0 23","11 1 3 8 10","198 66 0 1"
"11","Traffic","268","1007","0","1062","213 65","0 148","0 68","23 2 8 35 168","607 251 0 0"
"12","Total","495","1468","0","1571","392 127","2 263","6 99","37 4 15 49 190","849 372 0 105"
"13","Eddy County Carlsbad Magistrate","","","","","","","","",""
"14","Court","","","","","","","","",""
"15","Domestic Violence Felony","5","25","0","24","6 4","0 2","0 0","0 0 0 0 3","4 6 0 13"
"16","Domestic Violence Misdemeanor","142","164","0","170","136 60","9 67","9 3","3 3 3 3 10","78 72 0 6"
"17","DWI Felony","4","16","0","16","4 0","1 3","0 0","0 0 0 0 1","3 2 0 11"
"18","DWI Misdemeanor","105","114","2","112","110 45","11 54","7 14","4 3 11 3 4","71 26 1 9"
"19","Extradition","4","32","0","33","3 1","0 2","0 0","0 0 0 0 1","0 4 0 28"
"20","Felony","182","400","0","406","176 50","2 124","0 0","0 0 0 0 18","17 54 0 323"
"21","Misdemeanor (Mag)","486","660","1","697","450 153","12 285","0 6","3 1 0 2 17","433 261 1 4"
"22","Traffic","815","2296","0","2124","982 353","7 622","0 240","82 3 90 65 511","1061 315 1 0"
"23","Total","1743","3707","3","3582","1867 666","42 1159","16 263","92 10 104 73 565","1667 740 3 394"
"24","Grant County Bayard Magistrate","","","","","","","","",""
"25","Court","","","","","","","","",""
"26","Domestic Violence Felony","1","2","0","3","0 0","0 0","0 0","0 0 0 0 0","0 1 0 2"
"27","Domestic Violence Misdemeanor","29","57","0","49","37 20","6 11","0 4","1 0 1 2 0","22 26 0 0"
"28","DWI Felony","13","2","0","2","13 1","12 0","0 0","0 0 0 0 0","1 0 0 1"
"29","DWI Misdemeanor","118","57","0","41","134 36","85 13","1 2","0 1 2 0 0","33 7 1 0"
"30","Extradition","0","2","0","1","1 0","1 0","0 0","0 0 0 0 0","0 0 0 1"
"31","Felony","78","58","5","56","83 20","55 8","0 0","0 0 0 0 2","9 20 5 21"
"32","Misdemeanor (Mag)","168","290","3","258","204 93","71 40","1 32","10 2 11 10 5","115 134 2 0"
"33","Traffic","348","1544","2","1518","377 169","100 108","0 40","15 2 7 16 181","633 791 2 0"
"34","Total","755","2012","10","1928","849 339","330 180","2 78","26 5 21 28 188","813 979 10 25"
