"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","McKinley County Gallup Magistrate","Pend at","","","","Pend at 0 ‐ 6","> 6 Inact.","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Court","Start","New","Re open","Closed","End Months","Months BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","Domestic Violence Felony","25","44","1","49","21 8","2 11","0 0","0 0 0 0 8","8 32 1 6"
"5","Domestic Violence Misdemeanor","187","361","1","348","201 98","13 90","6 87","8 2 11 72 1","15 235 3 0"
"6","DWI Felony","28","66","1","73","22 6","3 13","0 0","0 0 0 0 9","19 17 0 36"
"7","DWI Misdemeanor","510","477","0","444","547 239","77 231","11 66","29 2 37 9 16","192 211 7 4"
"8","Extradition","0","40","0","39","1 0","0 1","0 0","0 0 0 0 0","0 3 0 33"
"9","Felony","443","667","12","651","469 223","36 210","0 5","0 1 2 2 78","102 307 8 192"
"10","Misdemeanor (Mag)","1166","1038","3","1029","1174 488","88 598","0 183","19 1 64 94 58","106 718 4 2"
"11","Traffic","3660","3826","0","3899","3593 1006","299 2288","0 311","121 3 58 129 833","1543 1306 0 0"
"12","Total","6019","6519","18","6532","6028 2068","518 3442","17 652","177 9 172 306 1003","1985 2829 23 273"
"13","McKinley County Thoreau","","","","","","","","",""
"14","Magistrate Court","","","","","","","","",""
"15","Felony","9","0","0","0","9 1","6 2","0 0","0 0 0 0 0","0 0 0 0"
"16","Misdemeanor (Mag)","5","0","0","0","5 0","5 0","0 0","0 0 0 0 0","0 0 0 0"
"17","Traffic","139","0","0","0","139 0","138 1","0 0","0 0 0 0 0","0 0 0 0"
"18","Total","153","0","0","0","153 1","149 3","0 0","0 0 0 0 0","0 0 0 0"
"19","Mora County Mora Magistrate Court","","","","","","","","",""
"20","Domestic Violence Felony","2","3","0","5","1 0","0 1","0 0","0 0 0 0 3","1 0 0 1"
"21","Domestic Violence Misdemeanor","9","10","0","16","5 4","0 1","0 0","0 0 0 0 0","15 2 0 1"
"22","DWI Felony","1","5","1","4","3 2","0 1","0 0","0 0 0 0 0","0 0 1 3"
"23","DWI Misdemeanor","23","11","0","12","22 8","6 8","1 0","0 0 1 0 1","9 1 0 0"
"24","Felony","19","21","2","28","17 9","2 6","0 0","0 0 0 0 1","6 6 0 16"
"25","Misdemeanor (Mag)","95","233","0","243","91 36","7 48","0 6","0 0 1 5 28","127 82 2 2"
"26","Traffic","281","1634","0","1573","349 242","15 92","0 45","8 4 4 29 228","975 333 0 1"
"27","Total","430","1917","3","1881","488 301","30 157","1 51","8 4 6 34 261","1133 424 3 24"
