"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet. Pet.","","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Fifth District Court, page 3","Start","","","","End","Months Months BW","","Deny Grant","","","Activ."
"4","OTHER","","","","","","","","","","",""
"5","Water Case General File","14","0","0","0","14","0 14 0 0 0","","0 0","","0 0 0 0 0","0 0"
"6","Wtr‐Carlsbad Irrigation District","559","0","0","0","559","0 559 0 0 0","","0 0","","0 0 0 0 0","0 0"
"7","Wtr‐Carlsbad Underground Basin","5","0","0","0","5","0 5 0 0 0","","0 0","","0 0 0 0 0","0 0"
"8","Wtr‐Fort Sumner Basin","92","0","0","0","92","0 92 0 0 0","","0 0","","0 0 0 0 0","0 0"
"9","Wtr‐Galinas River/Storrie Project","1607","0","0","0","1607","0 1607 0 0 0","","0 0","","0 0 0 0 0","0 0"
"10","Wtr‐Hagerman Canal","121","0","0","0","121","0 121 0 0 0","","0 0","","0 0 0 0 0","0 0"
"11","Wtr‐Hondo River","108","0","0","0","108","0 108 0 0 0","","0 0","","0 0 0 0 0","0 0"
"12","Wtr‐Pecos River Pump","19","0","0","0","19","0 19 0 0 0","","0 0","","0 0 0 0 0","0 0"
"13","Wtr‐Pecos River Supplement","26","0","0","0","26","0 26 0 0 0","","0 0","","0 0 0 0 0","0 0"
"14","Wtr‐Rio Bonito","156","0","0","0","156","0 156 0 0 0","","0 0","","0 0 0 0 0","0 0"
"15","Wtr‐Roswell Basin","71","0","0","0","71","0 71 0 0 0","","0 0","","0 0 0 0 0","0 0"
"16","Wtr‐Ruidoso River","348","0","0","0","348","0 348 0 0 0","","0 0","","0 0 0 0 0","0 0"
"17","Wtr‐Upper Pecos Basin","22","0","0","0","22","0 22 0 0 0","","0 0","","0 0 0 0 0","0 0"
"18","Total","9228","7968","2298","10037","9429","5353 3888 188 4 19","","22 1368","","0 2984 1172 0 0","2331 1654"
