"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet. Pet.","","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Fourth District Court, page 2","Start","","","","End","Months Months BW","","Deny Grant","","","Activ."
"4","ESTATE","","","","","","","","","","",""
"5","Probate Estates","5","2","5","9","3","2 1 0 0 0","","0 2","","0 0 0 0 0","7 0"
"6","Probate Formal, No Will","1","3","0","2","2","1 1 0 0 0","","0 2","","0 0 0 0 0","0 0"
"7","Probate Formal, Will","4","1","3","6","2","2 0 0 0 0","","0 0","","0 1 0 0 0","5 0"
"8","Probate Informal, No Will","14","13","5","24","8","7 1 0 0 0","","0 13","","0 4 0 0 0","6 1"
"9","Probate Informal, Will","8","23","4","31","4","4 0 0 0 0","","0 20","","0 3 0 0 0","7 1"
"10","Probate Intestate","1","0","0","0","1","1 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"11","Probate Intestate Ancillary","0","1","1","2","0","0 0 0 0 0","","0 1","","0 0 0 0 0","1 0"
"12","Probate Miscellaneous","1","1","1","2","1","1 0 0 0 0","","0 1","","0 0 0 0 0","1 0"
"13","Probate Protective Proceedings","10","0","4","3","11","10 1 0 0 0","","0 0","","0 0 0 0 0","3 0"
"14","Probate Trust","0","1","0","1","0","0 0 0 0 0","","0 1","","0 0 0 0 0","0 0"
"15","Probate, Will Ancillary","1","7","0","7","1","1 0 0 0 0","","0 6","","0 1 0 0 0","0 0"
"16","JUVENILE","","","","","","","","","","",""
"17","Abuse & Neglect","40","19","0","22","37","24 13 0 0 0","","0 0","","0 0 0 0 0","0 21"
"18","Juvenile Adoption","10","13","1","16","8","6 2 0 0 0","","0 13","","0 2 0 0 0","1 0"
"19","Juvenile Emancipation","2","1","0","3","0","0 0 0 0 1","","0 0","","0 3 0 0 0","0 0"
"20","SEQUESTERED","","","","","","","","","","",""
"21","Juvenile Mental Health","10","9","0","14","5","4 1 0 0 0","","0 10","","0 3 0 0 0","0 0"
"22","Sequestered Probate, Conservatorship Adult","2","0","0","1","1","1 0 0 0 0","","0 1","","0 0 0 0 0","0 0"
"23","Sequestered Probate, Conservatorship Minor","1","0","0","0","1","0 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"24","Sequestered Probate, Guardianship of a Minor","1","0","0","0","1","1 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"25","Sequestered Probate, Guardianship of an Adult","7","2","0","0","8","7 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"26","Sequestered Probate, Conservatorship / Guardianship Adult","5","5","0","1","9","8 1 0 0 0","","0 0","","0 0 0 0 0","1 0"
"27","Sequestered Probate, Conservatorship / Guardianship Minor","1","0","0","0","1","1 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"28","Sequestered Mental Health","8","240","596","825","21","18 3 0 0 0","","1 165","","0 62 0 0 0","594 0"
"29","Sequestered Miscellaneous","0","0","2","2","0","0 0 0 0 0","","0 0","","0 0 0 0 0","2 0"
"30","TORT","","","","","","","","","","",""
"31","Tort","40","19","4","27","36","19 13 4 0 0","","0 1","","0 13 0 0 0","3 10"
"32","Tort Auto","30","23","7","31","29","25 3 1 0 0","","1 2","","0 13 1 0 0","9 5"
"33","Tort Malpractice, Product Liability","19","14","1","13","22","17 5 0 0 0","","0 1","","1 6 0 0 0","1 2"
"34","Total","1294","1814","1869","3735","1265","1084 112 69 0 10","","12 533","","1 628 172 1 0","1971 378"
