"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","Pending Cases","Trials","","","Non‐Trial Manner of Disposition","",""
"2","","Pend at New","Re Open","Closed","Pend at 0 ‐ 18 > 18 Inact. Jury","Non Jury","Pet.","Pet.","Settl. Dismis. Default Stip. Arbitr.","Post J","Other"
"3","Statewide District Court, page 1","Start","","","End Months Months BW","","Deny","Grant","","Activ.",""
"4","APPEALS","","","","","","","","","",""
"5","Animas Underground Basin","57 9","0","15","51 12 39 0 0","0","0","0","0 0 0 0 0","0","15"
"6","Civil Administrative Appeal ‐ Defendant Appellant","57 45","2","66","38 28 10 0 0","3","4","10","0 40 1 0 0","2","7"
"7","Civil Administrative Appeal ‐ Plaintiff Appellant","217 183","36","217","218 174 44 0 1","1","29","16","0 123 1 0 0","32","10"
"8","Civil Appeals","51 0","2","13","40 14 19 7 0","1","0","2","0 6 0 0 0","3","0"
"9","Civil Appeals ‐ Defendant Appellant","143 244","21","239","168 149 19 0 0","24","7","29","0 155 1 0 0","17","19"
"10","Civil Appeals ‐ Plaintiff Appellant","104 98","12","118","95 69 25 1 1","11","6","13","0 72 2 0 0","11","10"
"11","Civil Traffic Appeals","1 0","0","0","1 0 0 1 0","0","0","0","0 0 0 0 0","0","0"
"12","License Revocation Appeal","2 0","0","0","2 0 2 0 0","0","0","0","0 0 0 0 0","0","0"
"13","License Revocation Appeal ‐ Defendant Appellant","64 39","2","60","45 39 6 0 0","2","6","16","0 33 0 0 0","2","0"
"14","License Revocation Appeal ‐ Plaintiff Appellant","76 72","6","76","79 67 12 0 0","2","5","15","0 48 0 0 0","4","2"
"15","CIVIL","","","","","","","","","",""
"16","Adult Adoption","22 53","1","41","36 29 7 0 0","0","1","23","0 5 0 0 0","1","9"
"17","Civil Violations, Statutes, Ordinances","308 383","39","367","364 281 81 2 3","6","6","52","0 161 43 0 0","39","53"
"18","Election Code","8 19","2","21","8 7 1 0 0","1","1","7","0 9 2 0 0","1","0"
"19","Habeas Corpus","139 120","15","156","120 82 38 0 0","0","6","8","0 104 0 0 0","13","13"
"20","Lower Court Competency","853 1385","11","1304","948 704 155 89 0","0","6","5","0 213 0 0 0","7","952"
"21","Minor Settlement","145 248","31","273","151 141 9 1 0","0","1","59","0 166 0 0 0","27","18"
"22","Miscellaneous Civil","1817 2329","332","2647","1820 1261 498 61 5","32","40","444","0 1436 171 0 0","326","166"
"23","Name Change","324 3415","109","3090","757 722 35 0 0","0","3","1788","0 1085 1 0 0","96","23"
"24","Other","702 590","184","837","642 473 155 14 5","8","5","46","0 494 9 0 0","197","66"
"25","Tax","56 104","9","89","81 70 10 1 0","0","2","18","0 55 0 0 0","10","3"
"26","Wrongful Death Personal Representative","140 404","24","326","242 212 29 1 1","0","0","104","0 190 0 0 0","19","8"
"27","STREAM ADJUDICATION","","","","","","","","","",""
"28","Water Case","2 2","0","0","4 3 0 1 0","0","0","0","0 0 0 0 0","0","0"
"29","CONTRACT","","","","","","","","","",""
"30","Contract/Debt & Money Due","13071 15905","4232","17653","15391 13149 1053 1189 2","52","19","1221","0 6913 4277 1 0","4170","811"
"31","Real Estate","8201 4714","1732","7337","7289 5512 1435 342 0","23","10","445","0 2869 1812 2 0","1730","355"
"32","Student Loans","202 207","1484","1806","91 63 22 6 0","0","0","0","0 253 22 0 0","1530","0"
"33","DOMESTIC RELATIONS","","","","","","","","","",""
"34","Child Support","1188 91","1808","2077","1011 727 137 147 0","0","1","21","0 60 11 2 0","1918","61"
"35","Child Support Enforcement","4038 3056","4880","8117","3855 3515 173 167 0","3","7","131","0 1033 289 2 0","4849","1717"
"36","Custody and Visitation","707 493","471","925","744 633 97 14 0","2","4","51","0 165 21 0 0","440","194"
"37","Dissolution","1975 4603","747","5403","1920 1679 210 31 0","24","10","294","0 635 331 0 0","735","3280"
"38","Dissolution With Custody","5187 3660","4207","7958","5099 4119 819 161 0","36","11","227","0 799 238 1 0","4142","2406"
"39","Domestic Matters Miscellaneous","298 147","242","409","278 208 52 18 0","1","3","27","0 50 4 0 0","245","72"
"40","Domestic Kinship/Guardianship","685 915","213","1078","736 653 81 2 0","2","26","338","0 214 8 0 0","219","234"
"41","Domestic Relations (Conversion Only)","14 0","9","11","12 2 1 9 0","0","0","0","0 0 0 0 0","11","0"
"42","Domestic Violence","1192 8557","1533","10099","1235 905 285 45 0","0","12","90","0 5715 5 0 0","1576","2450"
"43","Domestic Violence (Conversion Only)","1 0","2","3","0 0 0 0 0","0","0","0","0 0 0 0 0","3","0"
"44","Parentage","3472 1536","3218","4801","3434 2721 533 180 0","8","12","107","1 694 60 5 0","3197","672"
