"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet. Pet.","","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Seventh District Court, page 2","Start","","","","End","Months Months BW","","Deny Grant","","","Activ."
"4","ESTATE","","","","","","","","","","",""
"5","Probate Estates","16","3","1","4","16","4 12 0 0 0","","0 1","","0 0 0 0 0","3 0"
"6","Probate Formal, No Will","9","3","1","0","13","9 4 0 0 0","","0 0","","0 0 0 0 0","0 0"
"7","Probate Formal, Will","8","2","0","3","7","4 3 0 0 0","","0 1","","0 2 0 0 0","0 0"
"8","Probate Informal, No Will","46","12","1","12","47","22 25 0 0 0","","0 0","","0 8 0 0 0","1 2"
"9","Probate Informal, Will","60","42","2","20","84","48 36 0 0 0","","0 10","","0 3 0 0 0","0 4"
"10","Probate Intestate","10","5","1","5","11","6 5 0 0 0","","0 2","","0 0 0 0 0","1 2"
"11","Probate Intestate Ancillary","3","0","0","2","1","1 0 0 0 0","","0 0","","0 2 0 0 0","0 0"
"12","Probate Kinship Guardianship","9","0","1","2","8","1 7 0 0 0","","0 0","","0 0 0 0 0","2 0"
"13","Probate Miscellaneous","8","4","0","4","8","5 3 0 0 0","","0 1","","0 2 0 0 0","1 0"
"14","Probate Protective Proceedings","9","0","0","1","8","2 6 0 0 0","","0 1","","0 0 0 0 0","0 0"
"15","Probate Trust","1","1","0","0","2","1 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"16","Probate, Will Ancillary","7","1","0","5","3","1 2 0 0 0","","0 1","","0 3 0 0 0","0 1"
"17","JUVENILE","","","","","","","","","","",""
"18","Abuse & Neglect","50","20","3","24","50","24 26 0 0 0","","0 0","","0 12 0 0 0","1 10"
"19","Juvenile Adoption","6","8","0","10","4","4 0 0 0 0","","0 6","","0 0 2 0 0","0 2"
"20","SEQUESTERED","","","","","","","","","","",""
"21","Juvenile Mental Health","","","","","","","","","","",""
"22","Sequestered Probate, Conservatorship Adult","3","2","0","1","4","4 0 0 0 0","","0 0","","0 0 0 0 0","0 1"
"23","Sequestered Probate, Guardianship of a Minor","9","0","0","3","6","0 6 0 0 0","","0 2","","0 0 0 0 0","0 0"
"24","Sequestered Probate, Guardianship of an Adult","13","1","0","1","13","2 11 0 0 0","","0 0","","0 1 0 0 0","0 0"
"25","Sequestered Probate, Conservatorship / Guardianship Adult","22","5","0","3","24","9 15 0 0 0","","1 0","","0 0 0 0 0","0 1"
"26","Sequestered Probate, Conservatorship / Guardianship Minor","2","0","0","1","1","0 1 0 0 0","","0 0","","0 1 0 0 0","0 0"
"27","Sequestered Miscellaneous","1","0","0","1","0","0 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"28","TORT","","","","","","","","","","",""
"29","Tort","17","11","1","10","19","14 5 0 0 0","","0 1","","0 4 1 0 0","1 1"
"30","Tort Auto","23","15","3","24","17","13 2 2 0 0","","0 2","","0 15 1 0 0","3 2"
"31","Tort Malpractice, Product Liability","1","1","0","2","0","0 0 0 0 0","","0 0","","0 0 0 0 0","1 1"
"32","Total","1292","1279","300","1436","1433","1045 315 73 1 2","","7 146","","0 412 161 0 0","309 343"
