"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","Pending Cases","Trials","","","Non‐Trial Manner of Disposition","",""
"2","","Pend at New","Re Open","Closed","Pend at 0 ‐ 18 > 18 Inact. Jury","Non Jury","Pet.","Pet.","Settl. Dismis. Default Stip. Arbitr.","Post J","Other"
"3","Statewide District Court, page 3","Start","","","End Months Months BW","","Deny","Grant","","Activ.",""
"4","TORT","","","","","","","","","",""
"5","Tort","1912 1265","236","1431","1987 1450 490 47 11","15","12","26","0 959 22 0 0","223","157"
"6","Tort Auto","2255 2194","357","2426","2386 2061 290 35 19","1","3","41","0 1831 64 0 0","354","88"
"7","Tort Malpractice, Product Liability","395 216","40","244","406 287 116 3 9","0","7","3","1 166 0 0 0","43","12"
"8","OTHER","","","","","","","","","",""
"9","La Plata River","558 0","0","0","558 2 556 0 0","0","0","0","0 0 0 0 0","0","0"
"10","Navajo Nation","1 0","0","0","1 0 1 0 0","0","0","0","0 0 0 0 0","0","0"
"11","Northern Mesilla Valley","7031 151","0","0","7182 205 6977 0 0","0","0","0","0 0 0 0 0","0","0"
"12","Nutt Hockett Basin","42 0","0","0","42 0 42 0 0","0","0","0","0 0 0 0 0","0","0"
"13","Outlying Areas","2253 17","1","0","2271 26 2245 0 0","0","0","0","0 0 0 0 0","0","0"
"14","Rincon Valley","609 2","1","0","612 4 608 0 0","0","0","0","0 0 0 0 0","0","0"
"15","Southern Mesilla","7175 43","0","1","7217 57 7160 0 0","0","0","0","0 0 0 0 0","0","0"
"16","Stream System Issues","4 1","0","0","5 1 4 0 0","0","0","0","0 0 0 0 0","0","0"
"17","Water Case General File","16 0","0","0","16 0 16 0 0","0","0","0","0 0 0 0 0","0","0"
"18","Wtr ‐ San Juan River Adjudication","0 1","0","0","1 1 0 0 0","0","0","0","0 0 0 0 0","0","0"
"19","Wtr‐Carlsbad Irrigation District","559 0","0","0","559 0 559 0 0","0","0","0","0 0 0 0 0","0","0"
"20","Wtr‐Carlsbad Underground Basin","5 0","0","0","5 0 5 0 0","0","0","0","0 0 0 0 0","0","0"
"21","Wtr‐Fort Sumner Basin","92 0","0","0","92 0 92 0 0","0","0","0","0 0 0 0 0","0","0"
"22","Wtr‐Galinas River/Storrie Project","1607 0","0","0","1607 0 1607 0 0","0","0","0","0 0 0 0 0","0","0"
"23","Wtr‐Hagerman Canal","121 0","0","0","121 0 121 0 0","0","0","0","0 0 0 0 0","0","0"
"24","Wtr‐Hondo River","108 0","0","0","108 0 108 0 0","0","0","0","0 0 0 0 0","0","0"
"25","Wtr‐Pecos River Pump","19 0","0","0","19 0 19 0 0","0","0","0","0 0 0 0 0","0","0"
"26","Wtr‐Pecos River Supplement","26 0","0","0","26 0 26 0 0","0","0","0","0 0 0 0 0","0","0"
"27","Wtr‐Rio Bonito","156 0","0","0","156 0 156 0 0","0","0","0","0 0 0 0 0","0","0"
"28","Wtr‐Roswell Basin","71 0","0","0","71 0 71 0 0","0","0","0","0 0 0 0 0","0","0"
"29","Wtr‐Ruidoso River","348 0","0","0","348 0 348 0 0","0","0","0","0 0 0 0 0","0","0"
"30","Total","85648 64549","28352","90640","87804 49133 36073 2598 57","265","637","7226","8 29353 7403 15 0","28398","14775"
