"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","","","","Pending Cases","Trials","Trial Manner of Disposition","Non‐Trial Manner of Disposition"
"2","Dona Ana County Anthony","Pend at","","","","Pend at","0 ‐ 6","> 6 Inact.","","Plea At Dism At","Dism Bef Plea Bef Dism By Post J"
"3","Magistrate Court","Start","New","Re open","Closed","End","Months","Months BW","Jury NonJury","Convict Acquit Trial Trial","Trial Trial Pros Activ Other"
"4","Domestic Violence Felony","1","0","0","0","1","0","0 1","0 0","0 0 0 0","0 0 0 0 0"
"5","Domestic Violence Misdemeanor","46","24","0","31","39","7","5 27","1 0","0 1 0 0","0 12 19 0 0"
"6","DWI Misdemeanor","22","15","0","22","15","5","1 9","0 0","0 0 0 0","0 13 8 0 2"
"7","Felony","2","10","0","9","3","1","0 2","0 0","0 0 0 0","1 0 3 0 4"
"8","Misdemeanor (Mag)","1233","643","2","686","1192","146","59 987","0 93","29 1 5 58","11 227 350 3 1"
"9","Traffic","6400","4197","6","4196","6391","864","1649 3878","0 645","238 0 34 373","232 1854 1452 7 3"
"10","Total","7704","4889","8","4944","7641","1023","1714 4904","1 738","267 2 39 431","244 2106 1832 10 10"
"11","Dona Ana County Hatch Magistrate","","","","","","","","","",""
"12","Court","","","","","","","","","",""
"13","DWI Misdemeanor","2","3","0","2","3","1","1 1","0 0","0 0 0 0","0 1 1 0 0"
"14","Extradition","1","0","0","0","1","0","1 0","0 0","0 0 0 0","0 0 0 0 0"
"15","Misdemeanor (Mag)","15","9","0","10","14","2","0 12","0 1","1 0 0 0","0 9 0 0 0"
"16","Traffic","137","39","0","43","133","7","32 94","0 2","0 0 0 2","9 25 8 0 0"
"17","Total","155","51","0","55","151","10","34 107","0 3","1 0 0 2","9 35 9 0 0"
"18","Dona Ana County Las Cruces","","","","","","","","","",""
"19","Magistrate Court","","","","","","","","","",""
"20","Domestic Violence Felony","11","91","0","84","19","13","0 6","0 0","0 0 0 0","0 0 11 1 72"
"21","Domestic Violence Misdemeanor","927","989","2","1020","903","341","132 430","7 6","4 3 3 3","25 248 710 4 20"
"22","DWI Felony","4","15","0","15","4","0","1 3","0 0","0 0 0 0","0 0 1 0 14"
"23","DWI Misdemeanor","943","849","3","853","944","363","111 470","24 1","17 7 0 1","11 565 239 3 48"
"24","Extradition","15","198","1","200","14","4","9 1","0 0","0 0 0 0","10 0 9 1 180"
"25","Felony","249","1047","1","1004","294","135","61 98","0 0","0 0 0 0","9 1 103 1 887"
"26","Misdemeanor (Mag)","2434","2504","28","2655","2322","660","62 1600","0 50","32 1 6 11","75 788 1711 28 11"
"27","Traffic","7681","6356","3","6689","7368","1045","3408 2915","0 355","239 5 23 88","738 3387 2210 4 5"
"28","Total","12264","12049","38","12520","11868","2561","3784 5523","31 412","292 16 32 103","868 4989 4994 42 1237"
