"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet.","Pet.","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Fifth District Court, page 1","Start","","","","End","Months Months BW","","Deny","Grant","","Activ."
"4","APPEALS","","","","","","","","","","",""
"5","Civil Administrative Appeal ‐ Defendant Appellant","5","3","0","5","3","3 0 0 0 0","","0","1","0 3 0 0 0","0 1"
"6","Civil Administrative Appeal ‐ Plaintiff Appellant","5","6","1","5","7","6 1 0 0 0","","0","0","0 2 0 0 0","1 1"
"7","Civil Appeals","2","0","0","0","2","0 0 2 0 0","","0","0","0 0 0 0 0","0 0"
"8","Civil Appeals ‐ Defendant Appellant","10","14","1","20","5","5 0 0 0 3","","1","7","0 10 0 0 0","1 0"
"9","Civil Appeals ‐ Plaintiff Appellant","5","5","0","6","4","3 1 0 0 0","","0","3","0 3 0 0 0","0 0"
"10","License Revocation Appeal","1","0","0","0","1","0 1 0 0 0","","0","0","0 0 0 0 0","0 0"
"11","License Revocation Appeal ‐ Defendant Appellant","26","2","0","16","12","8 4 0 0 0","","1","4","0 11 0 0 0","0 0"
"12","License Revocation Appeal ‐ Plaintiff Appellant","8","8","1","5","12","9 3 0 0 0","","0","0","0 4 0 0 0","0 1"
"13","CIVIL","","","","","","","","","","",""
"14","Adult Adoption","1","4","0","3","2","2 0 0 0 0","","0","2","0 0 0 0 0","0 0"
"15","Civil Violations, Statutes, Ordinances","16","11","0","14","13","8 5 0 0 0","","1","1","0 7 1 0 0","1 3"
"16","Habeas Corpus","7","10","3","15","5","5 0 0 0 0","","1","1","0 6 0 0 0","3 2"
"17","Lower Court Competency","117","315","4","244","188","172 6 10 0 0","","0","0","0 31 0 0 0","1 178"
"18","Minor Settlement","14","27","2","26","17","17 0 0 0 0","","0","19","0 4 0 0 0","1 1"
"19","Miscellaneous Civil","137","135","11","138","146","116 28 2 0 0","","2","39","0 69 4 0 0","10 10"
"20","Name Change","38","219","3","210","50","49 1 0 0 0","","0","165","0 17 0 0 0","2 0"
"21","Other","49","37","7","40","53","41 10 2 1 1","","1","8","0 23 0 0 0","7 0"
"22","Tax","0","2","0","0","2","2 0 0 0 0","","0","0","0 0 0 0 0","0 0"
"23","Wrongful Death Personal Representative","14","32","1","25","22","18 3 1 0 0","","0","16","0 7 0 0 0","1 0"
"24","CONTRACT","","","","","","","","","","",""
"25","Contract/Debt & Money Due","2014","3216","209","3103","2298","2139 72 87 0 11","","2","490","0 1305 944 0 0","239 75"
"26","Real Estate","341","408","48","424","371","321 41 9 0 1","","0","53","0 154 157 0 0","40 13"
"27","DOMESTIC RELATIONS","","","","","","","","","","",""
"28","Child Support","131","2","349","354","128","93 5 30 0 0","","0","0","0 2 0 0 0","347 4"
"29","Child Support Enforcement","381","432","282","789","306","295 10 1 0 0","","2","17","0 160 1 0 0","261 303"
"30","Custody and Visitation","198","172","122","289","203","185 17 1 0 0","","2","25","0 40 3 0 0","107 70"
"31","Dissolution","236","542","52","576","251","230 19 2 0 0","","0","124","0 55 34 0 0","53 235"
"32","Dissolution With Custody","621","460","549","1019","610","523 75 12 0 0","","4","77","0 57 19 0 0","557 231"
"33","Domestic Matters Miscellaneous","31","12","25","41","27","21 5 1 0 0","","1","4","0 2 0 0 0","25 5"
"34","Domestic Kinship/Guardianship","100","109","22","141","90","79 11 0 0 0","","2","39","0 37 1 0 0","25 23"
"35","Domestic Violence","45","906","102","1015","49","49 0 0 0 0","","0","0","0 572 0 0 0","110 290"
"36","Parentage","301","87","425","546","270","214 37 19 0 0","","1","16","0 31 0 0 0","452 33"
