"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet. Pet.","","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Eighth District Court, page 2","Start","","","","End","Months Months BW","","Deny Grant","","","Activ."
"4","ESTATE","","","","","","","","","","",""
"5","Probate Estates","21","2","2","11","16","2 14 0 0 1","","0 2","","0 1 0 0 0","4 1"
"6","Probate Formal, No Will","13","2","0","4","11","2 9 0 0 0","","0 1","","0 0 0 0 0","1 1"
"7","Probate Formal, Will","11","4","0","6","9","3 6 0 0 0","","0 4","","0 1 0 0 0","0 0"
"8","Probate Informal, No Will","8","18","2","20","8","6 2 0 0 0","","0 13","","0 2 0 0 0","0 0"
"9","Probate Informal, Will","26","40","3","53","19","9 10 0 0 0","","0 34","","0 2 0 0 0","4 1"
"10","Probate Intestate","3","3","0","2","4","3 1 0 0 0","","0 1","","0 1 0 0 0","0 0"
"11","Probate Intestate Ancillary","0","1","0","1","0","0 0 0 0 0","","0 0","","0 1 0 0 0","0 0"
"12","Probate Kinship Guardianship","9","2","0","3","8","4 3 1 0 0","","0 0","","0 3 0 0 0","0 0"
"13","Probate Miscellaneous","8","9","0","10","8","3 5 0 0 0","","0 7","","0 0 0 0 0","0 0"
"14","Probate Protective Proceedings","19","1","3","10","13","3 10 0 0 0","","0 0","","0 6 0 0 0","3 0"
"15","Probate Trust","1","2","0","1","2","2 0 0 0 0","","0 0","","0 1 0 0 0","0 0"
"16","Probate, Will Ancillary","3","8","0","7","4","2 2 0 0 0","","0 5","","0 1 0 0 0","0 0"
"17","JUVENILE","","","","","","","","","","",""
"18","Abuse & Neglect","43","17","1","24","37","24 13 0 0 0","","0 0","","0 5 0 0 0","1 16"
"19","Juvenile Adoption","15","5","0","8","12","1 11 0 0 0","","0 7","","0 0 0 0 0","0 0"
"20","Juvenile Termination of Parental Rights","1","0","0","0","1","0 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"21","SEQUESTERED","","","","","","","","","","",""
"22","Sequestered Probate, Conservatorship Adult","0","2","1","0","3","3 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"23","Sequestered Probate, Guardianship of a Minor","4","2","0","2","4","3 1 0 0 0","","0 1","","0 1 0 0 0","0 0"
"24","Sequestered Probate, Guardianship of an Adult","4","0","0","1","3","1 2 0 0 0","","0 0","","0 1 0 0 0","0 0"
"25","Sequestered Probate, Conservatorship / Guardianship Adult","6","0","2","4","4","1 3 0 0 0","","0 2","","0 1 0 0 0","1 0"
"26","Sequestered Probate, Conservatorship / Guardianship Minor","2","1","0","2","1","0 1 0 0 0","","0 2","","0 0 0 0 0","0 0"
"27","Sequestered Mental Health","5","5","2","6","6","3 3 0 0 0","","1 0","","0 1 0 0 0","2 1"
"28","Sequestered Miscellaneous","0","4","0","4","0","0 0 0 0 0","","0 3","","0 0 0 0 0","0 0"
"29","TORT","","","","","","","","","","",""
"30","Tort","40","36","2","27","52","45 7 0 0 0","","0 0","","0 18 1 0 0","1 2"
"31","Tort Auto","32","24","1","31","26","18 7 1 0 0","","0 2","","0 15 0 0 0","1 1"
"32","Tort Malpractice, Product Liability","10","7","0","4","14","10 4 0 0 0","","0 0","","0 4 0 0 0","0 0"
"33","Total","1486","1620","798","2500","1423","1094 254 75 3 14","","14 381","","0 685 111 0 0","800 298"
