"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet. Pet.","","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Eleventh District Court, page 2","Start","","","","End","Months Months BW","","Deny Grant","","","Activ."
"4","ESTATE","","","","","","","","","","",""
"5","Probate Estates","37","0","1","2","36","1 35 0 0 0","","0 0","","0 0 0 0 0","1 1"
"6","Probate Formal, No Will","7","8","1","5","11","7 4 0 0 0","","0 3","","0 1 0 0 0","0 0"
"7","Probate Formal, Will","15","6","1","11","11","5 6 0 0 0","","0 3","","0 2 0 0 0","1 1"
"8","Probate Informal, No Will","43","33","3","41","39","19 20 0 0 0","","0 16","","0 10 0 0 0","3 5"
"9","Probate Informal, Will","52","41","2","35","60","38 22 0 0 0","","0 13","","0 6 0 0 0","1 7"
"10","Probate Intestate","6","3","0","4","5","2 3 0 0 0","","0 1","","0 3 0 0 0","0 0"
"11","Probate Intestate Ancillary","1","2","0","1","2","2 0 0 0 0","","0 0","","0 1 0 0 0","0 0"
"12","Probate Kinship Guardianship","3","0","0","0","3","1 2 0 0 0","","0 0","","0 0 0 0 0","0 0"
"13","Probate Miscellaneous","13","15","0","13","15","9 6 0 0 0","","0 4","","0 5 0 0 0","0 1"
"14","Probate Protective Proceedings","24","0","4","1","27","5 22 0 0 0","","0 0","","0 0 0 0 0","1 0"
"15","Probate Trust","2","4","0","5","1","1 0 0 0 0","","0 3","","0 0 0 0 0","0 1"
"16","Probate, Will Ancillary","7","5","0","9","3","2 1 0 0 0","","0 5","","0 3 0 0 0","0 1"
"17","JUVENILE","","","","","","","","","","",""
"18","Abuse & Neglect","103","39","0","51","91","44 47 0 0 0","","0 0","","0 10 0 1 0","0 36"
"19","Juvenile Adoption","32","39","2","46","27","12 15 0 0 0","","0 41","","0 2 0 0 0","2 1"
"20","Juvenile Chins and Fins","1","0","0","0","1","0 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"21","Juvenile Termination of Parental Rights","1","0","0","0","1","0 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"22","Juvenile Emancipation","2","0","0","1","1","0 1 0 0 0","","0 0","","0 1 0 0 0","0 0"
"23","SEQUESTERED","","","","","","","","","","",""
"24","Sequestered Probate, Conservatorship Adult","4","0","0","0","4","0 4 0 0 0","","0 0","","0 0 0 0 0","0 0"
"25","Sequestered Probate, Conservatorship Minor","3","0","0","0","3","0 3 0 0 0","","0 0","","0 0 0 0 0","0 0"
"26","Sequestered Probate, Guardianship of a Minor","5","1","0","0","6","1 5 0 0 0","","0 0","","0 0 0 0 0","0 0"
"27","Sequestered Probate, Guardianship of an Adult","10","2","1","1","12","2 10 0 0 0","","0 0","","0 0 0 0 0","1 0"
"28","Sequestered Probate, Conservatorship / Guardianship Adult","34","11","0","3","42","20 22 0 0 0","","0 1","","0 1 0 0 0","0 0"
"29","Sequestered Probate, Conservatorship / Guardianship Minor","5","2","0","0","7","2 5 0 0 0","","0 0","","0 0 0 0 0","0 0"
"30","Sequestered Mental Health","47","39","0","39","47","8 39 0 0 0","","0 1","","0 20 0 0 0","0 18"
"31","Sequestered Miscellaneous","1","1","0","1","1","0 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"32","TORT","","","","","","","","","","",""
"33","Tort","103","37","12","59","93","48 42 3 1 2","","1 4","","0 40 2 0 0","5 7"
"34","Tort Auto","76","76","7","72","87","67 19 1 2 0","","0 4","","0 55 2 0 0","6 4"
"35","Tort Malpractice, Product Liability","15","7","3","10","15","12 3 0 0 0","","0 0","","0 8 0 0 0","2 0"
"36","OTHER","","","","","","","","","","",""
"37","Water Case General File","1","0","0","0","1","0 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"38","WTR ‐ San Juan River Adjudication","0","1","0","0","1","1 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"39","Navajo Nation","1","0","0","0","1","0 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"40","La Plata River","558","0","0","0","558","2 556 0 0 0","","0 0","","0 0 0 0 0","0 0"
"41","Total","5314","4913","1619","6556","5263","3289 1735 239 3 17","","36 718","","0 2192 638 3 0","1724 1131"
