"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","","","","Pending Cases Trials","","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","","Pend at","","","","Pend at","0 ‐ 6","> 6","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Eighth District Court","Start","New","Re open","Closed","End","Months","Months Inact. BW Jury NonJury","","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","CRIMINAL","","","","","","","","","",""
"5","Contempt","0","1","0","0","1","1","0 0 0 0","","0 0 0 0 0","0 0 0 0"
"6","Extradition","0","1","0","0","1","1","0 0 0 0","","0 0 0 0 0","0 0 0 0"
"7","Felony Crimes Against Property","113","50","63","124","105","36","33 36 2 0","","1 0 0 1 6","36 27 57 0"
"8","Felony Crimes Against Persons","169","144","76","183","209","101","68 40 5 0","","1 2 1 1 5","70 39 73 0"
"9","Felony Drug Offenses","151","155","48","154","203","90","73 40 3 0","","0 1 2 0 4","63 41 51 1"
"10","Felony DWI/DUI","29","18","7","29","26","8","10 8 1 0","","0 0 1 0 0","21 4 5 0"
"11","Felony Homicide","5","9","1","6","9","5","4 0 1 0","","1 0 0 0 0","1 3 2 0"
"12","Felony Miscellaneous","21","24","6","13","38","17","14 7 2 0","","1 1 0 0 1","3 3 5 0"
"13","Felony Public Safety Offenses","19","39","8","32","35","24","7 4 2 0","","1 0 0 1 1","17 3 9 0"
"14","Felony Sexual Offenses","23","15","3","11","30","8","14 8 1 0","","0 1 0 0 0","3 3 5 0"
"15","Felony Domestic Violence","3","0","1","4","0","0","0 0 0 0","","0 0 0 0 0","2 1 1 0"
"16","Lower Court Appeal","3","0","0","2","1","1","0 0 0 0","","0 0 0 0 0","0 2 0 0"
"17","Lower Court Appeal ‐ Defendant Appellant","7","14","0","16","6","4","2 0 0 3","","1 0 0 1 2","4 5 2 0"
"18","Lower Court Appeal ‐ Plaintiff Appellant","0","4","0","4","0","0","0 0 0 1","","1 0 0 0 1","1 1 0 0"
"19","Lower Court DWI Appeal ‐ Defendant Appellant","3","2","0","3","2","2","0 0 0 0","","0 0 0 0 0","3 0 0 0"
"20","Lower Court DWI Appeal ‐ Plaintiff Appellant","0","1","0","0","1","0","1 0 0 0","","0 0 0 0 0","0 0 0 0"
"21","Misdemeanor (Dist.)","5","26","2","8","25","20","4 1 0 0","","0 0 0 0 0","3 4 1 0"
"22","Misdemeanor DWI/DUI","2","6","3","7","4","2","1 1 0 0","","0 0 0 0 1","4 1 2 0"
"23","Petition for Review of Bond/Conditions of Release","0","10","0","7","1","1","0 0 0 0","","0 0 0 0 0","2 1 0 4"
"24","Total","553","519","218","603","697","321","231 145 17 4","","7 5 4 4 21","233 138 213 5"
"25","JUVENILE","","","","","","","","","",""
"26","Juvenile Public Safety Offenses","2","3","6","8","3","0","3 0 0 0","","0 0 0 0 0","1 1 6 0"
"27","Juvenile Crimes Against Property","12","16","3","16","15","7","7 1 0 0","","0 0 0 0 0","12 1 4 0"
"28","Juvenile Crimes Against Persons","14","16","3","26","7","5","2 0 2 0","","0 1 0 1 7","7 8 3 0"
"29","Juvenile Delinquent Felony","2","14","1","13","4","2","1 1 0 0","","0 0 0 0 1","7 4 1 0"
"30","Juvenile Delinquent Non‐Felony","6","11","0","5","12","5","7 0 0 0","","0 0 0 0 1","1 2 1 0"
"31","Juvenile Drug Offenses","7","8","5","13","7","1","4 2 0 0","","0 0 0 0 0","5 3 5 0"
"32","Juvenile DWI Offenses","3","3","2","5","3","1","2 0 0 0","","0 0 0 0 0","2 1 2 0"
"33","Juvenile Extradition","1","0","0","1","0","0","0 0 0 0","","0 0 0 0 0","0 1 0 0"
"34","Juvenile Graffiti Offenses","1","0","0","0","1","0","1 0 0 0","","0 0 0 0 0","0 0 0 0"
"35","Juvenile Motor Vehicle Offenses","0","3","0","1","2","0","1 1 0 0","","0 0 0 0 0","1 0 0 0"
"36","Juvenile Sexual Offenses","3","1","0","1","3","0","2 1 0 0","","0 0 0 0 0","0 1 0 0"
"37","Youthful Offender Sexual Offenses","1","0","0","1","0","0","0 0 0 0","","0 0 0 0 0","1 0 0 0"
"38","Total","52","75","20","90","57","21","30 6 2 0","","0 1 0 1 9","37 22 22 0"
