"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet.","Pet.","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Ninth District Court, page 1","Start","","","","End","Months Months BW","","Deny","Grant","","Activ."
"4","APPEALS","","","","","","","","","","",""
"5","Civil Administrative Appeal ‐ Defendant Appellant","2","0","1","2","1","1 0 0 0 0","","0","0","0 2 0 0 0","0 0"
"6","Civil Administrative Appeal ‐ Plaintiff Appellant","0","3","0","0","3","3 0 0 0 0","","0","0","0 0 0 0 0","0 0"
"7","Civil Appeals","2","0","0","0","2","0 1 1 0 0","","0","0","0 0 0 0 0","0 0"
"8","Civil Appeals ‐ Defendant Appellant","3","6","0","5","4","3 1 0 0 0","","0","1","0 3 0 0 0","0 1"
"9","Civil Appeals ‐ Plaintiff Appellant","2","1","0","1","2","2 0 0 0 0","","0","0","0 0 1 0 0","0 0"
"10","License Revocation Appeal ‐ Defendant Appellant","1","0","0","1","0","0 0 0 0 0","","0","0","0 1 0 0 0","0 0"
"11","License Revocation Appeal ‐ Plaintiff Appellant","1","2","0","1","2","2 0 0 0 0","","0","0","0 1 0 0 0","0 0"
"12","CIVIL","","","","","","","","","","",""
"13","Adult Adoption","1","2","0","2","1","1 0 0 0 0","","0","2","0 0 0 0 0","0 0"
"14","Civil Violations, Statutes, Ordinances","4","4","0","4","4","4 0 0 0 0","","0","0","0 2 1 0 0","0 1"
"15","Election Code","0","1","0","0","1","1 0 0 0 0","","0","0","0 0 0 0 0","0 0"
"16","Habeas Corpus","1","0","0","1","0","0 0 0 0 0","","0","0","0 0 0 0 0","1 0"
"17","Lower Court Competency","79","83","1","77","87","60 17 10 0 0","","0","1","0 18 0 0 0","0 58"
"18","Minor Settlement","8","2","0","9","1","0 1 0 0 0","","0","2","0 0 0 0 0","0 7"
"19","Miscellaneous Civil","141","35","1","31","146","23 118 5 1 0","","0","9","0 15 1 0 0","2 4"
"20","Name Change","7","89","2","84","14","13 1 0 0 0","","0","82","0 0 0 0 0","1 0"
"21","Other","23","11","0","12","23","8 15 0 0 0","","0","1","0 9 0 0 0","2 0"
"22","Tax","1","0","0","0","1","1 0 0 0 0","","0","0","0 0 0 0 0","0 0"
"23","Wrongful Death Personal Representative","3","6","0","1","8","8 0 0 0 0","","0","0","0 1 0 0 0","0 0"
"24","CONTRACT","","","","","","","","","","",""
"25","Contract/Debt & Money Due","514","760","36","564","737","564 50 123 0 1","","0","22","0 190 241 0 0","39 67"
"26","Real Estate","129","154","14","147","150","120 19 11 0 0","","0","19","0 36 65 0 0","11 16"
"27","DOMESTIC RELATIONS","","","","","","","","","","",""
"28","Child Support","15","2","39","43","13","9 2 2 0 0","","0","0","0 1 1 0 0","41 0"
"29","Child Support Enforcement","97","104","59","162","99","92 3 4 0 0","","0","2","0 39 16 0 0","54 51"
"30","Custody and Visitation","65","55","43","93","70","60 9 1 0 0","","0","0","0 11 8 0 0","40 33"
"31","Dissolution","65","200","23","219","70","51 17 2 0 0","","0","0","0 9 22 0 0","17 171"
"32","Dissolution With Custody","183","167","173","311","211","156 50 5 0 0","","0","2","0 16 16 0 0","154 120"
"33","Domestic Matters Miscellaneous","16","5","13","21","13","7 6 0 0 0","","0","4","0 0 1 0 0","13 2"
"34","Domestic Kinship/Guardianship","15","53","7","44","31","27 4 0 0 0","","0","19","0 4 3 0 0","5 12"
"35","Domestic Violence","13","223","1","224","12","8 4 0 0 0","","0","4","0 174 0 0 0","2 37"
"36","Parentage","39","19","93","99","52","42 5 5 0 0","","0","0","0 1 1 0 0","89 7"
