"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","","","","Pending Cases Trials","","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","","Pend at","","","","Pend at","0 ‐ 6","> 6","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Ninth District Court","Start","New","Re open","Closed","End","Months","Months Inact. BW Jury NonJury","","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","CRIMINAL","","","","","","","","","",""
"5","Extradition","19","41","0","39","18","7","11 0 0 0","","0 0 0 0 5","1 22 0 11"
"6","Felony Crimes Against Property","301","211","98","343","271","118","73 80 9 0","","8 1 0 0 7","153 45 132 0"
"7","Felony Crimes Against Persons","254","262","74","333","261","129","91 41 18 0","","11 5 2 0 4","168 58 90 0"
"8","Felony Drug Offenses","411","300","143","479","382","160","113 109 15 0","","10 0 0 5 16","232 58 160 0"
"9","Felony DWI/DUI","25","17","5","15","32","6","14 12 3 0","","2 0 0 1 0","5 0 7 0"
"10","Felony Homicide","10","3","4","12","5","3","2 0 2 0","","2 0 0 0 0","4 2 4 0"
"11","Felony Miscellaneous","79","61","19","92","69","26","25 18 2 0","","0 0 2 0 3","45 14 29 0"
"12","Felony Public Safety Offenses","3","9","3","6","9","3","5 1 1 0","","1 0 0 0 0","4 1 0 0"
"13","Felony Sexual Offenses","54","28","12","49","47","18","20 9 5 0","","3 2 0 0 3","23 6 13 0"
"14","Felony First Degree","0","0","1","0","1","0","1 0 0 0","","0 0 0 0 0","0 0 0 0"
"15","Lower Court Appeal","6","0","0","2","4","0","4 0 0 0","","0 0 0 0 0","0 2 0 0"
"16","Lower Court Appeal ‐ Defendant Appellant","20","11","0","21","10","4","5 1 1 7","","5 1 0 2 3","3 4 2 1"
"17","Lower Court Appeal ‐ Plaintiff Appellant","0","1","0","0","1","1","0 0 0 0","","0 0 0 0 0","0 0 0 0"
"18","Lower Court DWI Appeal ‐ Defendant Appellant","2","1","0","2","1","1","0 0 0 0","","0 0 0 0 0","1 1 0 0"
"19","Misdemeanor (Dist.)","14","3","4","6","16","4","5 7 1 0","","0 0 0 1 0","2 1 2 0"
"20","Misdemeanor DWI/DUI","22","8","2","13","19","3","5 11 0 0","","0 0 0 0 0","5 2 6 0"
"21","Petition for Review of Bond/Conditions of Release","3","7","0","6","4","1","3 0 0 0","","0 0 0 0 5","0 1 0 0"
"22","Total","1223","963","365","1418","1150","484","377 289 57 7","","42 9 4 9 46","646 217 445 12"
"23","JUVENILE","","","","","","","","","",""
"24","Juvenile Public Safety Offenses","4","11","0","4","11","11","0 0 0 1","","0 0 0 1 2","0 0 1 0"
"25","Juvenile Crimes Against Property","32","50","33","90","25","17","7 1 0 1","","0 0 0 1 14","31 9 39 0"
"26","Juvenile Crimes Against Persons","33","48","26","74","33","22","6 5 0 0","","0 0 0 0 12","32 12 21 0"
"27","Juvenile Delinquent Felony","3","3","0","3","3","0","3 0 0 0","","0 0 0 0 1","1 1 0 0"
"28","Juvenile Delinquent Non‐Felony","6","22","5","21","12","6","4 2 0 0","","0 0 0 0 2","11 4 4 0"
"29","Juvenile Drug Offenses","14","30","6","36","14","10","2 2 0 0","","0 0 0 0 10","15 3 8 0"
"30","Juvenile DWI Offenses","0","4","0","0","4","3","0 1 0 0","","0 0 0 0 0","0 0 0 0"
"31","Juvenile Extradition","1","0","0","0","1","0","1 0 0 0","","0 0 0 0 0","0 0 0 0"
"32","Juvenile Motor Vehicle Offenses","0","2","0","0","2","2","0 0 0 0","","0 0 0 0 0","0 0 0 0"
"33","Juvenile Sexual Offenses","3","7","0","4","6","4","2 0 0 0","","0 0 0 0 1","2 1 0 0"
"34","Youthful Offender Crimes Against Persons","1","0","0","0","1","0","0 1 0 0","","0 0 0 0 0","0 0 0 0"
"35","Youthful Offender Crimes Against Property","4","0","0","0","4","0","4 0 0 0","","0 0 0 0 0","0 0 0 0"
"36","Youthful Offender Sexual Offenses","2","0","1","0","3","1","2 0 0 0","","0 0 0 0 0","0 0 0 0"
"37","Total","103","177","71","232","119","76","31 12 0 2","","0 0 0 2 42","92 30 73 0"
