"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet. Pet.","","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Fifth District Court, page 2","Start","","","","End","Months Months BW","","Deny Grant","","","Activ."
"4","ESTATE","","","","","","","","","","",""
"5","Probate Estates","54","13","11","33","45","13 31 1 0 0","","0 14","","0 3 0 0 0","15 0"
"6","Probate Formal, No Will","32","17","1","19","32","17 15 0 0 0","","0 13","","0 3 0 0 0","1 0"
"7","Probate Formal, Will","66","44","6","44","72","50 22 0 0 0","","0 18","","0 20 0 0 0","3 1"
"8","Probate Informal, No Will","133","44","5","74","108","56 52 0 0 1","","0 25","","0 36 0 0 0","5 1"
"9","Probate Informal, Will","244","116","7","140","226","134 92 0 0 1","","0 53","","0 69 0 0 0","5 2"
"10","Probate Intestate","12","6","0","5","13","6 7 0 0 0","","0 3","","0 2 0 0 0","0 0"
"11","Probate Intestate Ancillary","2","1","0","1","2","0 2 0 0 0","","0 1","","0 0 0 0 0","0 0"
"12","Probate Kinship Guardianship","4","3","1","3","5","4 1 0 0 0","","0 1","","0 1 0 0 0","1 0"
"13","Probate Miscellaneous","37","31","2","39","31","21 10 0 0 0","","0 29","","0 4 0 0 0","3 0"
"14","Probate Protective Proceedings","15","1","6","12","10","7 3 0 0 0","","0 0","","0 0 0 0 0","12 0"
"15","Probate Trust","2","1","0","2","1","0 1 0 0 0","","0 2","","0 0 0 0 0","0 0"
"16","Probate, Will Ancillary","38","19","3","38","22","17 5 0 0 0","","0 26","","0 6 0 0 0","1 1"
"17","JUVENILE","","","","","","","","","","",""
"18","Abuse & Neglect","177","103","0","118","162","96 62 4 0 0","","0 0","","0 7 0 0 0","1 104"
"19","Juvenile Adoption","46","70","1","74","44","35 9 0 0 0","","0 48","","0 7 0 0 0","2 2"
"20","Juvenile Emancipation","0","1","0","0","1","1 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"21","SEQUESTERED","","","","","","","","","","",""
"22","Juvenile Mental Health","1","1","0","2","0","0 0 0 0 0","","0 0","","0 1 0 0 0","0 1"
"23","Sequestered Probate, Conservatorship Adult","1","3","0","3","1","0 1 0 0 0","","0 3","","0 0 0 0 0","0 0"
"24","Sequestered Probate, Conservatorship Minor","3","1","0","1","3","3 0 0 0 0","","0 0","","0 1 0 0 0","0 0"
"25","Sequestered Probate, Guardianship of a Minor","6","2","0","3","5","2 3 0 0 0","","0 0","","0 1 0 0 0","1 0"
"26","Sequestered Probate, Guardianship of an Adult","7","6","6","9","10","8 2 0 0 0","","0 3","","0 1 0 0 0","4 0"
"27","Sequestered Probate, Conservatorship / Guardianship Adult","37","18","5","19","41","27 14 0 0 0","","0 7","","0 6 0 0 0","6 0"
"28","Sequestered Probate, Conservatorship / Guardianship Minor","10","4","1","5","10","10 0 0 0 0","","0 2","","0 2 0 0 0","0 1"
"29","Sequestered Mental Health","9","70","1","78","4","3 1 0 0 0","","0 0","","0 21 0 0 0","1 49"
"30","TORT","","","","","","","","","","",""
"31","Tort","118","63","7","90","98","69 26 3 0 1","","0 4","","0 64 0 0 0","12 6"
"32","Tort Auto","152","146","14","144","170","148 21 1 2 0","","0 5","","0 107 8 0 0","13 7"
"33","Tort Malpractice, Product Liability","20","8","2","12","18","13 5 0 1 0","","1 0","","0 10 0 0 0","1 0"
