"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","","","","Pending Cases Trials","","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","","Pend at","","","","Pend at","0 ‐ 6","> 6","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Tenth District Court","Start","New","Re open","Closed","End","Months","Months Inact. BW Jury NonJury","","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","CRIMINAL","","","","","","","","","",""
"5","Felony Crimes Against Property","30","21","20","44","27","18","3 6 1 0","","0 0 1 0 3","17 11 17 0"
"6","Felony Crimes Against Persons","47","32","24","61","41","22","13 6 1 0","","0 0 1 0 5","24 17 24 0"
"7","Felony Drug Offenses","58","54","22","63","71","28","25 18 1 0","","0 0 1 0 4","33 11 23 0"
"8","Felony DWI/DUI","4","2","2","6","2","1","0 1 0 0","","0 0 0 0 0","4 0 2 0"
"9","Felony Homicide","3","3","0","2","4","1","2 1 0 0","","0 0 0 0 0","2 1 0 0"
"10","Felony Miscellaneous","37","42","15","51","43","23","10 10 1 0","","1 0 0 0 4","19 16 14 0"
"11","Felony Sexual Offenses","3","0","0","1","2","0","2 0 0 0","","0 0 0 0 0","0 0 1 0"
"12","Felony Vehicular Homicide","1","1","0","1","1","0","1 0 0 0","","0 0 0 0 0","1 0 0 0"
"13","Lower Court Appeal ‐ Defendant Appellant","11","7","0","11","8","2","6 0 0 0","","0 0 0 0 0","10 0 1 0"
"14","Lower Court DWI Appeal ‐ Plaintiff Appellant","0","1","0","0","1","0","1 0 0 0","","0 0 0 0 0","0 0 0 0"
"15","Lower Court DWI Appeal ‐ Defendant Appellant","0","4","0","1","3","2","1 0 0 0","","0 0 0 0 0","1 0 0 0"
"16","Misdemeanor (Dist.)","4","2","0","5","1","0","1 0 0 0","","0 0 0 0 2","2 0 1 0"
"17","Misdemeanor DWI/DUI","0","1","0","0","1","1","0 0 0 0","","0 0 0 0 0","0 0 0 0"
"18","Total","198","170","83","246","205","98","65 42 4 0","","1 0 3 0 18","113 56 83 0"
"19","JUVENILE","","","","","","","","","",""
"20","Juvenile Crimes Against Property","2","3","1","4","2","2","0 0 0 0","","0 0 0 0 0","0 1 3 0"
"21","Juvenile Crimes Against Persons","4","9","2","8","7","5","2 0 1 0","","0 1 0 0 1","3 1 2 0"
"22","Juvenile Delinquent Felony","2","8","1","7","4","3","1 0 0 0","","0 0 0 0 0","4 4 1 0"
"23","Juvenile Delinquent Non‐Felony","5","1","4","5","5","1","4 0 0 0","","0 0 0 0 0","1 0 4 0"
"24","Juvenile Drug Offenses","3","1","3","6","1","0","1 0 0 0","","0 0 0 0 0","1 2 4 0"
"25","Juvenile Motor Vehicle Offenses","1","1","0","2","0","0","0 0 0 0","","0 0 0 0 0","0 1 1 0"
"26","Youthful Offender Crimes Against Property","0","0","1","0","1","1","0 0 0 0","","0 0 0 0 0","0 0 0 0"
"27","Total","17","23","12","32","20","12","8 0 1 0","","0 1 0 0 1","9 9 15 0"
