"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","","","","Pending Cases","Trials","Trial Manner of Disposition","Non‐Trial Manner of Disposition"
"2","Taos County Questa Magistrate","Pend at","","","","Pend at","0 ‐ 6","> 6 Inact.","","Plea At Dism At","Dism Bef Plea Bef Dism By Post J"
"3","Court","Start","New","Re open","Closed","End","Months","Months BW","Jury NonJury","Convict Acquit Trial Trial","Trial Trial Pros Activ Other"
"4","Domestic Violence Misdemeanor","6","0","0","0","6","2","1 3","0 0","0 0 0 0","0 0 0 0 0"
"5","DWI Felony","1","0","0","0","1","0","1 0","0 0","0 0 0 0","0 0 0 0 0"
"6","DWI Misdemeanor","7","0","0","0","7","0","4 3","0 0","0 0 0 0","0 0 0 0 0"
"7","Felony","1","1","0","0","2","1","0 1","0 0","0 0 0 0","0 0 0 0 0"
"8","Misdemeanor (Mag)","66","1","0","14","53","20","6 27","0 0","0 0 0 0","1 3 10 0 0"
"9","Traffic","190","3","0","29","164","23","16 125","0 1","0 0 0 1","14 7 8 0 0"
"10","Total","271","5","0","43","233","46","28 159","0 1","0 0 0 1","15 10 18 0 0"
"11","Taos County Taos Magistrate Court","","","","","","","","","",""
"12","Domestic Violence Felony","2","18","0","18","3","1","0 2","0 0","0 0 0 0","0 4 8 0 9"
"13","Domestic Violence Misdemeanor","104","90","0","93","102","42","37 23","8 0","0 1 3 4","4 15 63 1 3"
"14","DWI Felony","10","15","0","13","12","4","7 1","0 0","0 0 0 0","0 1 1 0 11"
"15","DWI Misdemeanor","156","141","1","162","136","57","54 25","19 2","6 6 6 3","7 83 83 1 7"
"16","Extradition","2","13","0","13","2","1","0 1","0 0","0 0 0 0","0 0 7 0 6"
"17","Felony","47","277","2","253","72","43","7 22","0 0","0 0 0 0","6 18 107 0 133"
"18","Misdemeanor (Mag)","546","764","0","743","565","268","84 213","19 1","2 0 3 15","84 98 587 1 6"
"19","Traffic","900","2917","0","2784","1040","496","115 429","3 77","8 0 4 68","1132 1150 530 0 1"
"20","Total","1767","4235","3","4079","1932","912","304 716","49 80","16 7 16 90","1233 1369 1386 3 176"
"21","Torrance County Estancia Magistrate","","","","","","","","","",""
"22","Court","","","","","","","","","",""
"23","DWI Misdemeanor","3","0","0","0","3","0","0 3","0 0","0 0 0 0","0 0 0 0 0"
"24","Felony","10","0","0","0","10","0","0 10","0 0","0 0 0 0","0 0 0 0 0"
"25","Misdemeanor (Mag)","14","0","0","1","13","0","0 13","0 0","0 0 0 0","0 0 1 0 0"
"26","Traffic","39","2","0","3","38","0","2 36","0 0","0 0 0 0","1 2 0 0 0"
"27","Total","66","2","0","4","64","0","2 62","0 0","0 0 0 0","1 2 1 0 0"
