"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","Cibola County Grants Magistrate","Pend at","","","","Pend at","0 ‐ 6","> 6","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Court","Start","New","Re open","Closed","End","Months","Months Inact. BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","Domestic Violence Felony","2","26","0","24","4","1","0 3","0 0","0 0 0 0 0","1 9 0 13"
"5","Domestic Violence Misdemeanor","79","43","2","72","52","17","3 32","1 12","2 1 3 5 1","28 28 1 1"
"6","DWI Felony","3","13","0","14","2","1","0 1","0 0","0 0 0 0 0","2 4 0 8"
"7","DWI Misdemeanor","173","151","2","174","152","44","14 94","0 8","2 2 3 1 8","128 27 3 2"
"8","Extradition","2","22","0","24","0","0","0 0","0 0","0 0 0 0 0","0 4 0 19"
"9","Felony","119","320","1","319","120","40","1 79","0 0","0 0 0 0 3","16 141 3 149"
"10","Misdemeanor (Mag)","655","539","3","590","607","141","8 458","0 13","2 1 3 7 7","165 390 10 2"
"11","Traffic","1281","1773","0","1843","1218","298","6 914","0 38","13 3 0 22 147","1075 581 0 0"
"12","Total","2314","2887","8","3060","2155","542","32 1581","1 71","19 7 9 35 166","1415 1184 17 194"
"13","Cibola County Cimarron Magistrate","","","","","","","","","",""
"14","Court","","","","","","","","","",""
"15","Domestic Violence Misdemeanor","1","0","0","0","1","0","0 1","0 0","0 0 0 0 0","0 0 0 0"
"16","DWI Misdemeanor","1","0","0","0","1","0","0 1","0 0","0 0 0 0 0","0 0 0 0"
"17","Felony","2","0","0","1","1","0","0 1","0 0","0 0 0 0 0","1 0 0 0"
"18","Misdemeanor (Mag)","9","0","0","0","9","0","0 9","0 0","0 0 0 0 0","0 0 0 0"
"19","Traffic","32","0","0","0","32","2","1 29","0 0","0 0 0 0 0","0 0 0 0"
"20","Total","45","0","0","1","44","2","1 41","0 0","0 0 0 0 0","1 0 0 0"
"21","Colfax County Raton Magistrate","","","","","","","","","",""
"22","Court","","","","","","","","","",""
"23","Domestic Violence Felony","4","14","0","18","4","2","0 2","0 0","0 0 0 0 8","2 5 1 2"
"24","Domestic Violence Misdemeanor","8","28","0","35","13","8","2 3","0 6","0 0 6 0 2","17 9 1 0"
"25","DWI Felony","0","5","0","4","2","2","0 0","0 0","0 0 0 0 0","1 1 0 2"
"26","DWI Misdemeanor","59","15","0","25","61","16","3 42","0 6","0 0 5 1 1","14 4 1 0"
"27","Extradition","8","32","0","27","12","4","7 1","0 0","0 0 0 0 3","0 1 0 21"
"28","Felony","57","160","9","199","59","23","2 34","0 0","0 0 0 0 46","7 38 12 96"
"29","Misdemeanor (Mag)","455","359","2","368","513","176","21 316","0 87","24 1 43 19 19","147 111 3 0"
"30","Contempt","0","2","0","1","1","0","0 1","0 0","0 0 0 0 0","1 0 0 0"
"31","Traffic","1249","1017","1","1004","1263","416","52 795","0 70","42 1 17 10 165","663 104 1 0"
"32","Total","1840","1632","12","1681","1928","647","87 1194","0 169","66 2 71 30 244","852 273 19 121"
