"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet. Pet.","","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Twelfth District Court, page 2","Start","","","","End","Months Months BW","","Deny Grant","","","Activ."
"4","ESTATE","","","","","","","","","","",""
"5","Probate Estates","141","4","2","123","25","6 19 0 0 0","","0 2","","0 101 0 0 0","8 0"
"6","Probate Formal, No Will","7","3","0","4","6","2 4 0 0 0","","0 0","","0 1 0 0 0","0 1"
"7","Probate Formal, Will","12","5","0","6","10","7 3 0 0 0","","0 0","","0 1 0 0 0","1 0"
"8","Probate Informal, No Will","36","15","2","26","27","19 8 0 0 0","","0 3","","0 11 0 0 0","0 0"
"9","Probate Informal, Will","75","31","2","58","50","33 17 0 0 0","","0 9","","0 24 0 0 0","0 0"
"10","Probate Intestate","6","1","0","5","2","1 1 0 0 0","","0 0","","0 3 0 0 0","0 0"
"11","Probate Intestate Ancillary","1","0","0","1","0","0 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"12","Probate Kinship Guardianship","31","2","4","9","28","6 22 0 0 0","","0 3","","0 5 0 0 0","1 0"
"13","Probate Miscellaneous","50","6","0","41","15","5 10 0 0 0","","0 3","","0 33 0 0 0","2 0"
"14","Probate Protective Proceedings","64","0","1","12","53","2 51 0 0 0","","0 1","","0 8 0 0 0","0 0"
"15","Probate Trust","2","1","0","3","0","0 0 0 0 0","","0 1","","0 1 0 0 0","0 0"
"16","Probate, Will Ancillary","16","6","2","15","9","7 2 0 0 0","","0 2","","0 3 0 0 0","2 0"
"17","JUVENILE","","","","","","","","","","",""
"18","Abuse & Neglect","65","38","2","20","85","41 44 0 0 0","","0 0","","0 3 0 0 0","0 13"
"19","Juvenile Adoption","30","28","1","21","37","19 18 0 0 0","","0 17","","0 1 0 0 0","1 0"
"20","Juvenile Termination of Parental Rights","1","0","0","0","1","0 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"21","SEQUESTERED","","","","","","","","","","",""
"22","Sequestered Probate, Guardianship of a Minor","11","2","1","4","10","4 6 0 0 0","","0 0","","0 2 0 0 0","2 0"
"23","Sequestered Probate, Guardianship of an Adult","5","8","0","3","10","8 2 0 0 0","","0 2","","0 1 0 0 0","0 0"
"24","Sequestered Probate, Conservatorship / Guardianship Adult","34","16","1","6","44","28 16 0 0 0","","0 3","","0 3 0 0 0","0 0"
"25","Sequestered Probate, Conservatorship / Guardianship Minor","6","1","0","1","6","2 4 0 0 0","","0 1","","0 0 0 0 0","0 0"
"26","Sequestered Mental Health","5","44","1","11","39","37 2 0 0 0","","0 6","","0 2 0 0 0","2 0"
"27","Sequestered Miscellaneous","6","0","0","1","5","0 5 0 0 0","","0 0","","0 0 0 0 0","0 0"
"28","TORT","","","","","","","","","","",""
"29","Tort","64","37","1","37","65","43 18 4 0 0","","1 0","","0 28 0 0 0","0 6"
"30","Tort Auto","35","17","2","21","33","22 9 2 0 0","","0 0","","0 15 3 0 0","1 1"
"31","Tort Malpractice, Product Liability","9","5","0","5","9","5 3 1 0 0","","0 0","","0 5 0 0 0","0 0"
"32","Total","3047","2643","651","3505","2829","2009 747 73 1 18","","13 360","","0 1366 393 0 0","533 636"
