"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet.","Pet.","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Tenth District Court, page 1","Start","","","","End","Months Months BW","","Deny","Grant","","Activ."
"4","APPEALS","","","","","","","","","","",""
"5","Civil Administrative Appeal ‐ Defendant Appellant","1","1","0","2","0","0 0 0 0 0","","1","0","0 1 0 0 0","0 0"
"6","Civil Appeals ‐ Defendant Appellant","5","2","0","5","2","2 0 0 0 1","","0","1","0 0 0 0 0","0 3"
"7","Civil Appeals ‐ Plaintiff Appellant","0","1","0","1","0","0 0 0 0 0","","0","0","0 1 0 0 0","0 0"
"8","License Revocation Appeal ‐ Defendant Appellant","4","0","0","3","1","1 0 0 0 0","","0","0","0 3 0 0 0","0 0"
"9","CIVIL","","","","","","","","","","",""
"10","Civil Violations, Statutes, Ordinances","1","0","0","0","1","0 1 0 0 0","","0","0","0 0 0 0 0","0 0"
"11","Habeas Corpus","0","5","0","3","2","2 0 0 0 0","","0","0","0 3 0 0 0","0 0"
"12","Lower Court Competency","27","25","0","40","16","16 0 0 0 0","","0","0","0 10 0 0 0","0 30"
"13","Minor Settlement","1","1","0","1","1","1 0 0 0 0","","0","1","0 0 0 0 0","0 0"
"14","Miscellaneous Civil","13","5","0","8","10","7 2 1 0 0","","0","2","0 4 0 0 0","0 1"
"15","Name Change","0","39","0","30","8","8 0 0 0 0","","0","30","0 0 0 0 0","0 0"
"16","Other","1","1","1","2","1","0 1 0 0 0","","0","0","0 1 0 0 0","1 0"
"17","Tax","0","1","0","0","1","1 0 0 0 0","","0","0","0 0 0 0 0","0 0"
"18","Wrongful Death Personal Representative","0","2","0","1","1","1 0 0 0 0","","0","0","0 0 0 0 0","0 1"
"19","CONTRACT","","","","","","","","","","",""
"20","Contract/Debt & Money Due","56","83","2","52","89","78 9 2 0 0","","0","7","0 15 20 0 0","3 7"
"21","Real Estate","34","24","5","29","34","24 9 1 0 0","","1","7","0 7 12 0 0","1 0"
"22","DOMESTIC RELATIONS","","","","","","","","","","",""
"23","Child Support","2","1","1","3","1","1 0 0 0 0","","0","0","0 0 0 0 0","3 0"
"24","Child Support Enforcement","8","16","3","16","11","11 0 0 0 0","","0","2","0 4 4 0 0","2 4"
"25","Custody and Visitation","25","16","9","27","23","21 2 0 0 1","","0","2","0 5 2 0 0","10 8"
"26","Dissolution","18","29","4","31","20","18 2 0 0 0","","0","5","0 2 0 0 0","0 23"
"27","Dissolution With Custody","33","18","16","28","39","32 7 0 0 0","","0","2","0 5 0 1 0","15 5"
"28","Domestic Kinship/Guardianship","4","12","0","9","7","7 0 0 0 0","","0","5","0 4 0 0 0","0 0"
"29","Domestic Matters Miscellaneous","0","0","1","1","0","0 0 0 0 0","","0","0","0 0 0 0 0","1 0"
"30","Domestic Violence","7","78","21","98","8","8 0 0 0 0","","0","2","0 54 0 0 0","20 21"
"31","Parentage","15","4","32","35","16","13 3 0 0 0","","0","0","0 0 0 1 0","33 1"
