"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet. Pet.","","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Tenth District Court, page 2","Start","","","","End","Months Months BW","","Deny Grant","","","Activ."
"4","ESTATE","","","","","","","","","","",""
"5","Probate Estates","9","0","2","0","11","4 7 0 0 0","","0 0","","0 0 0 0 0","0 0"
"6","Probate Formal, No Will","1","4","0","0","5","5 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"7","Probate Formal, Will","5","3","0","2","6","5 1 0 0 0","","0 2","","0 0 0 0 0","0 0"
"8","Probate Informal, No Will","11","6","1","6","12","9 3 0 0 0","","0 0","","0 1 0 0 0","1 2"
"9","Probate Informal, Will","15","10","2","10","17","13 4 0 0 0","","0 4","","0 1 0 0 0","2 3"
"10","Probate Intestate","1","0","0","0","1","0 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"11","Probate Kinship Guardianship","5","1","0","2","4","1 3 0 0 0","","0 0","","0 0 0 0 0","1 0"
"12","Probate Miscellaneous","0","1","0","0","1","1 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"13","Probate Protective Proceedings","2","0","1","0","3","3 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"14","Probate Trust","0","1","0","1","0","0 0 0 0 0","","0 1","","0 0 0 0 0","0 0"
"15","Probate, Will Ancillary","2","0","0","0","2","1 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"16","JUVENILE","","","","","","","","","","",""
"17","Abuse & Neglect","11","7","0","7","11","7 4 0 0 0","","0 0","","0 0 0 0 0","0 6"
"18","Juvenile Adoption","4","9","1","9","5","4 1 0 0 0","","0 9","","0 0 0 0 0","0 0"
"19","Juvenile Termination of Parental Rights","0","1","0","1","0","0 0 0 0 0","","0 0","","0 1 0 0 0","0 0"
"20","SEQUESTERED","","","","","","","","","","",""
"21","Sequestered Probate, Guardianship of a Minor","2","0","0","1","1","1 0 0 0 0","","0 0","","0 0 0 0 0","1 0"
"22","Sequestered Probate, Guardianship of an Adult","1","0","0","0","1","1 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"23","Sequestered Probate, Conservatorship Adult","1","0","0","1","0","0 0 0 0 0","","0 0","","0 1 0 0 0","0 0"
"24","Sequestered Probate, Conservatorship / Guardianship Adult","3","2","1","2","4","4 0 0 0 0","","0 0","","0 1 0 0 0","1 0"
"25","Sequestered Probate, Conservatorship / Guardianship Minor","0","2","1","1","2","2 0 0 0 0","","0 1","","0 0 0 0 0","0 0"
"26","Sequestered Mental Health","1","0","0","1","0","0 0 0 0 0","","0 0","","0 0 0 0 0","1 0"
"27","TORT","","","","","","","","","","",""
"28","Tort","7","6","0","3","10","6 4 0 0 0","","0 0","","0 3 0 0 0","0 0"
"29","Tort Auto","5","5","0","3","7","7 0 0 0 0","","0 0","","0 3 0 0 0","0 0"
"30","Tort Malpractice, Product Liability","1","0","0","0","1","1 0 0 0 0","","0 0","","0 0 0 0 0","0 0"
"31","Total","342","422","104","475","396","327 65 4 0 2","","2 83","","0 130 38 2 0","96 115"
