"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet. Pet.","","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","First District Court, page 2","Start","","","","End","Months Months BW","","Deny Grant","","","Activ."
"4","ESTATE","","","","","","","","","","",""
"5","Probate Estates","80","8","7","45","50","18 32 0 0 0","","0 0","","0 31 0 0 0","13 1"
"6","Probate Formal, No Will","28","14","1","14","29","20 9 0 0 0","","0 2","","0 9 0 0 0","2 1"
"7","Probate Formal, Will","49","21","1","31","40","28 12 0 0 0","","0 4","","0 18 0 0 0","2 6"
"8","Probate Informal, No Will","156","56","5","90","127","80 47 0 0 0","","0 11","","0 70 0 0 0","3 1"
"9","Probate Informal, Will","358","137","5","188","311","186 125 0 0 0","","0 19","","0 150 0 0 0","4 11"
"10","Probate Intestate","25","11","2","10","28","15 13 0 0 0","","0 2","","0 6 0 0 0","1 1"
"11","Probate Intestate Ancillary","4","3","0","4","3","3 0 0 0 0","","0 0","","0 4 0 0 0","0 0"
"12","Probate Miscellaneous","32","14","0","20","25","14 11 0 0 0","","1 2","","0 11 0 0 0","1 3"
"13","Probate Protective Proceedings","81","0","2","0","83","25 58 0 0 0","","0 0","","0 0 0 0 0","0 0"
"14","Probate Trust","6","13","0","7","12","7 5 0 0 0","","0 1","","0 5 0 0 0","0 1"
"15","Probate, Will Ancillary","22","10","0","15","17","11 6 0 0 0","","0 1","","0 12 0 0 0","0 1"
"16","JUVENILE","","","","","","","","","","",""
"17","Abuse & Neglect","66","45","3","25","89","63 26 0 0 0","","0 0","","0 1 0 0 0","3 14"
"18","Juvenile Adoption","32","44","9","49","36","19 17 0 0 0","","0 33","","0 5 0 0 0","6 2"
"19","Juvenile Emancipation","1","3","1","1","4","3 1 0 0 0","","0 0","","0 1 0 0 0","0 0"
"20","SEQUESTERED","","","","","","","","","","",""
"21","Sequestered Adoption (Conversion)","1","0","1","1","1","0 1 0 0 0","","0 0","","0 0 0 0 0","1 0"
"22","Sequestered Probate, Conservatorship Adult","8","2","1","2","9","3 6 0 0 0","","0 0","","0 0 0 0 0","1 0"
"23","Sequestered Probate, Conservatorship Minor","5","4","1","3","7","6 1 0 0 0","","0 0","","0 2 0 0 0","1 0"
"24","Sequestered Probate, Guardianship of a Minor","5","1","0","0","6","1 5 0 0 0","","0 0","","0 0 0 0 0","0 0"
"25","Sequestered Probate, Guardianship of an Adult","38","8","1","5","42","13 29 0 0 0","","0 0","","0 2 0 0 0","2 0"
"26","Sequestered Probate, Conservatorship / Guardianship Adult","72","28","1","17","89","50 39 0 0 0","","0 2","","0 11 0 0 0","2 1"
"27","Sequestered Probate, Conservatorship / Guardianship Minor","8","9","0","0","17","10 7 0 0 0","","0 0","","0 0 0 0 0","0 0"
"28","Sequestered Mental Health","24","29","4","17","40","19 20 1 0 0","","0 6","","0 3 0 0 0","2 4"
"29","Sequestered Miscellaneous","25","42","0","36","31","17 14 0 0 0","","0 22","","0 11 0 0 0","0 0"
"30","TORT","","","","","","","","","","",""
"31","Tort","411","287","33","283","449","323 123 3 4 4","","5 7","","0 188 2 0 0","31 46"
"32","Tort Auto","233","235","14","221","261","225 31 5 2 0","","0 4","","0 175 5 0 0","14 19"
"33","Tort Malpractice, Product Liability","71","56","7","44","89","68 19 2 1 0","","1 2","","0 28 0 0 0","7 3"
"34","Total","7101","6840","2152","8557","7537","5630 1591 316 9 65","","93 1127","","1 3254 506 6 0","1847 1530"
