"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","Sandoval County Cuba Magistrate","Pend at","","","","Pend at 0 ‐ 6","> 6 Inact.","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Court","Start","New","Re open","Closed","End Months","Months BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","Domestic Violence Misdemeanor","14","9","0","9","14 5","3 6","0 1","0 0 0 1 2","1 5 0 0"
"5","DWI Felony","3","6","1","5","5 2","1 2","0 0","0 0 0 0 1","2 0 0 1"
"6","DWI Misdemeanor","76","28","0","34","71 36","13 22","2 19","7 1 9 4 2","7 5 1 0"
"7","Felony","30","58","0","52","36 15","10 11","0 0","0 0 0 0 3","8 37 0 5"
"8","Misdemeanor (Mag)","334","284","5","347","276 122","38 116","0 148","16 1 75 56 20","44 134 6 1"
"9","Traffic","510","1020","0","1006","531 352","38 141","0 154","107 0 15 32 229","554 69 0 2"
"10","Total","967","1405","6","1453","933 532","103 298","2 322","130 2 99 93 257","616 250 7 9"
"11","Santa Fe County Pojoaque","","","","","","","","",""
"12","Magistrate Court","","","","","","","","",""
"13","Domestic Violence Felony","1","0","0","0","1 0","1 0","0 0","0 0 0 0 0","0 0 0 0"
"14","DWI Misdemeanor","2","0","0","0","2 0","1 1","0 0","0 0 0 0 0","0 0 0 0"
"15","Felony","1","2","0","0","2 0","2 0","0 0","0 0 0 0 0","0 0 0 0"
"16","Misdemeanor (Mag)","59","0","0","2","57 1","52 4","0 0","0 0 0 0 0","0 2 0 0"
"17","Traffic","795","0","0","11","784 11","759 14","0 0","0 0 0 0 9","2 0 0 0"
"18","Total","858","2","0","13","846 12","815 19","0 0","0 0 0 0 9","2 2 0 0"
