"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","","","","Pending Cases Trials","","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","","Pend at","","","","Pend at","0 ‐ 6","> 6","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Eleventh District Court","Start","New","Re open","Closed","End","Months","Months Inact. BW Jury NonJury","","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","CRIMINAL","","","","","","","","","",""
"5","Adult Motor Vehicle Offenses","1","0","0","1","0","0","0 0 0 0","","0 0 0 0 0","0 1 0 0"
"6","Extradition","10","41","0","40","11","6","1 4 0 0","","0 0 0 0 2","0 9 0 29"
"7","Felony Crimes Against Property","277","266","150","347","346","164","64 118 0 0","","0 0 0 0 12","154 51 143 0"
"8","Felony Crimes Against Persons","516","386","273","671","508","223","133 152 17 0","","10 1 3 2 24","294 118 253 0"
"9","Felony Drug Offenses","343","324","244","533","381","200","81 100 1 0","","1 0 0 0 12","198 80 248 0"
"10","Felony DWI/DUI","206","164","55","216","209","85","58 66 7 0","","4 1 0 2 0","148 32 49 0"
"11","Felony Homicide","13","8","9","13","17","8","8 1 1 0","","1 0 0 0 0","4 0 8 0"
"12","Felony Miscellaneous","77","15","41","86","47","10","17 20 0 0","","0 0 0 0 4","30 12 41 0"
"13","Felony Public Safety Offenses","84","97","50","127","105","59","24 22 4 0","","2 0 2 0 2","71 14 40 0"
"14","Felony Sexual Offenses","69","59","20","71","79","33","40 6 3 0","","2 1 0 0 3","39 13 19 0"
"15","Felony First Degree","1","0","0","0","1","0","1 0 0 0","","0 0 0 0 0","0 0 0 0"
"16","Felony Domestic Violence","25","14","10","33","16","7","7 2 1 0","","1 0 0 0 0","10 11 11 0"
"17","Lower Court Appeal","3","0","0","1","2","0","0 2 0 0","","0 0 0 0 0","1 0 0 0"
"18","Felony Vehicular Homicide","1","1","1","1","2","1","1 0 0 0","","0 0 0 0 0","1 1 0 0"
"19","Lower Court Appeal ‐ Defendant Appellant","31","65","0","59","37","29","8 0 0 14","","14 0 0 0 0","41 1 1 2"
"20","Lower Court Appeal ‐ Plaintiff Appellant","0","2","0","2","0","0","0 0 0 0","","0 0 0 0 2","0 0 0 0"
"21","Lower Court DWI/DUI Appeals","1","0","0","1","0","0","0 0 0 0","","0 0 0 0 0","1 0 0 0"
"22","Lower Court DWI Appeal ‐ Defendant Appellant","37","51","1","50","38","26","12 0 2 8","","8 0 1 1 0","39 0 1 0"
"23","Lower Court DWI Appeal ‐ Plaintiff Appellant","2","1","0","3","0","0","0 0 0 1","","1 0 0 0 0","2 0 0 0"
"24","Misdemeanor (Dist.)","28","31","2","25","36","22","3 11 0 3","","3 0 0 0 0","18 3 2 0"
"25","Misdemeanor DWI/DUI","2","8","0","4","6","5","0 1 0 0","","0 0 0 0 0","2 2 0 0"
"26","Petition for Review of Bond/Conditions of Release","1","6","0","5","2","0","2 0 0 0","","0 0 0 0 0","2 0 0 3"
"27","Total","1728","1539","856","2289","1843","878","460 505 36 26","","47 3 6 5 61","1055 348 816 34"
"28","JUVENILE","","","","","","","","","",""
"29","Juvenile Public Safety Offenses","4","7","6","12","5","1","2 2 0 0","","0 0 0 0 0","3 2 8 0"
"30","Juvenile Crimes Against Property","46","64","35","110","35","20","11 4 0 0","","0 0 0 0 0","43 47 39 0"
"31","Juvenile Crimes Against Persons","36","78","26","107","33","28","3 2 1 0","","0 1 0 0 0","52 49 26 0"
"32","Juvenile Delinquent Felony","3","4","0","5","2","2","0 0 0 0","","0 0 0 0 0","2 3 2 0"
"33","Juvenile Delinquent Non‐Felony","7","13","3","17","6","5","1 0 0 0","","0 0 0 0 0","8 9 2 0"
"34","Juvenile Drug Offenses","17","37","16","56","14","9","4 1 0 0","","0 0 0 0 0","30 21 18 0"
"35","Juvenile DWI Offenses","8","10","3","16","4","4","0 0 0 0","","0 0 0 0 0","10 8 3 0"
"36","Juvenile Graffiti Offenses","0","1","0","1","0","0","0 0 0 0","","0 0 0 0 0","0 1 0 0"
"37","Juvenile Motor Vehicle Offenses","1","3","1","5","0","0","0 0 0 0","","0 0 0 0 0","2 2 1 0"
"38","Juvenile Sexual Offenses","4","12","7","19","4","4","0 0 1 0","","0 0 1 0 0","8 7 5 0"
"39","Youthful Offender Crimes Against Persons","2","1","1","3","1","0","1 0 0 0","","0 0 0 0 0","2 2 1 0"
"40","Youthful Offender Crimes Against Property","0","3","1","3","1","1","0 0 0 0","","0 0 0 0 0","2 1 1 0"
"41","Youthful Offender Sexual Offenses","6","2","1","4","5","1","3 1 0 0","","0 0 0 0 0","2 2 1 0"
"42","Total","134","235","100","358","110","75","25 10 2 0","","0 1 1 0 0","164 154 107 0"
