"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","Grant County Silver City Magistrate","Pend at","","","","Pend at 0 ‐ 6","> 6 Inact.","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Court","Start","New","Re open","Closed","End Months","Months BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","Domestic Violence Felony","3","21","1","17","8 5","0 3","0 0","0 0 0 0 0","7 6 2 5"
"5","Domestic Violence Misdemeanor","88","135","0","158","68 29","5 34","0 18","1 0 13 4 3","64 78 4 1"
"6","DWI Felony","1","8","0","5","4 3","1 0","0 0","0 0 0 0 0","1 0 0 4"
"7","DWI Misdemeanor","54","67","0","70","51 28","10 13","1 6","4 0 3 0 0","53 25 0 3"
"8","Extradition","5","11","0","12","4 2","2 0","0 0","0 0 0 0 0","0 0 0 12"
"9","Felony","138","353","31","380","143 87","8 48","1 1","2 0 0 0 12","60 122 29 173"
"10","Misdemeanor (Mag)","516","1104","6","1199","429 242","23 164","2 110","35 2 56 19 54","581 529 6 1"
"11","Contempt","0","1","0","0","1 1","0 0","0 0","0 0 0 0 0","0 0 0 0"
"12","Traffic","880","3416","0","3496","809 527","38 244","0 99","52 0 22 25 523","1174 2079 1 3"
"13","Total","1685","5116","38","5337","1517 924","87 506","4 234","94 2 94 48 592","1940 2839 42 202"
"14","Guadalupe County Santa Rosa","","","","","","","","",""
"15","Magistrate Court","","","","","","","","",""
"16","Domestic Violence Felony","2","3","0","1","4 3","0 1","0 0","0 0 0 0 0","0 1 0 0"
"17","Domestic Violence Misdemeanor","4","16","0","15","5 4","0 1","0 0","0 0 0 0 0","11 3 1 0"
"18","DWI Felony","1","4","0","4","1 0","0 1","0 0","0 0 0 0 0","3 0 0 1"
"19","DWI Misdemeanor","34","14","0","15","33 4","1 28","0 0","0 0 0 0 0","10 5 0 0"
"20","Extradition","3","24","0","26","2 2","0 0","0 0","0 0 0 0 0","0 1 0 25"
"21","Felony","43","106","9","109","50 25","8 17","0 0","0 0 0 0 1","13 10 7 79"
"22","Misdemeanor (Mag)","455","377","0","299","534 89","4 441","0 1","1 0 0 0 5","192 99 3 0"
"23","Traffic","1503","1401","0","1274","1629 251","7 1371","0 2","1 1 0 0 116","802 377 0 0"
"24","Total","2045","1945","9","1743","2258 378","20 1860","0 3","2 1 0 0 122","1031 496 11 105"
"25","Guadalupe County Vaughn","","","","","","","","",""
"26","Magistrate Court","","","","","","","","",""
"27","DWI Misdemeanor","3","0","0","0","3 0","0 3","0 0","0 0 0 0 0","0 0 0 0"
"28","Misdemeanor (Mag)","7","0","0","1","6 1","0 5","0 0","0 0 0 0 0","1 0 0 0"
"29","Traffic","39","0","0","3","36 0","5 31","0 0","0 0 0 0 0","3 0 0 0"
"30","Total","49","0","0","4","45 1","5 39","0 0","0 0 0 0 0","4 0 0 0"
