"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet. Pet.","","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Second District Court, page 2","Start","","","","End","Months Months BW","","Deny Grant","","","Activ."
"4","ESTATE","","","","","","","","","","",""
"5","Probate Estates","114","15","34","65","97","50 47 0 0 0","","0 0","","1 9 0 0 0","55 0"
"6","Probate Formal, No Will","63","23","4","27","63","48 15 0 0 0","","0 0","","0 23 0 0 0","2 2"
"7","Probate Formal, Will","124","72","12","61","147","101 46 0 0 0","","0 0","","0 50 0 0 0","9 2"
"8","Probate Informal, No Will","234","163","9","115","292","198 94 0 0 0","","0 0","","0 97 0 0 0","12 4"
"9","Probate Informal, Will","544","297","43","271","610","408 202 0 0 0","","0 0","","0 228 0 0 0","40 1"
"10","Probate Intestate","50","9","3","19","43","16 27 0 0 0","","0 0","","0 13 0 0 0","5 1"
"11","Probate Intestate Ancillary","0","2","1","3","0","0 0 0 0 0","","0 0","","0 2 0 0 0","1 0"
"12","Probate Kinship Guardianship","30","12","3","16","29","10 19 0 0 0","","0 0","","0 11 0 0 0","5 0"
"13","Probate Miscellaneous","15","9","3","9","18","11 7 0 0 0","","0 0","","0 5 0 0 0","4 0"
"14","Probate Protective Proceedings","160","0","127","126","161","93 68 0 0 0","","0 0","","0 3 0 0 0","120 2"
"15","Probate Trust","20","29","8","36","21","9 12 0 0 0","","0 0","","0 26 0 0 0","10 0"
"16","Probate, Will Ancillary","2","2","0","2","2","2 0 0 0 0","","0 0","","0 1 0 0 0","1 0"
"17","JUVENILE","","","","","","","","","","",""
"18","Abuse & Neglect","604","239","0","161","683","328 353 2 0 0","","1 4","","1 9 0 1 0","1 142"
"19","Juvenile Adoption","117","110","3","112","117","75 42 0 0 0","","0 0","","0 4 1 0 0","0 47"
"20","Juvenile Emancipation","15","5","0","7","13","2 11 0 0 0","","0 2","","0 0 1 0 0","0 0"
"21","SEQUESTERED","","","","","","","","","","",""
"22","Juvenile Mental Health","5445","963","1","815","5583","1293 4290 0 0 0","","1 2","","0 0 0 0 0","1 0"
"23","Sequestered Probate, Conservatorship Adult","9","9","4","6","16","13 3 0 0 0","","0 0","","0 5 0 0 0","1 0"
"24","Sequestered Probate, Conservatorship Minor","5","8","1","3","11","8 3 0 0 0","","0 0","","0 1 0 0 0","2 0"
"25","Sequestered Probate, Guardianship of a Minor","20","9","5","8","26","19 7 0 0 0","","0 0","","0 5 0 0 0","3 0"
"26","Sequestered Probate, Guardianship of an Adult","126","78","18","45","177","157 20 0 0 0","","0 1","","1 10 0 0 0","32 0"
"27","Sequestered Probate, Conservatorship / Guardianship Adult","160","110","37","108","198","179 19 0 0 0","","0 1","","3 24 0 0 0","78 2"
"28","Sequestered Probate, Conservatorship / Guardianship Minor","10","1","1","1","11","10 1 0 0 0","","0 0","","0 1 0 0 0","0 0"
"29","Sequestered Mental Health","263","679","874","1557","269","43 226 0 0 0","","339 277","","0 0 0 0 0","882 33"
"30","Sequestered Miscellaneous","1","1","0","0","2","1 1 0 0 0","","0 0","","0 0 0 0 0","0 0"
"31","TORT","","","","","","","","","","",""
"32","Tort","797","588","160","706","843","668 169 6 3 5","","3 5","","0 468 13 0 0","157 51"
"33","Tort Auto","1359","1381","289","1600","1434","1276 152 6 11 1","","0 15","","0 1215 36 0 0","286 31"
"34","Tort Malpractice, Product Liability","211","85","26","130","191","126 65 0 6 0","","4 0","","0 87 0 0 0","31 2"
"35","Total","22006","18448","12613","30888","22174","14627 7158 389 23 28","","356 578","","6 9915 1825 1 0","12835 4304"
