"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","Pending Cases","Trials","","","Non‐Trial Manner of Disposition","",""
"2","Otero County Alamogordo","Pend at","","","","Pend at 0 ‐ 18 > 18 Inact.","","Pet. Pet.","","","Post J",""
"3","Magistrate Court","Start","New","Re Open","Closed","End Months Months BW","Jury Non Jury","Deny Grant","","Settl. Dismis. Default Stip. Arbitr.","Activ","Other"
"4","Forcible Detainer","12","12","0","13","11 1 10 0","0 0","0 8","","0 2 1 0 0","0","0"
"5","General Civil","720","376","0","403","699 123 546 30","0 20","10 59","","0 47 206 0 0","3","0"
"6","Interpleader","1","0","0","0","1 0 1 0","0 0","0 0","","0 0 0 0 0","0","0"
"7","Landlord Tenant","147","248","1","246","154 21 133 0","0 0","1 148","","0 46 46 0 0","2","0"
"8","Livestock","5","2","0","2","5 2 3 0","0 0","0 0","","0 2 0 0 0","0","0"
"9","Mobile Home Park","9","55","1","55","10 1 9 0","0 0","1 29","","0 5 19 0 0","1","0"
"10","Total","894","693","2","719","880 148 702 30","0 20","12 244","","0 102 272 0 0","6","0"
