"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","Harding County Roy Magistrate","Pend at","","","","Pend at 0 ‐ 6","> 6 Inact.","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Court","Start","New","Re open","Closed","End Months","Months BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","Domestic Violence Felony","0","3","0","3","0 0","0 0","0 0","0 0 0 0 0","3 1 0 0"
"5","Domestic Violence Misdemeanor","0","1","0","0","1 1","0 0","0 0","0 0 0 0 0","0 0 0 0"
"6","DWI Misdemeanor","2","0","0","0","2 1","0 1","0 0","0 0 0 0 0","0 0 0 0"
"7","Felony","1","1","0","2","0 0","0 0","0 0","0 0 0 0 0","0 1 0 1"
"8","Misdemeanor (Mag)","13","8","0","10","12 2","0 10","0 0","0 0 0 0 0","6 5 0 0"
"9","Traffic","49","73","0","79","40 8","1 31","0 0","0 0 0 0 10","65 4 0 0"
"10","Total","65","86","0","94","55 12","1 42","0 0","0 0 0 0 10","74 11 0 1"
"11","Hidalgo County Lordsburg","","","","","","","","",""
"12","Magistrate Court","","","","","","","","",""
"13","Domestic Violence Felony","1","0","0","1","0 0","0 0","0 0","0 0 0 0 0","1 0 0 0"
"14","Domestic Violence Misdemeanor","7","15","0","12","10 6","0 4","2 2","2 1 0 1 1","4 3 0 0"
"15","DWI Felony","0","1","1","1","1 1","0 0","0 0","0 0 0 0 0","0 0 0 1"
"16","DWI Misdemeanor","65","26","0","26","66 9","2 55","1 4","1 0 4 0 0","17 5 1 0"
"17","Extradition","0","7","0","6","1 1","0 0","0 0","0 0 0 0 1","0 0 0 5"
"18","Felony","48","101","8","107","50 18","1 31","0 0","0 0 0 0 1","14 11 8 74"
"19","Misdemeanor (Mag)","1405","346","0","326","1424 54","7 1363","1 7","3 1 3 1 51","185 96 0 0"
"20","Traffic","2328","2542","5","2391","2470 267","19 2184","1 35","12 2 1 21 621","1160 583 8 0"
"21","Total","3854","3038","14","2870","4022 356","29 3637","5 48","18 4 8 23 675","1381 698 17 80"
"22","Lea County Eunice Magistrate Court","","","","","","","","",""
"23","Domestic Violence Felony","1","0","0","0","1 0","0 1","0 0","0 0 0 0 0","0 0 0 0"
"24","Domestic Violence Misdemeanor","10","8","0","8","10 4","2 4","0 1","0 0 0 1 0","3 4 0 0"
"25","DWI Felony","0","1","0","0","1 0","1 0","0 0","0 0 0 0 0","0 0 0 0"
"26","DWI Misdemeanor","10","0","0","4","6 1","3 2","0 0","0 0 0 0 0","1 3 0 0"
"27","Extradition","1","1","0","2","0 0","0 0","0 0","0 0 0 0 0","0 0 0 2"
"28","Felony","16","14","0","27","3 1","0 2","0 0","0 0 0 0 1","1 9 0 16"
"29","Misdemeanor (Mag)","25","20","0","24","21 7","1 13","0 3","1 0 2 0 0","9 12 0 0"
"30","Traffic","29","14","0","21","22 3","3 16","0 1","0 0 0 1 4","8 8 0 0"
"31","Total","92","58","0","86","64 16","10 38","0 5","1 0 2 2 5","22 36 0 18"
