"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet.","Pet.","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Seventh District Court, page 1","Start","","","","End","Months Months BW","","Deny","Grant","","Activ."
"4","APPEALS","","","","","","","","","","",""
"5","Civil Administrative Appeal ‐ Defendant Appellant","1","0","0","1","0","0 0 0 0 0","","0","0","0 0 0 0 0","0 1"
"6","Civil Administrative Appeal ‐ Plaintiff Appellant","4","4","2","6","4","4 0 0 0 0","","1","1","0 0 0 0 0","3 1"
"7","Civil Appeals ‐ Defendant Appellant","0","5","0","1","4","4 0 0 0 0","","0","0","0 0 0 0 0","0 0"
"8","Civil Appeals ‐ Plaintiff Appellant","4","0","0","1","3","0 2 1 0 1","","0","0","0 1 0 0 0","0 0"
"9","License Revocation Appeal ‐ Defendant Appellant","1","0","0","1","0","0 0 0 0 0","","0","0","0 0 0 0 0","1 0"
"10","License Revocation Appeal ‐ Plaintiff Appellant","1","0","0","1","0","0 0 0 0 0","","1","0","0 0 0 0 0","0 0"
"11","Adult Adoption","1","0","0","0","1","0 1 0 0 0","","0","0","0 0 0 0 0","0 0"
"12","CIVIL","","","","","","","","","","",""
"13","Civil Violations, Statutes, Ordinances","21","15","3","15","24","23 1 0 1 0","","1","0","0 8 0 0 0","3 3"
"14","Election Code","0","4","0","1","3","3 0 0 0 0","","0","1","0 0 0 0 0","0 0"
"15","Habeas Corpus","5","0","1","5","1","1 0 0 0 0","","1","1","0 0 0 0 0","1 1"
"16","Lower Court Competency","66","91","0","115","43","37 5 1 0 0","","0","0","0 14 0 0 0","0 94"
"17","Minor Settlement","1","2","0","1","2","2 0 0 0 0","","0","0","0 1 0 0 0","0 0"
"18","Miscellaneous Civil","66","49","6","56","65","41 21 3 0 1","","0","7","0 32 2 0 0","6 6"
"19","Name Change","11","88","0","68","28","28 0 0 0 0","","1","54","0 5 1 0 0","0 3"
"20","Other","9","16","1","9","17","15 2 0 0 0","","0","2","0 3 0 0 0","2 2"
"21","Tax","1","0","0","1","0","0 0 0 0 0","","0","0","0 1 0 0 0","0 0"
"22","Wrongful Death Personal Representative","2","2","0","0","4","4 0 0 0 0","","0","0","0 0 0 0 0","0 0"
"23","CONTRACT","","","","","","","","","","",""
"24","Contract/Debt & Money Due","118","225","19","139","221","179 15 27 0 0","","0","12","0 49 39 0 0","20 17"
"25","Real Estate","155","138","20","138","174","133 28 13 0 0","","0","12","0 34 55 0 0","21 12"
"26","DOMESTIC RELATIONS","","","","","","","","","","",""
"27","Child Support","51","4","32","44","43","31 4 8 0 0","","0","1","0 3 0 0 0","39 1"
"28","Child Support Enforcement","97","112","26","126","109","107 1 1 0 0","","0","4","0 44 42 0 0","17 16"
"29","Custody and Visitation","33","19","6","22","36","22 14 0 0 0","","0","0","0 5 2 0 0","8 6"
"30","Dissolution","55","101","9","120","45","42 3 0 0 0","","0","3","0 18 7 0 0","9 83"
"31","Dissolution With Custody","123","66","61","137","114","85 22 7 0 0","","0","2","0 21 6 0 0","66 40"
"32","Domestic Matters Miscellaneous","4","2","2","2","6","4 1 1 0 0","","0","0","0 1 1 0 0","0 0"
"33","Domestic Kinship/Guardianship","20","28","2","22","28","24 4 0 0 0","","1","17","0 2 0 0 0","1 1"
"34","Domestic Violence","26","160","47","200","35","30 4 1 0 0","","0","1","0 103 0 0 0","49 28"
"35","Parentage","83","12","49","66","77","52 17 8 0 0","","0","0","0 14 2 0 0","49 1"
