"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","Colfax County Springer Magistrate","Pend at","","","","Pend at 0 ‐ 6","> 6 Inact.","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Court","Start","New","Re open","Closed","End Months","Months BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","Domestic Violence Felony","2","7","0","9","0 0","0 0","0 0","0 0 0 0 0","1 5 0 4"
"5","Domestic Violence Misdemeanor","4","21","1","17","9 7","1 1","0 0","0 0 0 0 1","3 12 1 0"
"6","DWI Felony","1","1","0","2","0 0","0 0","0 0","0 0 0 0 1","1 0 0 0"
"7","DWI Misdemeanor","30","11","0","15","26 12","4 10","0 0","0 0 0 0 1","11 3 0 0"
"8","Extradition","0","4","0","4","0 0","0 0","0 0","0 0 0 0 0","0 0 0 4"
"9","Felony","23","66","3","73","19 8","1 10","0 0","0 0 0 0 1","6 24 3 40"
"10","Misdemeanor (Mag)","175","255","1","216","210 96","5 109","0 15","5 0 10 0 9","169 31 2 0"
"11","Traffic","390","846","4","767","464 168","26 270","0 12","6 0 5 1 192","536 25 4 0"
"12","Total","625","1211","9","1103","728 291","37 400","0 27","11 0 15 1 205","727 100 10 48"
"13","Curry County Clovis Magistrate","","","","","","","","",""
"14","Court","","","","","","","","",""
"15","Domestic Violence Felony","15","34","0","35","14 3","3 8","0 0","0 0 0 0 6","5 8 0 18"
"16","Domestic Violence Misdemeanor","171","181","0","167","187 97","23 67","6 0","1 3 1 0 12","65 79 0 6"
"17","DWI Felony","17","12","0","13","16 6","8 2","0 0","0 0 0 0 1","0 0 0 12"
"18","DWI Misdemeanor","329","175","1","156","351 100","178 73","8 1","4 2 2 1 6","109 25 1 9"
"19","Extradition","39","84","1","87","36 3","32 1","0 0","0 0 0 0 0","0 7 1 75"
"20","Felony","996","805","2","834","968 258","498 212","2 0","1 1 0 0 47","47 123 3 621"
"21","Misdemeanor (Mag)","975","815","5","834","963 389","171 403","12 2","9 4 1 0 76","483 257 4 3"
"22","Contempt","0","14","0","1","13 13","0 0","0 0","0 0 0 0 1","0 0 0 0"
"23","Traffic","1957","2590","1","2581","1975 417","407 1151","0 87","66 3 10 8 136","2183 179 2 0"
"24","Total","4499","4710","10","4708","4523 1286","1320 1917","28 90","81 13 14 9 285","2892 678 11 744"
"25","De Baca County Fort Sumner","","","","","","","","",""
"26","Magistrate Court","","","","","","","","",""
"27","Domestic Violence Felony","0","2","0","2","0 0","0 0","0 0","0 0 0 0 0","0 1 0 1"
"28","Domestic Violence Misdemeanor","0","4","0","4","0 0","0 0","0 0","0 0 0 0 0","3 2 0 0"
"29","DWI Misdemeanor","14","4","0","9","10 5","2 3","0 0","0 0 0 0 0","8 1 1 0"
"30","Extradition","0","1","0","1","0 0","0 0","0 0","0 0 0 0 0","0 0 0 1"
"31","Felony","8","22","0","25","5 2","0 3","0 0","0 0 0 0 1","2 9 0 12"
"32","Misdemeanor (Mag)","93","57","0","66","84 25","7 52","0 4","2 0 1 1 1","50 9 0 1"
"33","Traffic","350","210","1","259","302 92","44 166","0 1","1 0 0 0 33","192 31 1 0"
"34","Total","465","300","1","366","401 124","53 224","0 5","3 0 1 1 35","255 53 2 15"
