"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"1","","","","","","","","Pending Cases","Trials","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18","> 18 Months","Inact. Jury Non Jury","Pet.","Pet.","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Thirteenth District Court, page 2","Start","","","","End","Months","","BW","Deny","Grant","","Activ."
"4","ESTATE","","","","","","","","","","","",""
"5","Probate Estates","97","1","3","22","79","11","67","1 0 0","0","2","0 14 0 0 0","6 0"
"6","Probate Formal, No Will","20","13","0","9","24","16","8","0 0 0","0","0","0 8 0 0 0","1 0"
"7","Probate Formal, Will","39","14","2","14","41","22","19","0 0 0","0","0","0 13 0 0 0","0 0"
"8","Probate Informal, No Will","85","52","7","32","112","63","49","0 0 1","0","7","0 15 0 0 0","4 3"
"9","Probate Informal, Will","156","91","15","86","175","120","55","0 0 0","0","15","0 45 0 0 0","13 9"
"10","Probate Intestate","11","2","0","3","10","4","6","0 0 0","0","0","0 2 0 0 0","1 0"
"11","Probate Intestate Ancillary","2","1","0","1","2","0","2","0 0 0","0","0","0 0 0 0 0","0 0"
"12","Probate Kinship Guardianship","21","1","2","6","18","1","17","0 0 0","0","0","0 3 0 0 0","3 0"
"13","Probate Miscellaneous","32","14","0","9","37","17","17","3 0 0","0","0","0 6 0 0 0","0 2"
"14","Probate Protective Proceedings","100","3","5","53","55","8","47","0 0 0","0","3","0 34 0 0 0","13 1"
"15","Probate Trust","4","5","0","5","4","1","3","0 0 0","0","4","0 1 0 0 0","0 0"
"16","Probate, Will Ancillary","17","10","0","6","21","11","10","0 0 0","0","1","0 4 0 0 0","0 1"
"17","JUVENILE","","","","","","","","","","","",""
"18","Abuse & Neglect","151","45","2","63","135","64","70","1 0 0","1","2","0 11 0 0 0","2 41"
"19","Juvenile Adoption","82","70","0","64","89","44","45","0 0 2","3","45","0 3 2 0 0","2 6"
"20","Juvenile Termination of Parental Rights","1","0","0","1","0","0","0","0 0 0","0","0","0 0 0 0 0","1 0"
"21","Juvenile Emancipation","3","0","0","2","1","0","0","1 0 0","0","0","0 2 0 0 0","0 0"
"22","SEQUESTERED","","","","","","","","","","","",""
"23","Juvenile Mental Health","0","13","0","13","0","0","0","0 0 0","0","0","0 0 0 0 0","0 12"
"24","Sequestered Probate, Conservatorship Adult","3","2","0","4","1","1","0","0 0 0","0","1","0 2 0 0 0","0 0"
"25","Sequestered Probate, Conservatorship Minor","3","3","0","4","3","3","0","0 0 0","0","2","0 1 0 0 0","0 0"
"26","Sequestered Probate, Guardianship of a Minor","151","75","6","112","120","98","22","0 0 0","17","15","0 59 0 0 0","14 5"
"27","Sequestered Probate, Guardianship of an Adult","30","10","5","22","23","16","7","0 0 0","0","7","0 10 0 0 0","5 0"
"28","Sequestered Probate, Conservatorship / Guardianship Adult","35","18","2","26","29","22","7","0 0 0","0","10","0 12 0 0 0","2 1"
"29","Sequestered Probate, Conservatorship / Guardianship Minor","8","4","0","6","6","4","2","0 0 0","0","2","0 4 0 0 0","0 0"
"30","Sequestered Mental Health","59","59","1","74","45","28","16","1 0 0","3","20","0 20 0 0 0","1 22"
"31","Sequestered Miscellaneous","7","2","1","1","9","2","7","0 0 0","0","0","0 0 0 0 0","1 0"
"32","TORT","","","","","","","","","","","",""
"33","Tort","179","90","9","98","180","106","55","19 2 1","1","3","0 73 3 0 0","5 11"
"34","Tort Auto","207","163","16","181","204","163","29","12 2 0","2","3","0 148 4 0 0","14 7"
"35","Tort Malpractice, Product Liability","10","7","0","6","11","8","3","0 0 0","0","0","0 5 0 0 0","0 1"
"36","Total","8304","7452","1863","8953","8614","6185","1644","785 4 71","61","958","0 3159 917 2 0","1795 1857"
