"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","","","","Pending Cases Trials","","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","","Pend at","","","","Pend at","0 ‐ 6","> 6","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Second District Court","Start","New","Re open","Closed","End","Months","Months Inact. BW Jury NonJury","","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","CRIMINAL","","","","","","","","","",""
"5","Domestic Violence Appeal ‐ Defendant Appellant","3","0","0","2","1","0","1 0 0 0","","0 0 0 0 0","1 0 0 0"
"6","Domestic Violence Appeal ‐ Plaintiff Appellant","3","0","0","3","0","0","0 0 0 0","","0 0 0 0 0","3 0 0 0"
"7","Extradition","67","74","0","74","67","12","12 43 0 0","","0 0 0 0 0","0 73 0 0"
"8","Felony Crimes Against Property","2238","1282","1309","2758","2069","566","329 1174 18 3","","5 2 4 10 183","741 505 1307 0"
"9","Felony Crimes Against Persons","1369","1122","772","1995","1273","473","267 533 54 1","","21 19 6 8 252","545 375 782 0"
"10","Felony Drug Offenses","1478","950","831","1930","1333","341","145 847 20 1","","10 3 5 3 139","385 520 860 0"
"11","Felony DWI/DUI","278","156","39","175","298","66","90 142 1 0","","1 0 0 0 13","90 29 43 0"
"12","Felony Homicide","92","69","20","74","108","54","43 11 10 1","","7 2 2 0 4","39 5 17 0"
"13","Felony Miscellaneous","208","73","28","229","81","15","20 46 4 1","","3 0 1 1 18","39 34 25 0"
"14","Felony Public Safety Offenses","266","339","187","473","320","131","57 132 9 0","","5 1 2 1 53","164 59 190 0"
"15","Felony Sexual Offenses","232","108","79","209","210","60","63 87 19 1","","10 8 0 2 17","44 40 91 0"
"16","Felony First Degree","26","0","17","22","20","3","12 5 0 0","","0 0 0 0 0","0 0 22 0"
"17","Felony Domestic Violence","107","166","91","223","140","51","18 71 2 0","","0 0 0 2 38","46 44 95 0"
"18","Lower Court Appeal","1","0","0","0","1","1","0 0 0 0","","0 0 0 0 0","0 0 0 0"
"19","Felony Vehicular Homicide","5","18","2","6","19","8","9 2 0 0","","0 0 0 0 0","3 0 3 0"
"20","Lower Court Appeal ‐ Defendant Appellant","21","17","0","26","12","2","10 0 0 5","","4 0 1 0 6","7 4 0 1"
"21","Lower Court Appeal ‐ Plaintiff Appellant","1","0","0","1","0","0","0 0 0 0","","0 0 0 0 1","0 0 0 0"
"22","Lower Court DWI/DUI Appeals","1","0","0","0","1","0","1 0 0 0","","0 0 0 0 0","0 0 0 0"
"23","Lower Court DWI Appeal ‐ Defendant Appellant","38","20","1","37","22","13","9 0 0 0","","0 0 0 0 1","15 0 1 0"
"24","Lower Court DWI Appeal ‐ Plaintiff Appellant","4","3","0","5","2","2","0 0 0 0","","0 0 0 0 2","1 0 0 0"
"25","Misdemeanor (Dist.)","117","244","197","483","77","18","17 42 1 0","","1 0 0 0 38","189 44 211 0"
"26","Misdemeanor DWI/DUI","20","39","18","62","16","8","5 3 0 0","","0 0 0 0 1","41 4 17 0"
"27","Petition for Review of Bond/Conditions of Release","0","181","1","52","125","124","1 0 0 0","","0 0 0 0 0","0 1 1 49"
"28","Total","6575","4861","3592","8839","6195","1948","1109 3138 138 13","","67 35 21 27 766","2353 1737 3665 50"
"29","JUVENILE","","","","","","","","","",""
"30","Juvenile Public Safety Offenses","74","78","18","117","53","25","21 7 0 4","","0 0 2 2 33","43 17 22 0"
"31","Juvenile Crimes Against Property","184","291","98","398","171","89","48 34 2 2","","1 0 2 1 68","171 63 112 0"
"32","Juvenile Crimes Against Persons","273","378","77","479","250","137","81 32 0 9","","1 0 6 2 147","180 69 92 0"
"33","Juvenile Delinquent Felony","0","0","1","0","1","1","0 0 0 0","","0 0 0 0 0","0 0 0 0"
"34","Juvenile Delinquent Non‐Felony","1","4","1","4","2","2","0 0 0 0","","0 0 0 0 1","1 0 2 0"
"35","Juvenile Drug Offenses","47","48","10","76","29","16","3 10 0 2","","0 0 1 1 26","26 10 14 0"
"36","Juvenile DWI Offenses","8","11","2","15","6","3","1 2 0 0","","0 0 0 0 0","10 1 4 0"
"37","Juvenile Graffiti Offenses","1","1","0","2","0","0","0 0 0 0","","0 0 0 0 0","1 0 1 0"
"38","Juvenile Motor Vehicle Offenses","16","17","16","35","14","7","4 3 0 0","","0 0 0 0 6","13 5 13 0"
"39","Juvenile Sexual Offenses","5","13","2","16","4","3","0 1 0 0","","0 0 0 0 3","9 2 2 0"
"40","Youthful Offender Crimes Against Persons","17","35","10","32","30","18","8 4 0 1","","0 0 1 0 0","23 8 8 0"
"41","Youthful Offender Crimes Against Property","8","10","4","11","11","6","4 1 0 0","","0 0 0 0 1","7 2 2 0"
"42","Youthful Offender Public Safety Offenses","5","6","2","8","5","2","1 2 0 0","","0 0 0 0 0","6 2 2 0"
"43","Youthful Offender Homicide","3","0","0","1","2","0","1 1 0 0","","0 0 0 0 0","1 0 0 0"
"44","Youthful Offender Vehicular Homicide","1","0","0","0","1","0","1 0 0 0","","0 0 0 0 0","0 0 0 0"
"45","Total","643","892","241","1194","579","309","173 97 2 18","","2 0 12 6 285","491 179 274 0"
