"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases Trials","","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","","Pend at","","","","Pend at 0 ‐ 6","> 6","","Plea At Dism At Dism Bef Plea Bef","Dism By Post J"
"3","Statewide District Court, page 1","Start","New","Re open","Closed","End Months Months","Inact. BW Jury NonJury","","Convict Acquit Trial Trial Trial Trial","Pros Activ Other"
"4","CRIMINAL (not juvenile)","","","","","","","","",""
"5","Adult Motor Vehicle Offenses","8","2","4","6","8 2","1 5 0 0","","0 0 0 0 0 2","1 3 0"
"6","Contempt","0","2","0","0","2 2","0 0 0 0","","0 0 0 0 0 0","0 0 0"
"7","Domestic Violence Appeal ‐ Defendant Appellant","3","1","0","3","1 0","1 0 0 0","","0 0 0 0 0 2","0 0 0"
"8","Domestic Violence Appeal ‐ Plaintiff Appellant","3","0","0","3","0 0","0 0 0 0","","0 0 0 0 0 3","0 0 0"
"9","Extradition","153","263","0","247","165 46","65 54 0 0","","0 0 0 0 16 1","169 0 58"
"10","Felony Crimes Against Property","5996","3919","3443","7351","6039 2348","1318 2373 91 7","","36 20 18 24 396 2398","1068 3478 4"
"11","Felony Crimes Against Persons","5574","4043","2692","6777","5567 2278","1696 1593 211 2","","94 57 37 22 459 2408","1126 2714 16"
"12","Felony Drug Offenses","5916","4369","3136","7417","6014 2355","1488 2171 106 7","","59 11 25 17 416 2734","1170 3117 6"
"13","Felony DWI/DUI","1213","689","371","1061","1220 369","387 464 36 4","","26 2 8 4 27 549","136 359 2"
"14","Felony Homicide","265","165","81","213","298 126","148 24 27 1","","18 7 3 0 6 78","19 88 0"
"15","Felony Miscellaneous","886","469","291","886","767 288","242 237 16 3","","11 2 3 3 54 292","149 289 0"
"16","Felony Public Safety Offenses","725","873","426","1126","900 424","247 229 26 1","","17 2 4 4 71 481","154 420 2"
"17","Felony Sexual Offenses","827","433","257","703","817 262","347 208 61 4","","31 27 2 5 38 223","138 269 0"
"18","Felony First Degree","30","0","21","23","27 5","16 6 0 0","","0 0 0 0 0 0","0 23 0"
"19","Felony Domestic Violence","185","236","137","345","215 92","42 81 4 0","","1 0 0 3 41 91","73 142 0"
"20","Felony Vehicular Homicide","26","27","3","17","39 12","21 6 0 0","","0 0 0 0 0 9","3 6 0"
"21","Lower Court Appeal","39","0","1","7","33 2","26 5 0 0","","0 0 0 0 0 1","4 2 0"
"22","Lower Court Appeal ‐ Defendant Appellant","292","324","9","344","280 140","137 3 4 69","","57 5 2 4 28 175","34 19 6"
"23","Lower Court Appeal ‐ Plaintiff Appellant","17","12","1","20","10 2","7 1 1 1","","2 0 0 0 5 8","4 1 0"
"24","Lower Court DWI/DUI Appeals","5","0","0","1","4 0","4 0 0 0","","0 0 0 0 0 1","0 0 0"
"25","Lower Court DWI Appeal ‐ Defendant Appellant","175","178","8","216","145 93","50 2 13 36","","35 2 3 5 8 117","10 5 0"
"26","Lower Court DWI Appeal ‐ Plaintiff Appellant","12","10","0","14","8 3","4 1 0 2","","2 0 0 0 4 4","2 0 0"
"27","Misdemeanor (Dist.)","262","410","226","641","260 101","72 87 9 6","","9 2 1 3 41 265","83 239 0"
"28","Misdemeanor DWI/DUI","179","155","55","235","156 63","42 51 4 19","","11 3 7 2 3 129","30 51 0"
"29","Petition for Review of Bond/Conditions of Release","8","233","2","85","149 138","11 0 0 0","","0 0 0 0 5 6","3 1 63"
"30","Total","22799","16813","11164","27741","23124 9151","6372 7601 609 162","","409 140 113 96 1618 9977","4376 11226 157"
